آب	n+m.abe
آبا	n+m.abba
آباء	n+m.fathers@n+m.dads@n+m.daddies@n+m.papas@n+m.sires
آبار	n+f.wells
آبار نفاثة	n+f.gushers
آبي	n+f.abby@n+m.aby
آتون	n+m.aten
آثار	n+f.effects@n+f.implications@n+f.traces@n+f.remnants@n+f.antiquities@n+f.relics
آثار أقدام	n+f.footsteps@n+f.footprints
آثم	a.sinful
آجار	n+m.agar
آجال استحقاق	n+f.maturities
آجي	n+m.agee
آجيوس	n+m.agios
آخ	int.ouch
آخذ	n+m.taker
آخذون	n+m.takers
آخر	a+m.other@a+m.another@pron.another@ad.else
آخرة	n+f.hereafter
آخرون	pron.others@n+m.others
آخن	n+f.aachen
آدا	n+f.ada
آداب	n+f.etiquette@n+f.manners@n+f.decorum
آداب الإنترنت	n+f.netiquette
آدامز	n+m.adams@n+m.addams
آدم	n+m.adam
آدي	n+f.addie
آذان	n+f.ears
آذريون	n+f.calendula
آذى	v.harmed
آرا	n+f.ara
آراء	n+f.views@n+f.opinions
آرام	n+m.aram
آرامي	a.aramaic
آران	n+f.arran
آرتشي	n+m.archie
آرتي	n+m.artie
آرثر	n+m.arthur
آرثري	a.arthurian
آردز	n+f.ards
آرل	n+f.arles
آرني	n+m.arne
آرهوس	n+f.aarhus
آرون	n+m.aron
آري	a.aryan@n+m.aryan
آريات	n+f.arias
آريس	n+m.ares
آريل	n+f.ariel
آريوسي	a.arian@n+m.arian
آزوتي	a.nitric
آس	n+m.ace@n+f.myrtle
آسا	n+m.asa
آسات	n+m.aces
آسام	n+m.assam
آستور	n+m.astor
آسر	a.captivating@a.riveting
آسرون	n+m.captors
آسف	a+m.sorry
آسفة	a+f.sorry
آسيا	n+f.asia
آسيوي	a+m.asian@a.asiatic
آسيوية	a+f.asian
آسيويون	n+m.asians
آش	n+m.ashe
آشفورد	n+m.ashford
آشلي	n+f.ashley@n+f.ashlee
آشور	n+f.assyria
آشوري	a.assyrian@n+m.assyrian
آغا	n+m.aga
آغي	n+f.aggie
آفا	n+f.ava
آفات	n+f.lesions@n+f.pests
آفاق	n+m.outlook@n+m.horizons@n+f.vistas
آفة	n+f.pest@n+f.lesion@n+f.blight@n+f.scourge@n+f.pestilence
آفز	n+m.avs
آكل	n+m.eater@a.corrosive
آكل جيف	n+m.scavenger
آكل لحوم	n+m.carnivore@a.carnivorous
آكل لحوم بشر	n+m.cannibal
آكلات لحوم	n+m.carnivores
آكلو لحوم البشر	n+m.cannibals
آكلون	n+m.eaters
آكيتان	n+f.aquitaine
آكيس	n+m.acis
آلات	n+f.instruments@n+f.machines@n+f.machinery
آلات إيقاعية	n+f.percussion
آلات باس	n+f.basses
آلات تسوية	n+f.graders
آلات تصوير	n+f.photocopiers
آلات تقطيع	n+f.shredders
آلات حاسبة	n+f.calculators
آلات طحن	n+f.grinders
آلات كاتبة	n+f.typewriters
آلات نسخ	n+f.copiers@n+f.duplicators
آلات نفخ خشبية	n+f.woodwind@n+f.woodwinds
آلاف	n+f.thousands@n+f.myriad
آلاف السنين	n+f.millennia
آلام	n+f.pains@n+f.aches
آلام شديدة	n+f.throes
آلان	n+m.alan
آلبورغ	n+f.aalborg
آلة	n+f.machine
آلة تشذيب	n+f.trimmer
آلة تصوير	n+f.photocopier
آلة تغليف	n+m.laminator
آلة تقطيع	n+f.shredder@n+f.chipper
آلة حاسبة	n+f.calculator
آلة حصاد	n+f.reaper@n+f.harvester
آلة صنفرة	n+f.sander
آلة فشار	n+f.popper
آلة كاتبة	n+f.typewriter
آلة مشي	n+f.treadmill
آلة موسيقية	n+f.instrument@n+m.organ
آلة نسخ	n+f.copier@n+m.duplicator
آلة نشر	n+f.spreader
آلهات	n+f.goddesses
آلهة	n+m.gods@n+f.deities
آلي	a+m.auto@a+m.automatic@a.automated@a.instrumental@a.robotic@a.motorized@n+f.allie
آليات	n+f.mechanisms
آليات عمل	n+f.workings
آلياً	ad.mechanically
آلية	a+f.auto@a+f.automatic@n+f.mechanism
آلية تشغيل	n+f.actuator
آلية ساعة	n+m.clockwork
آمال	n+f.hopes
آمر	a.commanding
آمن	a+m.safe@a+m.secure
آمنة	a+f.safe@a+f.secure
آمون	n+m.amon@n+m.ammon
آمي	n+f.amie
آميس	n+m.amis
آميش	n+m.amish
آميشي	a.amish
آمين	int.amen
آن	n+f.ann@n+f.anne@n+m.ane
آنا	n+f.anna@n+f.ana
آندي	n+m.andy
آنسات	n+f.misses
آنسة	n+f.miss@n+f.mademoiselle@n+f.damsel
آنسي	n+f.annecy
آنو	n+m.anu
آني	n+f.annie@a.instantaneous
آه	int.och@int.eek@int.yah@int.whew@int.aah
آها	int.aha
آهات	int.ohs
آوف	int.phew
آوى	v.sheltered
آي سبيل	n+m.ispell
آيات	n+f.verses
آيبود	n+m.ipod
آية	n+f.verse
آية الله	n+m.ayatollah
آيتونز	n+m.itunes
آير	n+m.ayr@n+m.eyre@n+m.ayer
آيرا	n+m.ira
آيرز	n+m.ayers
آيريس	n+m.aires
آيرين	n+f.irene
آيزنر	n+m.eisner
آيسلندا	n+f.iceland
آيسلندي	a.icelandic@n+m.icelandic
آيفانهو	n+m.ivanhoe
آيفز	n+m.ives
آيك	n+m.ike
آيندهوفن	n+m.eindhoven
آينشتاين	n+m.einstein
أب	n+m.father@n+m.dad@n+m.pops@n+m.padre@n+m.pere@n+m.poppa
أبا	n+m.aba
أباتشي	n+m.apache
أباريق	n+f.pitchers@n+f.jugs
أباطرة	n+m.emperors
أبالاتشي	a.appalachian
أبالاتشيا	n+f.appalachia
أبتون	n+m.upton
أبجدي	a.alphabetical@a.alphabetic
أبجدي رقمي	a.alphanumeric@a.alphanumerical
أبجديات	n+f.alphabets@n+f.abcs
أبجدياً	ad.alphabetically
أبجدية	n+f.alphabet
أبحاث	n+f.researches
أبحر	v.sailed@v.cruised
أبحّ	a.hoarse
أبخرة	n+m.fumes
أبدايك	n+m.updike
أبداً	ad.never@ad.ever
أبدى رأياً	v.opined
أبدي	a.eternal@a.everlasting@a.undying
أبدياً	ad.eternally
أبدية	n+f.eternity@n+f.perpetuity
أبراج	n+f.towers@n+f.horoscopes@n+f.spires
أبراج صغيرة	n+f.turrets
أبرام	n+m.abram
أبرامز	n+m.abrams
أبرد	a.cooler@a.colder@a.coldest
أبردين	n+f.aberdeen
أبرز	v.accentuated
أبرز الأحداث	n+f.highlights
أبرشي	a.diocesan@a.parochial
أبرشيات	n+f.parishes@n+f.dioceses
أبرشية	n+f.parish@n+f.diocese
أبرشية كبرى	n+f.archdiocese
أبرناثي	n+m.abernathy
أبرياء	n+m.innocents
أبريل	n+m.april@n+m.apr
أبسط	a.simpler@a.simplest
أبشالوم	n+m.absalom
أبطأ	a.slower@v.slowed@a.slowest
أبطال	n+m.heroes@n+m.champions@n+m.champs@n+m.protagonists
أبطال خارقون	n+m.superheroes
أبطل	v.invalidated
أبعاد	n+f.dimensions
أبعادية	n+f.dimensionality
أبعد	ad.further@ad.beyond@ad.farther@a.farthest@a.furthest@v.estranged
أبقار	n+f.cows
أبكر	a.earliest
أبكم	a.dumb
أبل	n+f.apple@n+m.abl
أبلتون	n+m.appleton
أبلسيد	n+m.appleseed
أبلغ	v.reported@v.informed
أبلق	a.pied
أبلى	v.fared
أبناء	n+m.sons
أبناء أخ	n+m.nephews
أبناء أخت	n+m.nephews
أبناء الرعية	n+m.parishioners
أبناء حرام	n+m.bastards
أبناء عم	n+m.cousins
أبنوس	n+m.ebony
أبنير	n+m.abner
أبهري	a.aortic
أبو الحناء	n+m.robin
أبو الهول	n+m.sphinx
أبو منجل	n+m.ibis
أبواب	n+f.doors
أبواغ	n+f.spores
أبواق	n+f.trumpets
أبوان	n+m.parents
أبوة	n+f.parenthood@n+f.paternity@n+f.fatherhood
أبوت	n+m.abbott
أبوجا	n+f.abuja
أبوسوم	n+m.possum
أبولو	n+m.apollo
أبوي	a.parental@a.paternal@a.patriarchal
أبي	n+m.daddy
أبيدجان	n+f.abidjan
أبيض	a+m.white@n+m.white@n+m.honky@n+m.whitey
أبيغيل	n+f.abigail
أبيل	n+m.appel
أبيلين	n+f.abilene
أبينغدون	n+m.abingdon
أتاري	n+f.atari
أتاكاما	n+f.atacama
أتباع	n+m.stooges@n+m.followings@n+m.minions@n+m.adherents@n+m.henchmen
أتراك	n+m.turks
أترج	n+m.citron
أتروبين	n+m.atropine
أتعاب مقدمة	n+f.retainer
أتقن	v.mastered@v.perfected
أتكينز	n+m.atkins
أتكينسون	n+m.atkinson
أتلانتا	n+f.atlanta
أتلانتس	n+f.atlantis
أتم	a.fullest
أتمتة	n+f.automation@n+f.automating
أتوود	n+m.atwood
أتيكا	n+f.attica
أتيلا	n+m.attila
أثاباسكا	n+f.athabasca
أثاث	n+m.furniture
أثار	v.thrilled@v.sparked@v.evoked@v.aroused@v.agitated
أثار فضوله	v.intrigued
أثبت	v.evidenced@v.substantiated
أثداء	n+m.breasts@n+f.hooters
أثر	v.affected@n+m.trace@n+m.consequence@n+m.antiquity@n+m.remnant@n+m.relic
أثر على	v.impacted
أثرى	v.enriched
أثري	a.archaeological@a.antiquarian
أثرياء	n+m.haves
أثقال حديدية	n+f.barbells
أثقل	a.heavier@a.heaviest@v.burdened
أثلاث	n+m.thirds
أثناء	prep.during
أثناء الطيران	a.inflight
أثنى	v.commended
أثنى على	v.praised@v.complimented
أثير	n+m.ether
أثيري	a.ethereal
أثينا	n+f.athens@n+f.athena
أثيني	a.athenian@n+m.athenian
أثينيوم	n+m.athenaeum
أثّر	v.swayed
أجاج	a.brackish
أجاكس	n+m.ajax
أجانب	n+m.aliens@n+m.foreigners
أجبان	n+f.cheeses
أجبر	v.forced@v.compelled
أجج	v.stoked
أجداد	n+m.grandparents@n+m.forefathers
أجر	n+m.wage
أجرأ	a.wildest
أجراس	n+f.bells@n+f.chimes@n+f.ringers
أجرام	n+f.orbs
أجرة	n+f.fare
أجرة طيران	n+f.airfare
أجرة نقل	n+f.haulage
أجرى	v.conducted@v.effected@v.transacted
أجرى عملية	v.operated
أجزاء	n+f.parts@n+f.portions
أجزاء داخلية	n+f.internals
أجزاء علوية	n+f.uppers
أجزاء من المئة	n+m.hundredths
أجسام	n+f.bodies
أجسام طائرة مجهولة	n+f.ufos
أجسام مضادة	n+f.antibodies
أجش	a.husky@a.raucous@a.hoarse@a.gruff
أجل	int.yeah@n+m.sake@v.postponed@v.adjourned
أجمة	n+f.thicket
