অ	a.non
অ-আক্রমণাত্মক	a.noninvasive
অ-ইহুদি	n.gentiles@n+m.gentile
অ-ধ্বংসাত্মক	a.nondestructive
অ-প্রকাশ্য	a.nonpublic
অ-প্রাণঘাতী	a.nonfatal
অ-প্রাথমিক	a.uninitialized
অঁজে	n+m.angers
অংশ	n+m.part@n+m.section@n+m.share@n+m.parts@n+f.piece@n+m.sections@n+f.pieces@n+m.portion@n+m.segment@n+f.portions@n+m.segments@n+m.stake@n+m.fractions@n+m.tranche@n+f.moiety
অংশ নেওয়া	vi.partake
অংশক	n+m.numerator
অংশগ্রহণ	n+f.participation@n+m.turnout
অংশগ্রহণ করা	v.participate@v.participating@v.participated
অংশগ্রহণ করে	vi.participates
অংশগ্রহণকারিণী	n+f.participant
অংশগ্রহণকারী	n+m.participants@a.participating@n+m.participant@a.participated@n+m.attendees@n+m.contestants@n+m.attendee
অংশগ্রহণমূলক	a.participatory
অংশবিশেষ	n+m.snippet
অংশভিত্তিক	a.sectional
অংশীদার	n+m.partners@n+m.partner@n+m.shareholders@n+m.stakeholders@n+m.shareholder@n+m.stakeholder@n+m.stockholders
অংশীদার হওয়া	v.partnering
অংশীদার হয়েছে	v.partnered
অংশীদারিত্ব	n+f.partnership@n+f.partnerships@n+m.partnering@n+m.shareholding
অংশীদারী	a.participatory
অংশে অংশে	ad.piecewise
অঅনুমোদিত	a.unapproved
অউল্লিখিত	a.unspecified
অঋণাত্মক	a.nonnegative
অকপট	a+m.frank@a+f.frank@a.candid
অকপটভাবে	ad.sincerely
অকর্মক	a.intr
অকর্মণ্য	a.inactive
অকল্পনীয়	a.impossible@a.unthinkable@a.inconceivable@a.unimaginable
অকল্পনীয়ভাবে	ad.unbelievably
অকল্যান্ড	n+m.auckland
অকাটা	a.uncut
অকাতরে	ad.lavishly
অকাম	n+m.occam
অকামানো	a.unshaven
অকারণে	ad.needlessly
অকার্যকর	a+m.void@a+f.void@a.ineffective@a.inefficient@a.dysfunctional@a.impractical@n+m.dud@a.voided@a.inoperative@a.ineffectual
অকার্যকর করা	vt.invalidate
অকার্যকর সময়	n+m.downtime
অকার্যকরণ	n+m.inactivation
অকার্যকারিতা	n+f.dysfunction@n+f.inefficiency
অকাল	a.premature@a.preterm
অকালজাত শিশু	n+m.preemie
অকালপক্ব	a.precocious
অকালে	ad.prematurely@a.untimely
অকাল্পনিক সাহিত্য	n+f.nonfiction
অকৃতজ্ঞ	a.ungrateful
অকেজো	a.useless@a.worthless@a.unusable
অকেজো জিনিস	n+m.deadwood@n+m.duds
অক্টাভিয়া	n+f.octavia
অক্টাল	a.octal
অক্টেট	n+m.octet@n.octets
অক্টেন	n+m.octane
অক্টেভ	n+m.octave
অক্টোপাস	n+m.octopus
অক্টোবর	n+m.october@n+m.oct
অক্টোবরফেস্ট	n+m.oktoberfest
অক্রিয়ভাবে	ad.passively
অক্লান্ত	a.tireless
অক্লান্তভাবে	ad.tirelessly
অক্ষ	n+m.axis@n+m.axes
অক্ষ সম্বন্ধীয়	a.axial
অক্ষত	a+m.virgin@a+f.virgin@a.intact@a.pristine@a.untouched@a.unbroken@a.unaltered@a.undamaged@a.unspoiled@a.unscathed@a.unharmed
