the	art.—
of	prep.এর
and	conj.এবং
to	prep.থেকে@prep.কে
a	art+m.একটি@art+f.একটি
in	prep.মধ্যে@prep.ভিতরে
for	prep.জন্য
is	v.হয়@v.আছে
on	prep.উপর@prep.উপরে
that	pron.যে@conj.যে@a.সেই
by	prep.দ্বারা@prep.কাছে
this	pron.এই@a.এটি
with	prep.সঙ্গে@prep.সাথে
i	pron.আমি
you	pron.তুমি@pron.আপনি
it	pron+m.এটি@pron+f.এটি
not	ad.না@ad.নয়
or	conj.অথবা@conj.কিংবা
be	v.হওয়া@v.থাকা
are	v.হয়@v.আছে
from	prep.থেকে@prep.হতে
at	prep.এ@prep.তে
as	conj.যেমন@prep.হিসাবে
your	pron+m.তোমার@pron+f.তোমার@pron.আপনার
all	a.সব@a.সমস্ত@pron.সকল
have	v.আছে@v.রাখা
new	a+m.নতুন@a+f.নতুন
more	a.আরো@ad.অধিক
an	art+m.একটি@art+f.একটি
was	v.ছিল
we	pron.আমরা
will	v.হবে@n+m.ইচ্ছা
home	n+m.বাড়ি@n+m.ঘর
can	v.পারা@n+m.ক্যান
us	pron.আমাদের
about	prep.সম্পর্কে@ad.প্রায়
if	conj.যদি
page	n+m.পৃষ্ঠা
my	pron+m.আমার@pron+f.আমার
has	v.আছে
search	n+m.অনুসন্ধান@v.খোঁজা
free	a+m.মুক্ত@a+f.মুক্ত@a.বিনামূল্যে
but	conj.কিন্তু@conj.তবে
our	pron.আমাদের
one	n+m.এক@a.একটি@pron.কেউ
other	a.অন্য@pron.অন্যান্য
do	v.করা
no	ad.না@a.কোন
information	n+f.তথ্য@n+f.সংবাদ
time	n+m.সময়@n+f.বার
they	pron.তারা
site	n+m.স্থান@n+m.সাইট
he	pron+m.সে@pron+m.তিনি
up	ad.উপরে@prep.উপর
may	v.পারে@n+m.মে
what	pron.কি@a.কী
which	pron.যা@a.কোন
their	pron.তাদের
news	n+f.সংবাদ@n+f.খবর
out	ad.বাইরে@prep.বাইরে
use	n+m.ব্যবহার@v.ব্যবহার করা
any	a.কোন@pron.যেকোনো
there	ad.সেখানে@ad.ওখানে
see	v.দেখা
only	ad.শুধুমাত্র@a.একমাত্র
so	ad.তাই@conj.সুতরাং
his	pron+m.তার@pron+m.তাঁর
when	conj.যখন@ad.কখন
contact	n+m.যোগাযোগ@v.যোগাযোগ করা
here	ad.এখানে
business	n+m.ব্যবসা@n+f.কোম্পানি
who	pron.কে@pron.যে
web	n+m.ওয়েব@n+m.জাল
also	ad.এছাড়াও@ad.ও
now	ad.এখন
help	n+f.সাহায্য@v.সাহায্য করা
get	v.পাওয়া@v.পেতে
pm	n+m.অপরাহ্ণ
view	n+m.দৃশ্য@v.দেখা@n+m.মতামত
online	a.অনলাইন@ad.অনলাইনে
first	a+m.প্রথম@a+f.প্রথম@ad.প্রথমে
am	v.আছি@n+m.পূর্বাহ্ণ
been	v.ছিল@v.হয়েছে
would	v.হতো@v.করতো
how	ad.কিভাবে@ad.কেমন
were	v.ছিল
me	pron.আমাকে@pron.আমি
services	n+f.সেবা@n+f.পরিষেবা
some	a.কিছু@pron.কেউ
these	pron.এই@a.এগুলো
click	n+m.ক্লিক@v.ক্লিক করা
its	pron.এর@pron.তার
like	prep.মতো@v.পছন্দ করা@a.অনুরূপ
service	n+f.সেবা@n+f.পরিষেবা
than	conj.চেয়ে@prep.থেকে
find	v.খুঁজে পাওয়া@v.আবিষ্কার করা
price	n+m.মূল্য@n+m.দাম
date	n+m.তারিখ@n+f.তারিখ@v.তারিখ দেওয়া
back	n+m.পিঠ@ad.পিছনে@a.পেছনের
