the	art+m.der@art+f.die@art+n.das
of	prep.von
and	conj.und
to	prep.zu@prep.nach
a	art+m.ein@art+f.eine@art+n.ein
in	prep.in
for	prep.für
is	v.ist
on	prep.auf@prep.an
that	pron.das@conj.dass
by	prep.bei@prep.von
this	pron+m.dieser@pron+f.diese@pron+n.dieses
with	prep.mit
i	pron.ich
you	pron.du@pron.Sie
it	pron+m.er@pron+f.sie@pron+n.es
not	ad.nicht
or	conj.oder
be	v.sein
are	v.sind
from	prep.von@prep.aus
at	prep.bei@prep.an
as	conj.als@prep.wie
your	pron+m.dein@pron+f.deine@pron+n.dein@pron+m.Ihr@pron+f.Ihre@pron+n.Ihr
all	pron.alle@a.ganz
have	v.haben
new	a+m.neuer@a+f.neue@a+n.neues
more	ad.mehr@a.mehr
an	art+m.ein@art+f.eine@art+n.ein
was	v.war
we	pron.wir
will	v.werden@n+m.Wille
home	n+n.Zuhause@n+f.Heimat@n+n.Heim
can	v.können@n+f.Dose
us	pron.uns
about	prep.über@ad.ungefähr
if	conj.wenn@conj.falls@conj.ob
page	n+f.Seite
my	pron+m.mein@pron+f.meine@pron+n.mein
has	v.hat
search	n+f.Suche@v.suchen
free	a+m.freier@a+f.freie@a+n.freies@a+m.kostenloser@a+f.kostenlose@a+n.kostenloses
but	conj.aber
our	pron+m.unser@pron+f.unsere@pron+n.unser
one	n+f.Eins@pron.man@a.ein
other	a+m.anderer@a+f.andere@a+n.anderes
do	v.tun@v.machen
no	ad.nein@a.kein
information	n+f.Information@n+f.Auskunft
time	n+f.Zeit@n+n.Mal
they	pron.sie
site	n+f.Seite@n+m.Ort@n+f.Stelle
he	pron+m.er
up	ad.oben@ad.hinauf@prep.auf
may	v.dürfen@v.können@n+m.Mai
what	pron.was
which	pron.welcher@pron.welche@pron.welches
their	pron+m.ihr@pron+f.ihre@pron+n.ihr
news	n+f.Nachricht@n+f.Neuigkeit@n+f.Nachrichten
out	ad.aus@ad.heraus@ad.draußen
use	n+m.Gebrauch@n+f.Verwendung@v.benutzen@v.verwenden
any	pron.jeder@pron.irgendein@a.beliebig
there	ad.dort@ad.da
see	v.sehen
only	ad.nur@a.einzig
so	ad.so@conj.also
his	pron+m.sein@pron+f.seine@pron+n.sein
when	conj.wenn@conj.als@ad.wann
contact	n+m.Kontakt@v.kontaktieren
here	ad.hier
business	n+n.Geschäft@n+f.Firma@n+n.Unternehmen
who	pron.wer
web	n+n.Netz@n+n.Web
also	ad.auch
now	ad.jetzt@ad.nun
help	n+f.Hilfe@v.helfen
get	v.bekommen@v.erhalten@v.holen
pm	n.Nachmittag
view	n+f.Ansicht@n+m.Blick@v.ansehen@v.betrachten
online	ad.online@a.online
first	a+m.erster@a+f.erste@a+n.erstes@ad.zuerst
am	v.bin
been	v.gewesen
would	v.würde
how	ad.wie
were	v.waren
me	pron.mich@pron.mir
services	n+f.Dienstleistungen@n+m.Dienste
some	pron.einige@a.manche
these	pron+m.diese@pron+f.diese@pron+n.diese
click	n+m.Klick@v.klicken
its	pron+m.sein@pron+f.seine@pron+n.sein
like	prep.wie@v.mögen@a.ähnlich
service	n+m.Dienst@n+f.Dienstleistung@n+m.Service
than	conj.als
find	v.finden@n+m.Fund
price	n+m.Preis
date	n+n.Datum@n+f.Verabredung
back	n+m.Rücken@ad.zurück
top	n+f.Spitze@n+m.Gipfel@a+m.oberster@a+f.oberste@a+n.oberstes
people	n+f.Leute@n+f.Menschen
had	v.hatte
list	n+f.Liste@v.auflisten
name	n+m.Name@v.nennen
just	ad.gerade@ad.nur@a+m.gerechter@a+f.gerechte@a+n.gerechtes
over	prep.über@ad.vorbei
state	n+m.Staat@n+m.Zustand@v.erklären
year	n+n.Jahr
day	n+m.Tag
into	prep.in@prep.hinein
email	n+f.Email@n+f.EMail@v.emailen
two	n+f.Zwei@a.zwei
health	n+f.Gesundheit
world	n+f.Welt
re	prep.bezüglich
next	a+m.nächster@a+f.nächste@a+n.nächstes@ad.danach
used	a.benutzt@a.gebraucht@v.benutzte
go	v.gehen
work	n+f.Arbeit@n+n.Werk@v.arbeiten
last	a+m.letzter@a+f.letzte@a+n.letztes@v.dauern
most	ad.meistens@a.meiste
products	n+n.Produkte
music	n+f.Musik
buy	v.kaufen@n+m.Kauf
data	n+f.Daten
make	v.machen@n+f.Marke
them	pron.sie@pron.ihnen
should	v.sollte
product	n+n.Produkt
system	n+n.System
post	n+f.Post@n+m.Posten@n+m.Beitrag@v.posten
her	pron+f.sie@pron+f.ihr@pron+f.ihre
city	n+f.Stadt
add	v.hinzufügen@v.addieren
policy	n+f.Politik@n+f.Richtlinie@n+f.Police
number	n+f.Nummer@n+f.Zahl@v.nummerieren
such	a.solcher@a.solche@a.solches
please	ad.bitte@v.gefallen
available	a.verfügbar@a.erhältlich
copyright	n+n.Urheberrecht@n+n.Copyright
support	n+f.Unterstützung@n+m.Support@v.unterstützen
message	n+f.Nachricht@n+f.Mitteilung
after	prep.nach@conj.nachdem
best	a+m.bester@a+f.beste@a+n.bestes@ad.am besten
software	n+f.Software
then	ad.dann@ad.damals
jan	n+m.Jan@n+m.Januar
good	a+m.guter@a+f.gute@a+n.gutes@n+n.Gut
video	n+n.Video
well	ad.gut@n+m.Brunnen@int.nun
where	ad.wo@conj.wo
info	n+f.Info@n+f.Information
rights	n+n.Rechte
public	a.öffentlich@n+f.Öffentlichkeit
books	n+n.Bücher
high	a+m.hoher@a+f.hohe@a+n.hohes@n+n.Hoch
school	n+f.Schule
