a	art+m.un@art+f.una
aachen	n+m.Aquisgrán
aah	int.aah
aalborg	n+m.Aalborg
aaliyah	n+f.Aaliyah
aardvark	n+m.cerdo hormiguero
aarhus	n+m.Aarhus
aaron	n+m.Aaron
aba	n+f.ABA
aback	ad.hacia atrás@a.desconcertado
abacus	n+m.ábaco
abalone	n+m.abulón
abandon	vt.abandonar@n+m.abandono
abandoned	a+m.abandonado@a+f.abandonada
abandoning	vt.abandonando
abandonment	n+m.abandono
abandons	vt.abandona
abate	vt.disminuir@vi.amainar
abated	vi.disminuyó@a+m.reducido@a+f.reducida
abatement	n+f.reducción@n+m.abatimiento
abb	n+m.ABB
abba	n+m.ABBA
abbas	n+m.Abbas
abbe	n+m.abad
abbey	n+f.abadía
abbot	n+m.abad
abbott	n+m.Abbott
abbr	n+f.abreviatura
abbrev	n+f.abreviatura
abbreviated	a+m.abreviado@a+f.abreviada@vt.abrevió
abbreviation	n+f.abreviatura
abbreviations	n+f+pl.abreviaturas
abby	n+f.Abby
abcs	n+m+pl.abecés
abdomen	n+m.abdomen
abdominal	a+m.abdominal@a+f.abdominal
abducted	vt.secuestró@a+m.secuestrado@a+f.secuestrada
abduction	n+m.secuestro@n+f.abducción
abductions	n+m+pl.secuestros@n+f+pl.abducciones
abdul	n+m.Abdul
abe	n+m.Abe
abel	n+m.Abel
aberdeen	n+m.Aberdeen
abernathy	n+m.Abernathy
aberrant	a.aberrante
aberration	n+f.aberración
aberrations	n+f+pl.aberraciones
abet	vt.incitar@vt.instigar
abetting	vt.instigando@vt.siendo cómplice
abide	vi.cumplir@vt.soportar
abides	vi.acata@vi.permanece
abiding	a.duradero@a+f.duradera@vi.cumpliendo
abidjan	n+m.Abiyán
abigail	n+f.Abigail
abilene	n+m.Abilene
abilities	n+f.habilidades
ability	n+f.habilidad
abingdon	n+m.Abingdon
abiotic	a+m.abiótico@a+f.abiótica
abject	a+m.abyecto@a+f.abyecta@a.absoluto
abl	n+m.ABL
ablation	n+f.ablación
ablaze	a.en llamas@a.ardiendo
able	a+m.capaz@a+f.capaz
ably	ad.hábilmente
abner	n+m.Abner
abnormal	a+m.anormal@a+f.anormal
abnormalities	n+f+pl.anormalidades@n+f+pl.anomalías
abnormality	n+f.anormalidad
abnormally	ad.anormalmente
aboard	prep.a bordo de@ad.a bordo
abode	n+f.morada@n+m.domicilio
abolish	vt.abolir@vt.suprimir
abolished	vt.abolió@a+m.abolido@a+f.abolida
abolishing	vt.aboliendo
abolition	n+f.abolición
abolitionist	n+m.abolicionista@n+f.abolicionista
abominable	a.abominable
abomination	n+f.abominación
aboriginal	a+m.aborigen@a+f.aborigen
aborigines	n+m+pl.aborígenes
abort	vt.abortar@n+m.aborto
aborted	vt.abortó@a+m.abortado@a+f.abortada
aborting	vt.abortando@vi.cancelando
abortion	n+m.aborto
abortions	n+m+pl.abortos
abound	vi.abundar
abounds	vi.abunda
about	prep.sobre@prep.acerca de
above	prep.encima de@ad.arriba
aboveground	a+m.sobre el suelo@a+f.sobre el suelo
abr	n+m.abr
abraham	n+m.Abraham
abram	n+m.Abram
abrams	n+m.Abrams
abrasion	n+f.abrasión@n+m.rasguño
abrasive	a+m.abrasivo@a+f.abrasiva@n+m.abrasivo
abrasives	n+m+pl.abrasivos
abreast	ad.al corriente@ad.al tanto
abridged	a+m.abreviado@a+f.abreviada@vt.abrevió
abroad	ad.en el extranjero
abrupt	a+m.abrupto@a+f.abrupta@a.brusco@a+f.brusca
abruptly	ad.abruptamente
abs	n+m.abdominales@n+m.ABS
absalom	n+m.Absalón
abscess	n+m.absceso
absence	n+f.ausencia
absences	n+f+pl.ausencias
absent	a+m.ausente@a+f.ausente
absentee	n+m.ausente@a.ausente
absenteeism	n+m.absentismo
absinthe	n+f.absenta
absolute	a+m.absoluto@a+f.absoluta
absolutely	ad.absolutamente
absolutes	n+m+pl.absolutos
absolution	n+f.absolución
absorb	vt.absorber
absorbance	n+f.absorbancia
absorbed	a+m.absorbido@a+f.absorbida
absorbent	a.absorbente@n+m.absorbente
absorber	n+m.absorbedor@n+m.amortiguador
absorbers	n+m+pl.absorbedores@n+m+pl.amortiguadores
absorbing	a.absorbente@v.absorbiendo
absorbs	vt.absorbe
absorption	n+f.absorción
abstain	vi.abstenerse
abstained	vi.se abstuvo
abstentions	n+f+pl.abstenciones
abstinence	n+f.abstinencia
abstract	n+m.resumen@a+m.abstracto@a+f.abstracta
abstracted	a+m.abstraído@a+f.abstraída@a+m.distraído@a+f.distraída
abstracting	vt.abstrayendo@n+f.abstracción
abstraction	n+f.abstracción
abstractions	n+f+pl.abstracciones
abstracts	n+m.resúmenes
absurd	a+m.absurdo@a+f.absurda
absurdity	n+f.absurdidad
abuja	n+f.Abuya
abundance	n+f.abundancia
abundances	n+f+pl.abundancias
abundant	a+m.abundante@a+f.abundante
abundantly	ad.abundantemente
abuse	n+m.abuso@v.abusar
abused	a+m.abusado@a+f.abusada
abuser	n+m.abusador@n+f.abusadora
abusers	n+m+pl.abusadores@n+f+pl.abusadoras
abuses	n+m+pl.abusos@vt.abusa
abusing	vt.abusando
abusive	a+m.abusivo@a+f.abusiva
abutting	a.contiguo@vt.colindando
aby	n+m.Aby
abysmal	a.abismal@a.pésimo
abyss	n+m.abismo
acacia	n+f.acacia
academe	n+f.academia
academia	n+f.academia
academic	a+m.académico@a+f.académica
academically	ad.académicamente
academics	n+m.académicos@n+f.académicas
academies	n+f+pl.academias
academy	n+f.academia
acadia	n+f.Acadia
acadian	a+m.acadiano@a+f.acadiana@n+m.acadiano
acapulco	n+m.Acapulco
acc	n+m.cuenta
accel	n+f.aceleración
accelerate	vt.acelerar
accelerated	a+m.acelerado@a+f.acelerada
accelerates	vt.acelera
accelerating	v.acelerando
acceleration	n+f.aceleración
accelerator	n+m.acelerador
accelerators	n+m+pl.aceleradores
accelerometer	n+m.acelerómetro
accent	n+m.acento
accented	a+m.acentuado@a+f.acentuada
accents	n+m+pl.acentos
accentuate	vt.acentuar
accentuated	vt.acentuó@a+m.acentuado@a+f.acentuada
accenture	n+m.Accenture
accept	v.aceptar
acceptability	n+f.aceptabilidad
acceptable	a+m.aceptable@a+f.aceptable
acceptance	n+f.aceptación
acceptances	n+f+pl.aceptaciones
accepted	a+m.aceptado@a+f.aceptada@v.aceptó
accepting	v.aceptando
acceptor	n+m.aceptor
accepts	vt.acepta
access	n+m.acceso@v.acceder
accessed	a+m.accedido@a+f.accedida
accesses	vt.accede a@n+m+pl.accesos
accessibility	n+f.accesibilidad
accessible	a+m.accesible@a+f.accesible
accessing	v.accediendo
accession	n+f.adhesión
accessions	n+f+pl.adhesiones@n+f+pl.adquisiciones
accessories	n+m.accesorios
accessory	n+m.accesorio
accident	n+m.accidente
accidental	a+m.accidental@a+f.accidental
accidentally	ad.accidentalmente
accidents	n+m.accidentes
acclaim	n+f.aclamación@vt.aclamar
acclaimed	a+m.aclamado@a+f.aclamada
accolade	n+f.distinción@n+m.reconocimiento
accolades	n+m+pl.elogios@n+f+pl.distinciones
accommodate	vt.acomodar
accommodated	vt.alojó@a+m.alojado@a+f.alojada
accommodates	vt.acomoda@vt.aloja
accommodating	a.complaciente@vt.acomodando
accommodation	n+m.alojamiento
accommodations	n+m.alojamientos
accompanied	a+m.acompañado@a+f.acompañada
accompanies	vt.acompaña
accompaniment	n+m.acompañamiento
accompaniments	n+m+pl.acompañamientos
accompany	vt.acompañar
accompanying	v.acompañando
accomplice	n+m.cómplice
accomplish	vt.lograr
accomplished	a+m.logrado@a+f.lograda@a+m.consumado@a+f.consumada
accomplishes	vt.logra@vt.realiza
accomplishing	vt.logrando@vt.realizando
accomplishment	n+m.logro@n+f.realización
accomplishments	n+m+pl.logros
accord	n+m.acuerdo
accordance	n+f.conformidad
accorded	vt.otorgó@vt.concedió
according	prep.según
accordingly	ad.en consecuencia
accordion	n+m.acordeón
accords	n+m+pl.acuerdos@vi.concuerda
account	n+f.cuenta
accountability	n+f.responsabilidad
accountable	a+m.responsable@a+f.responsable
accountancy	n+f.contabilidad
accountant	n+m.contador@n+f.contadora
accountants	n+m+pl.contadores@n+f+pl.contadoras
accounted	v.contabilizó
accounting	n+f.contabilidad
accounts	n+f.cuentas
accra	n+m.Accra
accreditation	n+f.acreditación
accredited	a+m.acreditado@a+f.acreditada
accrediting	vt.acreditando
accretion	n+f.acreción@n+f.acumulación
accrual	n+m.acumulación@n+m.devengo
accruals	n+m+pl.devengos
accrue	vi.acumularse@vt.acumular
accrued	a+m.devengado@a+f.devengada
accruing	vi.acumulando@vi.devengando
acct	n+f.cuenta
accumulate	vt.acumular
accumulated	a+m.acumulado@a+f.acumulada
accumulates	vt.acumula
accumulating	vt.acumulando
accumulation	n+f.acumulación
accumulations	n+f+pl.acumulaciones
accumulator	n+m.acumulador
accuracy	n+f.precisión
accurate	a+m.preciso@a+f.precisa
accurately	ad.con precisión
accusation	n+f.acusación
accusations	n+f+pl.acusaciones
accuse	vt.acusar
accused	n+m.acusado@n+f.acusada@a+m.acusado@a+f.acusada
accuser	n+m.acusador@n+f.acusadora
accuses	vt.acusa
accusing	vt.acusando@a.acusador@a+f.acusadora
accustomed	a+m.acostumbrado@a+f.acostumbrada
ace	n+m.as
aces	n+m+pl.ases
acetaminophen	n+m.acetaminofén@n+m.paracetamol
acetate	n+m.acetato
acetic	a+m.acético@a+f.acética
acetone	n+f.acetona
acetyl	n+m.acetilo
acetylcholine	n+f.acetilcolina
acetylene	n+m.acetileno
ache	n+m.dolor@vi.doler
aches	n+m+pl.dolores@vi.duele
achievable	a.alcanzable@a.realizable
achieve	v.lograr
achieved	a+m.logrado@a+f.lograda@v.logró
achievement	n+m.logro
achievements	n+m.logros
achiever	n+m.triunfador@n+f.triunfadora
achievers	n+m+pl.triunfadores
achieves	vt.logra@vt.consigue
achieving	v.logrando
achilles	n+m.Aquiles
aching	a.dolorido@a+f.dolorida@vi.doliendo
acid	n+m.ácido@a+m.ácido@a+f.ácida
acidic	a+m.ácido@a+f.ácida
acidity	n+f.acidez
acidosis	n+f.acidosis
acids	n+m.ácidos
acis	n+m.Acis
acknowledge	vt.reconocer@vt.agradecer
acknowledged	a+m.reconocido@a+f.reconocida
acknowledgement	n+m.reconocimiento
acknowledgements	n+m+pl.reconocimientos
acknowledges	vt.reconoce@vt.admite
acknowledging	vt.reconociendo@vt.acusando recibo
acme	n+m.apogeo@n+m.Acme
acne	n+m.acné
acorn	n+f.bellota
acorns	n+f+pl.bellotas
acosta	n+m.Acosta
acoustic	a+m.acústico@a+f.acústica
acoustical	a+m.acústico@a+f.acústica
acoustics	n+f.acústica
acquaint	vt.familiarizar
acquaintance	n+m.conocido@n+f.conocida@n+m.conocimiento
acquaintances	n+m+pl.conocidos@n+f+pl.conocidas
acquainted	a+m.familiarizado@a+f.familiarizada@a.conocido@a+f.conocida
acquire	vt.adquirir
acquired	a+m.adquirido@a+f.adquirida
acquirer	n+m.adquirente@n+m.comprador
acquires	vt.adquiere
acquiring	v.adquiriendo
acquisition	n+f.adquisición
acquisitions	n+f.adquisiciones
acquittal	n+f.absolución
acquitted	vt.absolvió@a+m.absuelto@a+f.absuelta
acre	n+m.acre
acreage	n+f.superficie
acres	n+m.acres
acrobat	n+m.acróbata
acrobatic	a+m.acrobático@a+f.acrobática
acronym	n+m.acrónimo
acronyms	n+m+pl.acrónimos
acropolis	n+f.acrópolis
across	prep.a través de
acrylamide	n+f.acrilamida
acrylic	n+m.acrílico@a+m.acrílico@a+f.acrílica
acrylics	n+m+pl.acrílicos
act	n+m.acto@n+f.ley@v.actuar
acted	v.actuó
actin	n+f.actina
acting	n+f.actuación@v.actuando
action	n+f.acción
actionable	a.procesable@a.accionable
actions	n+f.acciones
activate	vt.activar
activated	a+m.activado@a+f.activada
activates	vt.activa
activating	v.activando
activation	n+f.activación
activator	n+m.activador
activators	n+m+pl.activadores
active	a+m.activo@a+f.activa
actively	ad.activamente
actives	n+m+pl.activos
activism	n+m.activismo
activist	n+m.activista@n+f.activista
activists	n+m.activistas@n+f.activistas
activities	n+f.actividades
activity	n+f.actividad
acton	n+m.Acton
actor	n+m.actor
actors	n+m.actores@n+f.actrices
actress	n+f.actriz
actresses	n+f+pl.actrices
acts	n+m.actos@v.actúa
actual	a+m.real@a+f.real
actuality	n+f.actualidad@n+f.realidad
actually	ad.en realidad
actuarial	a.actuarial
actuaries	n+m+pl.actuarios
actuary	n+m.actuario@n+f.actuaria
actuate	vt.accionar@vt.activar
actuated	vt.accionó@a+m.accionado@a+f.accionada
actuation	n+f.actuación@n+f.accionamiento
actuator	n+m.actuador
actuators	n+m+pl.actuadores
acuity	n+f.agudeza
acumen	n+m.perspicacia@n+m.agudeza
acupressure	n+f.acupresión@n+f.digitopuntura
acupuncture	n+f.acupuntura
acute	a+m.agudo@a+f.aguda
acutely	ad.agudamente@ad.intensamente
acyclic	a+m.acíclico@a+f.acíclica
acyclovir	n+m.aciclovir
acyl	n+m.acilo
ada	n+f.Ada
adage	n+m.adagio@n+m.refrán
adagio	n+m.adagio@ad.adagio
adam	n+m.Adán
adamant	a.firme@a.inflexible
adams	n+m.Adams
adapt	vt.adaptar
adaptability	n+f.adaptabilidad
adaptable	a.adaptable
adaptation	n+f.adaptación
adaptations	n+f+pl.adaptaciones
adapted	a+m.adaptado@a+f.adaptada
adapter	n+m.adaptador
adapters	n+m.adaptadores
adapting	v.adaptando
adaptive	a+m.adaptativo@a+f.adaptativa
adaptor	n+m.adaptador
adaptors	n+m+pl.adaptadores
adapts	vt.adapta
add	v.añadir@v.agregar
addams	n+m.Addams
added	v.añadió@a+m.añadido@a+f.añadida
addenda	n+m+pl.adendas
addendum	n+m.addendum@n+m.apéndice
adder	n+f.víbora@n+m.sumador
addict	n+m.adicto@n+f.adicta
addicted	a+m.adicto@a+f.adicta
addicting	a.adictivo@a+f.adictiva
addiction	n+f.adicción
addictions	n+f+pl.adicciones
addictive	a+m.adictivo@a+f.adictiva
addicts	n+m+pl.adictos@vt.hace adicto
addie	n+f.Addie
adding	v.añadiendo
addington	n+m.Addington
addison	n+m.Addison
addition	n+f.adición
additional	a+m.adicional@a+f.adicional
additionally	ad.adicionalmente
additions	n+f.adiciones
additive	n+m.aditivo@a+m.aditivo@a+f.aditiva
additives	n+m+pl.aditivos
address	n+f.dirección@v.dirigirse
addressable	a.direccionable
addressed	a+m.dirigido@a+f.dirigida@v.dirigió
addressee	n+m.destinatario@n+f.destinataria
addresses	n+f.direcciones@v.aborda
addressing	v.abordando@v.dirigiéndose
adds	v.añade
adelaide	n+f.Adelaida
adele	n+f.Adela
adeline	n+f.Adeline
aden	n+m.Adén
adenine	n+f.adenina
adenocarcinoma	n+m.adenocarcinoma
adenoma	n+m.adenoma
adenosine	n+f.adenosina
adenovirus	n+m.adenovirus
adept	a+m.experto@a+f.experta@n+m.experto
adequacy	n+f.adecuación@n+f.suficiencia
adequate	a+m.adecuado@a+f.adecuada
adequately	ad.adecuadamente
adhere	vi.adherirse
adhered	vi.adhirió@vi.se adhirió
adherence	n+f.adherencia@n+m.cumplimiento
adherent	n+m.adherente@a.adherente
adherents	n+m+pl.adherentes@n+m+pl.seguidores
adheres	vi.adhiere@vi.se adhiere
adhering	vi.adhiriendo
adhesion	n+f.adhesión
adhesive	n+m.adhesivo@a+m.adhesivo@a+f.adhesiva
adhesives	n+m+pl.adhesivos
adiabatic	a+m.adiabático@a+f.adiabática
adidas	n+m.Adidas
adieu	int.adiós@n+m.despedida
adige	n+m.Adigio
adios	int.adiós
adipose	a+m.adiposo@a+f.adiposa
adirondack	n+m.Adirondack
adirondacks	n+m+pl.Adirondacks
adj	n+m.adjetivo
adjacency	n+f.adyacencia
adjacent	a+m.adyacente@a+f.adyacente
adjective	n+m.adjetivo
adjectives	n+m+pl.adjetivos
adjoining	a.contiguo@a.adyacente
adjoint	n+m.adjunto@a.adjunto
adjourn	vt.aplazar@vi.suspenderse
adjourned	vt.aplazó@a+m.aplazado@a+f.aplazada
adjournment	n+m.aplazamiento@n+f.suspensión
adjudged	vt.adjudicó@vt.juzgó
adjudicated	vt.adjudicó@a+m.adjudicado@a+f.adjudicada
adjudication	n+f.adjudicación
adjudicator	n+m.árbitro@n+m.juez
adjunct	n+m.adjunto@a.adjunto
adjust	vt.ajustar
adjustable	a+m.ajustable@a+f.ajustable
adjusted	a+m.ajustado@a+f.ajustada
adjuster	n+m.ajustador@n+m.regulador
adjusters	n+m+pl.ajustadores
adjusting	v.ajustando
adjustment	n+m.ajuste
adjustments	n+m.ajustes
adjusts	vt.ajusta
adjutant	n+m.ayudante
adjuvant	n+m.adyuvante@a.adyuvante
adkins	n+m.Adkins
adler	n+m.Adler
adm	n+m.administrador
admin	n+m.administrador
administer	vt.administrar
administered	a+m.administrado@a+f.administrada
administering	v.administrando
administers	vt.administra
administration	n+f.administración
administrations	n+f+pl.administraciones
administrative	a+m.administrativo@a+f.administrativa
administratively	ad.administrativamente
administrator	n+m.administrador@n+f.administradora
administrators	n+m.administradores@n+f.administradoras
admins	n+m+pl.administradores
admirable	a.admirable
admirably	ad.admirablemente
admiral	n+m.almirante
admirals	n+m+pl.almirantes
admiralty	n+m.almirantazgo
admiration	n+f.admiración
admire	vt.admirar
admired	vt.admiró@a+m.admirado@a+f.admirada
admirer	n+m.admirador@n+f.admiradora
admirers	n+m+pl.admiradores
admiring	vt.admirando@a.admirador
admissibility	n+f.admisibilidad
admissible	a.admisible
admission	n+f.admisión
admissions	n+f.admisiones
admit	vt.admitir
admits	vt.admite
admittance	n+f.admisión@n+f.entrada
admitted	a+m.admitido@a+f.admitida
admittedly	ad.ciertamente@ad.hay que admitir que
admitting	vt.admitiendo
admixture	n+f.mezcla@n+f.adición
admixtures	n+f+pl.mezclas@n+f+pl.adiciones
admonished	vt.amonestó@a+m.amonestado@a+f.amonestada
admonition	n+f.amonestación
ado	n+m.alboroto
adobe	n+m.Adobe@n+m.adobe
adolescence	n+f.adolescencia
adolescent	n+m.adolescente@n+f.adolescente@a+m.adolescente@a+f.adolescente
adolescents	n+m+pl.adolescentes
adolf	n+m.Adolfo
adolfo	n+m.Adolfo
adolph	n+m.Adolfo
adonis	n+m.Adonis
adopt	vt.adoptar
adopted	a+m.adoptado@a+f.adoptada@v.adoptó
adoptee	n+m.adoptado@n+f.adoptada
adopter	n+m.adoptante
adopters	n+m+pl.adoptantes
adopting	v.adoptando
adoption	n+f.adopción
adoptions	n+f+pl.adopciones
adoptive	a+m.adoptivo@a+f.adoptiva
adopts	vt.adopta
adorable	a+m.adorable@a+f.adorable
adoration	n+f.adoración
adore	vt.adorar
adored	vt.adoró@a+m.adorado@a+f.adorada
adorn	vt.adornar
adorned	a+m.adornado@a+f.adornada
adrenal	a.suprarrenal
adrenalin	n+f.adrenalina
adrenaline	n+f.adrenalina
adrenergic	a+m.adrenérgico@a+f.adrenérgica
adrian	n+m.Adrian
adriana	n+f.Adriana
adriatic	a+m.adriático@a+f.adriática@n+m.Adriático
adrienne	n+f.Adrienne
adrift	ad.a la deriva
ads	n+m.anuncios
adsorbed	vt.adsorbió@a+m.adsorbido@a+f.adsorbida
adsorption	n+f.adsorción
adult	n+m.adulto@n+f.adulta@a+m.adulto@a+f.adulta
adultery	n+m.adulterio
adulthood	n+f.edad adulta
adults	n+m.adultos
adv	n+m.anuncio@ad.adverbio
advance	n+m.avance@v.avanzar
advanced	a+m.avanzado@a+f.avanzada
advancement	n+m.avance
advancements	n+m+pl.avances@n+m+pl.progresos
advances	n+m.avances@vt.avanza
advancing	v.avanzando
advantage	n+f.ventaja
advantageous	a+m.ventajoso@a+f.ventajosa
advantages	n+f.ventajas
advection	n+f.advección
advent	n+m.advenimiento
adventist	n+m.adventista@n+f.adventista@a.adventista
adventure	n+f.aventura
adventurer	n+m.aventurero@n+f.aventurera
adventurers	n+m+pl.aventureros@n+f+pl.aventureras
adventures	n+f.aventuras
adventurous	a+m.aventurero@a+f.aventurera
adverb	n+m.adverbio
adverbs	n+m+pl.adverbios
adversarial	a.adversarial@a.contencioso
