the	art.—
of	prep.का@prep.की@prep.के
and	conj.और
to	prep.को@prep.तक@part.ना
a	art+m.एक@art+f.एक
in	prep.में
for	prep.के लिए
is	v.है
on	prep.पर
that	pron.वह@conj.कि@a.वह
by	prep.द्वारा@prep.से
this	pron+m.यह@pron+f.यह@a+m.यह@a+f.यह
with	prep.के साथ
i	pron.मैं
you	pron.तुम@pron.आप
it	pron+m.यह@pron+f.यह
not	ad.नहीं
or	conj.या
be	v.होना
are	v.हैं
from	prep.से
at	prep.पर@prep.में
as	conj.जैसा@prep.के रूप में
your	pron+m.तुम्हारा@pron+f.तुम्हारी@pron+m.आपका@pron+f.आपकी
all	a.सब@a.सारा@pron.सभी
have	v.रखना@v.होना
new	a+m.नया@a+f.नई
more	a.अधिक@ad.और
an	art+m.एक@art+f.एक
was	v.था@v.थी
we	pron.हम
will	v.होगा@n+f.इच्छा
home	n+m.घर@n+f.गृह
can	v.सकना@n+m.डिब्बा
us	pron.हमें
about	prep.के बारे में@ad.लगभग
if	conj.अगर@conj.यदि
page	n+m.पृष्ठ@n+m.पन्ना
my	pron+m.मेरा@pron+f.मेरी
has	v.है@v.रखता है
search	n+f.खोज@v.खोजना
free	a.मुफ्त@a.स्वतंत्र@a.मुक्त
but	conj.लेकिन@conj.परंतु
our	pron+m.हमारा@pron+f.हमारी
one	n+m.एक@a.एक@pron.कोई
other	a.अन्य@a.दूसरा@pron.दूसरे
do	v.करना
no	a.कोई नहीं@ad.नहीं@int.नहीं
information	n+f.जानकारी@n+m.सूचना
time	n+m.समय@n+f.बार
they	pron+m.वे@pron+f.वे
site	n+m.स्थान@n+f.साइट
he	pron+m.वह
up	ad.ऊपर@prep.ऊपर
may	v.सकना@n+m.मई
what	pron.क्या@a.कौन सा
which	pron.जो@a.कौन सा
their	pron+m.उनका@pron+f.उनकी
news	n+m.समाचार@n+f.खबर
out	ad.बाहर@prep.बाहर
use	v.उपयोग करना@n+m.उपयोग@n+m.प्रयोग
any	a.कोई@pron.कोई भी
there	ad.वहाँ@pron.वहाँ
see	v.देखना
only	ad.केवल@a.एकमात्र
so	ad.इसलिए@conj.तो@ad.इतना
his	pron+m.उसका@pron+f.उसकी
when	ad.कब@conj.जब
contact	n+m.संपर्क@v.संपर्क करना
here	ad.यहाँ
business	n+m.व्यापार@n+m.व्यवसाय@n+f.कंपनी
