a	art+m.एक@art+f.एक@art+n.एक
aachen	n.आखेन
aah	int.आह
aalborg	n.ऑलबोर्ग
aaliyah	n+f.आलिया
aardvark	n+m.आर्डव्हार्क
aarhus	n.आरहुस
aaron	n+m.अॅरन
aba	n+m.एबीए
aback	ad.मागे@ad.चकित
abacus	n+m.अबॅकस
abalone	n+m.अबालोन
abandon	vt.सोडून देणे@n+m.बेफिकीरी
abandoned	a.सोडून दिलेला@v.सोडून दिले
abandoning	v.सोडून देत आहे
abandonment	n+n.त्याग
abandons	v.सोडून देतो
abate	vt.कमी करणे@vi.कमी होणे
abated	v.कमी झाले@a.कमी झालेला
abatement	n+n.कपात
abb	n.एबीबी
abba	n.अब्बा
abbas	n.अब्बास
abbe	n+m.अबे
abbey	n+f.मठ@n+n.मठालय
abbot	n+m.मठाधिपती
abbott	n+m.अॅबॉट
abbr	n+n.संक्षेप
abbrev	n+m.संक्षेप
abbreviated	a.संक्षिप्त
abbreviation	n+f.संक्षेपण
abbreviations	n+f.संक्षेप
abby	n+f.अॅबी
abcs	n.मूलभूत गोष्टी
abdomen	n+n.उदर
abdominal	a.उदर संबंधी
abducted	vt.अपहरण केलेला
abduction	n+f.अपहरण
abductions	n+f.अपहरण
abdul	n+m.अब्दुल
abe	n+m.एबे
abel	n.अबेल
aberdeen	n+n.अबर्डीन
abernathy	n+m.अॅबर्नॅथी
aberrant	a.विचलित@a.असामान्य
aberration	n+f.विचलन
aberrations	n.विचलन
abet	v.साथ देणे@v.मदत करणे
abetting	v.साथ देणे@n+n.मदत करणे
abide	vi.राहणे@vt.पाळणे
abides	v.राहतो@v.पालन करतो
abiding	a.स्थायी
abidjan	n+m.अबिजान
abigail	n.अबिगेल
abilene	n.अबिलीन
abilities	n+f.क्षमता
ability	n+f.क्षमता
abingdon	n.अॅबिंगडन
abiotic	a.अजैविक
abject	a.दयनीय@a.अत्यंत खालच्या दर्जाचा
abl	n.एबीएल
ablation	n+f.अपक्षरण
ablaze	a.पेटलेला@ad.जळत
able	a.सक्षम
ably	ad.कुशलतेने
abner	n.अॅबनर
abnormal	a.असामान्य@a.विकृत
abnormalities	n+f.विकृती
abnormality	n+f.असामान्यता
abnormally	ad.असामान्यपणे
aboard	prep.वर@ad.आत
abode	n+n.निवासस्थान
abolish	vt.नष्ट करणे
abolished	vt.रद्द केले
abolishing	v.नष्ट करणे@n+n.उच्चाटन
abolition	n+f.निर्मूलन
abolitionist	n+m.गुलामगिरी विरोधक@a.उच्चाटनवादी
abominable	a.घृणास्पद@a.भयंकर
abomination	n+f.घृणास्पद गोष्ट
aboriginal	a.आदिवासी@n+m.मूळनिवासी
aborigines	n+m+pl.आदिवासी
abort	vt.गर्भपात करणे@vi.रद्द करणे
aborted	a.रद्द केलेला
aborting	v.गर्भपात करणे@v.रद्द करणे
abortion	n+m.गर्भपात
abortions	n+m.गर्भपात
abound	vi.विपुल असणे
abounds	v.विपुल आहे
about	prep.बद्दल@ad.सुमारे
above	prep.वर@ad.वर
aboveground	a.जमिनीवरील
abr	n.संक्षेप
abraham	n+m.अब्राहम
abram	n.अब्राम
abrams	n.अब्राम्स
abrasion	n+f.घर्षण
abrasive	a.घासक@n+m.घासक पदार्थ
abrasives	n.घर्षक
abreast	ad.बरोबरीने
abridged	a.संक्षिप्त
abroad	ad.परदेशात
abrupt	a.अचानक
abruptly	ad.अचानक
abs	n+m.पोटाचे स्नायू@n+m.एबीएस
absalom	n+m.अबसालोम
abscess	n+m.गळू
absence	n+f.अनुपस्थिती@n+m.अभाव
absences	n.गैरहजेरी
absent	a.अनुपस्थित@a.गैरहजर
absentee	n+m.गैरहजर
absenteeism	n+n.गैरहजेरी
absinthe	n+m.अॅब्सिंथ
absolute	a.पूर्ण@a.परिपूर्ण
absolutely	ad.पूर्णपणे
absolutes	n+n.परम सत्य@n+m.निरपेक्ष
absolution	n+f.क्षमा@n+n.पापमुक्ती
absorb	vt.शोषणे
absorbance	n+f.शोषकता
absorbed	a.शोषित
absorbent	a.शोषक@n+n.शोषक पदार्थ
absorber	n+m.शोषक
absorbers	n.शोषक
absorbing	a.शोषक
absorbs	vt.शोषून घेतो
absorption	n+f.शोषण
abstain	vi.दूर राहणे
abstained	v.दूर राहिले
abstentions	n+f.मतदान टाळणे
abstinence	n+f.संयम
abstract	a.अमूर्त@n+m.सारांश
abstracted	a.तंद्रीत@v.काढले
abstracting	v.सारांश काढणे@n+n.अमूर्तीकरण
abstraction	n+f.अमूर्तता
abstractions	n.अमूर्तता
abstracts	n+m.सारांश@v.काढतो
absurd	a.मूर्खपणाचा
absurdity	n+f.मूर्खपणा
abuja	n+m.अबुजा
abundance	n+f.विपुलता@n+n.मुबलकता
abundances	n+f+pl.विपुलता
abundant	a.मुबलक@a.विपुल
abundantly	ad.विपुलतेने
abuse	n+m.गैरवापर@vt.गैरवापर करणे
abused	a.गैरवापर केलेला
abuser	n+m.गैरवापर करणारा
abusers	n.गैरवापर करणारे
abuses	n+m.गैरवापर@vt.गैरवापर करतो
abusing	vt.गैरवापर करणे
abusive	a.अपमानकारक
abutting	v.लगत असणे@a.संलग्न
aby	v.भोगणे
abysmal	a.अत्यंत वाईट
abyss	n+m.खोल दरी
acacia	n+m.बाभूळ
academe	n+f.शैक्षणिक जग
academia	n+f.शिक्षण जगत
academic	a.शैक्षणिक
academically	ad.शैक्षणिकदृष्ट्या
academics	n+m.शिक्षणतज्ञ@n+f.शैक्षणिक बाबी
academies	n+f.अकादमी
academy	n+f.अकादमी
acadia	n.अकाडिया
acadian	n+m.अकाडियन@a.अकाडियन
acapulco	n.अकापुल्को
acc	n+m.एसीसी
accel	n.प्रवेग
accelerate	vt.वेगवान करणे
accelerated	a.वेगवान@v.वेग वाढवणे
accelerates	vt.वेग वाढवतो
accelerating	vt.वेग वाढवणे
acceleration	n+f.प्रवेग@n+n.वेग वाढ
accelerator	n+m.प्रवेगक
accelerators	n.प्रवेगक
accelerometer	n+m.त्वरणमापक
accent	n+m.उच्चार@n+f.लकब
accented	a.उच्चारणात्मक
accents	n+m.उच्चार@n+f.लकब
accentuate	v.जोर देणे@v.ठळक करणे
accentuated	v.जोर दिला@a.ठळक केलेला
accenture	n.अॅक्सेंचर
accept	vt.स्वीकारणे
acceptability	n+f.स्वीकारार्हता
acceptable	a.स्वीकार्य@a.मान्य
acceptance	n+f.स्वीकृती
acceptances	n+f.स्वीकृती
accepted	a.स्वीकृत@v.स्वीकारले
accepting	v.स्वीकारणे@a.स्वीकारणारा
acceptor	n+m.स्वीकारकर्ता
accepts	v.स्वीकारतो
access	n+m.प्रवेश@vt.प्रवेश करणे
accessed	v.प्रवेश केला@a.प्रवेश केलेला
accesses	vt.प्रवेश करतो
accessibility	n+f.प्रवेशयोग्यता
accessible	a.प्रवेशयोग्य
accessing	v.प्रवेश करणे@a.प्रवेश करणारा
accession	n+f.प्रवेश@n+n.राज्याभिषेक
accessions	n+f+pl.प्रवेश@n+f+pl.नवीन संपादन
accessories	n+f.उपकरणे
accessory	n+f.उपसाधन
accident	n+m.अपघात
accidental	a.अपघाती@a.आकस्मिक
accidentally	ad.चुकून
accidents	n+f.अपघात
acclaim	n+f.प्रशंसा@vt.प्रशंसा करणे
acclaimed	a.प्रशंसित
accolade	n+f.प्रशंसा@n+m.सन्मान
accolades	n+f.प्रशंसा
accommodate	v.सामावून घेणे@v.जागा देणे
accommodated	vt.सामावून घेतले
accommodates	vt.सामावून घेतो
accommodating	a.सामावून घेणारा
accommodation	n+f.निवास@n+f.व्यवस्था
accommodations	n+f.निवास@n+m.राहण्याची व्यवस्था
accompanied	v.सोबत केले@a.सोबत असलेला
accompanies	vt.सोबत असणे
accompaniment	n+n.साथ
accompaniments	n+n.साथसंगत@n+n.सोबतचे पदार्थ
accompany	vt.सोबत जाणे@vt.संगत करणे
accompanying	a.सोबतचा@v.सोबत जाणे
accomplice	n+m.साथीदार@n+m.सहगुन्हेगार
accomplish	vt.पूर्ण करणे@vt.साध्य करणे
accomplished	a.कुशल@v.पूर्ण केले
accomplishes	v.पूर्ण करतो
accomplishing	vt.पूर्ण करणे
accomplishment	n+f.उपलब्धी
accomplishments	n+f.कामगिरी@n+n.साध्य
accord	n+m.करार@n+f.सहमती@vt.देणे
accordance	n+f.अनुपालन
accorded	vt.दिलेला
according	prep.नुसार
accordingly	ad.त्यानुसार@ad.म्हणून
accordion	n+m.अकॉर्डियन
accords	n.करार@vt.मिळवून देतो
account	n+n.खाते@n+m.हिशोब
accountability	n+f.जबाबदारी@n+n.उत्तरदायित्व
accountable	a.जबाबदार
accountancy	n+f.लेखांकन
accountant	n+m.लेखापाल
accountants	n+m.लेखापाल
accounted	v.हिशेब दिला@a.जबाबदार
accounting	n+n.लेखाकर्म
accounts	n+n.खाती
accra	n.अक्रा
accreditation	n+f.मान्यता@n+n.प्रमाणन
accredited	a.मान्यताप्राप्त@v.मान्यता दिली
accrediting	v.मान्यता देत आहे
accretion	n+f.वाढ
accrual	n+f.संचय
accruals	n.संचित
accrue	vi.जमा होणे
accrued	a.जमा झालेला
accruing	v.जमा होत आहे
acct	n+m.खाते
accumulate	vt.जमा करणे
accumulated	v.जमवले@a.एकत्रित
accumulates	v.साठवतो
accumulating	v.जमा करत आहे
accumulation	n+f.संचय@n+n.साठवण
accumulations	n+f+pl.संचय
accumulator	n+m.संचयक
accuracy	n+f.अचूकता
accurate	a.अचूक
accurately	ad.अचूकपणे@ad.यथार्थपणे
accusation	n+f.आरोप
accusations	n+f.आरोप
accuse	vt.आरोप करणे
accused	n+m.आरोपी@v.आरोप केला
accuser	n+m.आरोप करणारा
accuses	vt.आरोप करतो
accusing	vt.आरोप करणे
accustomed	a.सवयीचा
ace	n+m.एक्का@a.उत्कृष्ट
aces	n+m.एक्के
acetaminophen	n+m.अ‍ॅसिटामिनोफेन
acetate	n+m.अॅसिटेट
acetic	a.अॅसिटिक
acetone	n+n.अॅसिटोन
acetyl	n+m.अॅसिटाइल
acetylcholine	n+n.अॅसिटिलकोलीन
acetylene	n+m.अॅसिटिलीन
ache	n+f.वेदना@vi.दुखणे
aches	n.वेदना@vi.दुखणे
achievable	a.साध्य
achieve	vt.साध्य करणे
achieved	v.साध्य केले
achievement	n+f.उपलब्धी@n+n.यश
achievements	n+f.कामगिरी@n+n.सिद्धी
achiever	n+m.साध्यकर्ता
achievers	n+m+pl.यशस्वी लोक
achieves	vt.साध्य करतो
achieving	v.साध्य करणे@a.साध्य करणारा
achilles	n.अकिलीस
aching	a.दुखणारा@v.दुखत आहे
acid	n+n.आम्ल@a.आम्लयुक्त
acidic	a.आम्लीय
acidity	n+f.आम्लता
acidosis	n+m.अॅसिडोसिस
acids	n+n.आम्ल
acis	n+m.अॅसिस
acknowledge	v.मान्य करणे@v.कबूल करणे
