the	art+m.o@art+f.a
of	prep.de
and	conj.e
to	prep.para@prep.a
a	art+m.um@art+f.uma
in	prep.em
for	prep.para@prep.por
is	v.é
on	prep.em@prep.sobre
that	pron.que@conj.que@a+m.esse@a+f.essa
by	prep.por
this	pron+m.este@pron+f.esta@a+m.este@a+f.esta
with	prep.com
i	pron.eu
you	pron.você@pron.tu
it	pron+m.ele@pron+f.ela@pron.isso
not	ad.não
or	conj.ou
be	v.ser@v.estar
are	v.são@v.estão
from	prep.de@prep.desde
at	prep.em@prep.a
as	conj.como@prep.como
your	pron+m.seu@pron+f.sua@pron+m.teu@pron+f.tua
all	a+m.todo@a+f.toda@pron+m.todos@pron+f.todas
have	v.ter@v.haver
new	a+m.novo@a+f.nova
more	ad.mais@a.mais
an	art+m.um@art+f.uma
was	v.foi@v.era@v.estava
we	pron.nós
will	v.irá@n+f.vontade
home	n+f.casa@n+m.lar
can	v.poder@n+f.lata
us	pron.nos@pron.nós
about	prep.sobre@prep.acerca de
if	conj.se
page	n+f.página
my	pron+m.meu@pron+f.minha
has	v.tem@v.há
search	n+f.busca@n+f.pesquisa@v.buscar@v.pesquisar
free	a+m.livre@a+f.livre@a+m.grátis@a+f.grátis
but	conj.mas@conj.porém
our	pron+m.nosso@pron+f.nossa
one	n+m.um@a+m.um@a+f.uma
other	a+m.outro@a+f.outra
do	v.fazer
no	ad.não@a+m.nenhum@a+f.nenhuma
information	n+f.informação
time	n+m.tempo@n+f.vez@n+f.hora
they	pron+m.eles@pron+f.elas
site	n+m.site@n+m.local
he	pron+m.ele
up	ad.acima@prep.para cima
may	v.poder@n+m.maio
what	pron.que@pron.o que
which	pron.qual@pron.que
their	pron+m.seu@pron+f.sua@pron+m.deles@pron+f.delas
news	n+f.notícia@n+f.notícias
out	ad.fora@prep.para fora
use	v.usar@n+m.uso
any	a+m.qualquer@a+f.qualquer@pron+m.algum@pron+f.alguma
there	ad.lá@ad.ali
see	v.ver
only	ad.apenas@ad.somente@a+m.único@a+f.única
so	ad.tão@conj.então@conj.portanto
his	pron+m.seu@pron+f.sua@pron+m.dele
when	ad.quando@conj.quando
contact	n+m.contato@v.contatar
here	ad.aqui
business	n+m.negócio@n+f.empresa
who	pron.quem@pron.que
web	n+f.web@n+f.rede
also	ad.também
now	ad.agora
help	n+f.ajuda@v.ajudar
get	v.obter@v.conseguir@v.receber
pm	n+f.tarde@ad.da tarde
view	n+f.vista@n+f.visão@v.ver@v.visualizar
online	ad.online@a.online
first	a+m.primeiro@a+f.primeira@ad.primeiro
am	v.sou@v.estou
been	v.sido@v.estado
would	v.seria@v.iria
how	ad.como
were	v.foram@v.eram@v.estavam
me	pron.me@pron.mim
services	n+m.serviços
some	a+m.algum@a+f.alguma@pron+m.alguns@pron+f.algumas
these	pron+m.estes@pron+f.estas@a+m.estes@a+f.estas
click	n+m.clique@v.clicar
its	pron+m.seu@pron+f.sua
like	prep.como@v.gostar@a+m.parecido@a+f.parecida
service	n+m.serviço
than	conj.do que@prep.que
find	v.encontrar@v.achar
price	n+m.preço
date	n+f.data@n+m.encontro
back	n+m.costas@ad.de volta@v.apoiar
top	n+m.topo@a+m.superior@a+f.superior
people	n+f.pessoas@n+m.povo
had	v.tinha@v.teve
list	n+f.lista@v.listar
name	n+m.nome@v.nomear
just	ad.apenas@ad.justamente@a+m.justo@a+f.justa
over	prep.sobre@ad.acima@a+m.terminado@a+f.terminada
state	n+m.estado@v.declarar
year	n+m.ano
day	n+m.dia
into	prep.em@prep.para dentro de
email	n+m.email@n+m.correio eletrônico
two	n+m.dois@a+m.dois@a+f.duas
health	n+f.saúde
world	n+m.mundo
re	prep.sobre@prep.referente a
next	a+m.próximo@a+f.próxima@ad.depois
used	a+m.usado@a+f.usada@v.usou
go	v.ir
work	n+m.trabalho@n+f.obra@v.trabalhar
last	a+m.último@a+f.última@v.durar
most	ad.mais@a.a maioria
products	n+m.produtos
music	n+f.música
buy	v.comprar
data	n+m.dados@n+f.data
make	v.fazer@v.fabricar
them	pron+m.eles@pron+f.elas@pron.lhes
should	v.deveria
product	n+m.produto
system	n+m.sistema
post	n+m.posto@n+f.postagem@v.postar
her	pron+f.ela@pron+f.sua@pron+f.dela
city	n+f.cidade
add	v.adicionar@v.acrescentar
policy	n+f.política
number	n+m.número@v.numerar
such	a+m.tal@a+f.tal@ad.tão
please	v.agradar@int.por favor
available	a+m.disponível@a+f.disponível
copyright	n+m.direito autoral
support	n+m.suporte@n+m.apoio@v.apoiar
message	n+f.mensagem
after	prep.após@prep.depois de@conj.depois que
best	a+m.melhor@a+f.melhor@ad.melhor
software	n+m.software@n+m.programa
then	ad.então@ad.depois
jan	n+m.jan
good	a+m.bom@a+f.boa
video	n+m.vídeo
well	ad.bem@n+m.poço@int.bem
where	ad.onde@conj.onde
info	n+f.informação
rights	n+m.direitos
public	a+m.público@a+f.pública@n+m.público
books	n+m.livros
high	a+m.alto@a+f.alta
school	n+f.escola
through	prep.através de@prep.por
each	a+m.cada@pron.cada um
links	n+m.links@n+m.vínculos
she	pron+f.ela
review	n+f.revisão@n+f.avaliação@v.revisar
years	n+m.anos
order	n+f.ordem@n+m.pedido@v.pedir@v.ordenar
very	ad.muito
privacy	n+f.privacidade
book	n+m.livro@v.reservar
items	n+m.itens
company	n+f.empresa@n+f.companhia
read	v.ler@n+f.leitura
group	n+m.grupo
sex	n+m.sexo
need	n+f.necessidade@v.precisar@v.necessitar
many	a+m.muitos@a+f.muitas
user	n+m.usuário@n+f.usuária
said	v.disse
de	prep.de
does	v.faz
set	n+m.conjunto@v.definir@v.colocar
under	prep.sob@prep.debaixo de
general	a+m.geral@a+f.geral@n+m.general
research	n+f.pesquisa@v.pesquisar
university	n+f.universidade
january	n+m.janeiro
mail	n+m.correio@n+f.correspondência@v.enviar
full	a+m.cheio@a+f.cheia@a+m.completo@a+f.completa
map	n+m.mapa@v.mapear
reviews	n+f.avaliações@n+f.revisões
program	n+m.programa@v.programar
life	n+f.vida
know	v.saber@v.conhecer
games	n+m.jogos
way	n+m.caminho@n+f.maneira@n+m.modo
days	n+m.dias
management	n+f.gestão@n+m.gerenciamento
part	n+f.parte@v.separar
could	v.poderia@v.conseguiria
great	a+m.grande@a+f.grande@a+m.ótimo@a+f.ótima
united	a+m.unido@a+f.unida
hotel	n+m.hotel
real	a+m.real@a+f.real@a+m.verdadeiro@a+f.verdadeira
item	n+m.item
international	a+m.internacional@a+f.internacional
ebay	n+m.eBay
must	v.dever@v.precisar
store	n+f.loja@v.armazenar
travel	n+f.viagem@v.viajar
comments	n+m.comentários
made	v.fez@a+m.feito@a+f.feita
development	n+m.desenvolvimento
report	n+m.relatório@n+f.reportagem@v.relatar
off	ad.desligado@prep.de@ad.fora
member	n+m.membro
details	n+m.detalhes
line	n+f.linha
terms	n+m.termos@n+f.condições
before	prep.antes de@conj.antes que@ad.antes
hotels	n+m.hotéis
did	v.fez
send	v.enviar@v.mandar
right	a+m.certo@a+f.certa@n+m.direito@a+m.direito@a+f.direita@ad.certo
type	n+m.tipo@v.digitar
because	conj.porque
local	a+m.local@a+f.local@n+m.local
those	pron+m.aqueles@pron+f.aquelas@a+m.aqueles@a+f.aquelas
using	v.usando
results	n+m.resultados
office	n+m.escritório
education	n+f.educação
national	a+m.nacional@a+f.nacional
car	n+m.carro
design	n+m.design@n+m.projeto@v.projetar
take	v.tomar@v.levar@v.pegar
posted	v.postou@a+m.publicado@a+f.publicada
internet	n+f.internet
address	n+m.endereço@v.endereçar
community	n+f.comunidade
within	prep.dentro de@prep.em
states	n+m.estados
area	n+f.área
want	v.querer@v.desejar
phone	n+m.telefone@v.telefonar
shipping	n+m.envio@n+f.expedição
reserved	a+m.reservado@a+f.reservada
subject	n+m.assunto@n+f.matéria@a+m.sujeito@a+f.sujeita
between	prep.entre
forum	n+m.fórum
family	n+f.família
long	a+m.longo@a+f.longa@ad.muito tempo
based	a+m.baseado@a+f.baseada
code	n+m.código
show	v.mostrar@n+m.show@n+m.espetáculo
even	ad.mesmo@ad.até@a+m.par
black	a+m.preto@a+f.preta@n+m.preto
check	v.verificar@n+m.cheque@n+f.verificação
special	a+m.especial@a+f.especial
prices	n+m.preços
website	n+m.site@n+f.página web
index	n+m.índice@v.indexar
being	v.sendo@n+m.ser
women	n+f.mulheres
much	ad.muito@a+m.muito@a+f.muita
sign	n+m.sinal@n+f.placa@v.assinar
file	n+m.arquivo@n+f.lima@v.arquivar
link	n+m.link@n+m.vínculo@v.vincular
open	a+m.aberto@a+f.aberta@v.abrir
today	ad.hoje@n+m.hoje
technology	n+f.tecnologia
south	n+m.sul@a+m.sul
case	n+m.caso@n+f.caixa
project	n+m.projeto@v.projetar
same	a+m.mesmo@a+f.mesma
pages	n+f.páginas
version	n+f.versão
section	n+f.seção
own	a+m.próprio@a+f.própria@v.possuir
found	v.encontrou@v.achou@v.fundar
sports	n+m.esportes
house	n+f.casa
related	a+m.relacionado@a+f.relacionada
security	n+f.segurança
both	pron+m.ambos@pron+f.ambas@a+m.ambos@a+f.ambas
county	n+m.condado
american	a+m.americano@a+f.americana@n+m.americano@n+f.americana
photo	n+f.foto
game	n+m.jogo
members	n+m.membros
power	n+m.poder@n+f.energia@v.alimentar
while	conj.enquanto@n+m.tempo
care	n+m.cuidado@v.cuidar@v.importar
network	n+f.rede
down	ad.abaixo@prep.para baixo@a+m.deprimido@a+f.deprimida
computer	n+m.computador
systems	n+m.sistemas
three	n+m.três@a+m.três@a+f.três
total	n+m.total@a+m.total@a+f.total
place	n+m.lugar@n+m.local@v.colocar
end	n+m.fim@n+f.final@v.terminar
following	a+m.seguinte@a+f.seguinte@prep.após
download	n+m.download@v.baixar
him	pron.ele@pron.lhe@pron.o
without	prep.sem
per	prep.por
access	n+m.acesso@v.acessar
think	v.pensar@v.achar
north	n+m.norte@a+m.norte
resources	n+m.recursos
current	a+m.atual@a+f.atual@n+f.corrente
posts	n+f.postagens@n+m.postos
big	a+m.grande@a+f.grande
media	n+f.mídia@n+m.meios de comunicação
law	n+f.lei@n+m.direito
control	n+m.controle@v.controlar
water	n+f.água@v.regar
history	n+f.história
pictures	n+f.fotos@n+f.imagens
size	n+m.tamanho
art	n+f.arte
personal	a+m.pessoal@a+f.pessoal
since	prep.desde@conj.desde que@conj.já que
including	prep.incluindo@v.incluindo
guide	n+m.guia@v.guiar
shop	n+f.loja@v.comprar
directory	n+m.diretório
board	n+f.placa@n+m.conselho@n+m.quadro
location	n+f.localização@n+m.local
change	n+f.mudança@n+m.troco@v.mudar
white	a+m.branco@a+f.branca@n+m.branco
text	n+m.texto
small	a+m.pequeno@a+f.pequena
rating	n+f.classificação@n+f.avaliação
rate	n+f.taxa@n+m.índice@v.avaliar
government	n+m.governo
children	n+f.crianças@n+m.filhos
during	prep.durante
return	n+m.retorno@n+f.volta@v.retornar@v.voltar
students	n+m.estudantes@n+m.alunos
shopping	n+f.compras@v.comprando
account	n+f.conta@v.contabilizar
times	n+m.tempos@n+f.vezes
sites	n+m.sites@n+m.locais
level	n+m.nível
digital	a+m.digital@a+f.digital
profile	n+m.perfil
previous	a+m.anterior@a+f.anterior@a+m.prévio@a+f.prévia
form	n+m.formulário@n+f.forma@v.formar
events	n+m.eventos
love	n+m.amor@v.amar
old	a+m.velho@a+f.velha@a+m.antigo@a+f.antiga
john	n+m.João
main	a+m.principal@a+f.principal
call	n+f.chamada@n+m.telefonema@v.chamar@v.ligar
hours	n+f.horas
image	n+f.imagem
department	n+m.departamento
title	n+m.título
description	n+f.descrição
non	prep.não
insurance	n+m.seguro
another	a+m.outro@a+f.outra@pron+m.outro@pron+f.outra
why	ad.por que@conj.por que
shall	v.deverá
property	n+f.propriedade
class	n+f.classe@n+f.aula
cd	n+m.CD
still	ad.ainda@a+m.imóvel@a+f.imóvel
money	n+m.dinheiro
quality	n+f.qualidade
every	a+m.cada@a+f.cada@a+m.todo@a+f.toda
listing	n+f.listagem@n+m.anúncio
content	n+m.conteúdo@a+m.contente@a+f.contente
country	n+m.país@n+m.campo
private	a+m.privado@a+f.privada@a+m.particular@a+f.particular
little	a+m.pequeno@a+f.pequena@ad.pouco
visit	n+f.visita@v.visitar
save	v.salvar@v.economizar@v.poupar
tools	n+f.ferramentas
low	a+m.baixo@a+f.baixa
reply	n+f.resposta@v.responder
customer	n+m.cliente@n+f.cliente
december	n+m.dezembro
compare	v.comparar
movies	n+m.filmes
include	v.incluir
college	n+f.faculdade
value	n+m.valor@v.valorizar
article	n+m.artigo
york	n+m.York
man	n+m.homem
card	n+m.cartão
jobs	n+m.empregos@n+m.trabalhos
provide	v.fornecer@v.prover
food	n+f.comida@n+m.alimento
source	n+f.fonte
author	n+m.autor@n+f.autora
different	a+m.diferente@a+f.diferente
press	n+f.imprensa@v.pressionar
learn	v.aprender
sale	n+f.venda@n+f.promoção
around	prep.ao redor de@ad.em torno
print	v.imprimir@n+f.impressão
course	n+m.curso@n+f.disciplina
job	n+m.emprego@n+m.trabalho
canada	n+m.Canadá
process	n+m.processo@v.processar
teen	n+m.adolescente@n+f.adolescente
room	n+m.quarto@n+f.sala
stock	n+m.estoque@n+f.ação
training	n+m.treinamento@n+f.formação
too	ad.também@ad.demais
credit	n+m.crédito@v.creditar
point	n+m.ponto@v.apontar
join	v.juntar@v.entrar@v.unir
science	n+f.ciência
men	n+m.homens
categories	n+f.categorias
advanced	a+m.avançado@a+f.avançada
west	n+m.oeste@a+m.oeste
sales	n+f.vendas
look	v.olhar@n+m.olhar@n+f.aparência
english	a+m.inglês@a+f.inglesa@n+m.inglês
left	a+m.esquerdo@a+f.esquerda@v.deixou@v.saiu
team	n+f.equipe@n+m.time
estate	n+f.propriedade@n+m.imóvel
box	n+f.caixa
conditions	n+f.condições
select	v.selecionar@a+m.seleto@a+f.seleta
windows	n+f.janelas@n+m.Windows
photos	n+f.fotos
gay	a+m.gay@a+f.gay@n+m.gay
thread	n+m.fio@n+f.linha@n+m.tópico
week	n+f.semana
category	n+f.categoria
note	n+f.nota@n+m.bilhete@v.notar
live	v.viver@v.morar@a+m.ao vivo@a+f.ao vivo
large	a+m.grande@a+f.grande
gallery	n+f.galeria
table	n+f.mesa@n+f.tabela
register	v.registrar@n+m.registro
however	ad.porém@ad.contudo@conj.no entanto
june	n+m.junho
october	n+m.outubro
november	n+m.novembro
market	n+m.mercado@v.comercializar
library	n+f.biblioteca
really	ad.realmente@ad.mesmo
action	n+f.ação
start	n+m.início@v.começar@v.iniciar
series	n+f.série
model	n+m.modelo@v.modelar
features	n+f.características@n+m.recursos
air	n+m.ar
industry	n+f.indústria
plan	n+m.plano@v.planejar
human	a+m.humano@a+f.humana@n+m.humano
provided	v.forneceu@a+m.fornecido@a+f.fornecida@conj.desde que
yes	ad.sim@int.sim
required	a+m.necessário@a+f.necessária@a+m.obrigatório@a+f.obrigatória
second	a+m.segundo@a+f.segunda@n+m.segundo
hot	a+m.quente@a+f.quente
accessories	n+m.acessórios
cost	n+m.custo@v.custar
movie	n+m.filme
forums	n+m.fóruns
march	n+m.março@n+f.marcha@v.marchar
la	art+f.a
september	n+m.setembro
better	a+m.melhor@a+f.melhor@ad.melhor
say	v.dizer
questions	n+f.perguntas@n+f.questões
july	n+m.julho
yahoo	n+m.Yahoo
going	v.indo
medical	a+m.médico@a+f.médica
test	n+m.teste@n+f.prova@v.testar
friend	n+m.amigo@n+f.amiga
come	v.vir@v.chegar
dec	n+m.dez
server	n+m.servidor
pc	n+m.PC@n+m.computador
study	n+m.estudo@v.estudar
application	n+f.aplicação@n+m.aplicativo
cart	n+m.carrinho
staff	n+m.pessoal@n+f.equipe
articles	n+m.artigos
san	a+m.são
feedback	n+m.feedback@n+f.opinião
again	ad.novamente@ad.de novo
play	v.jogar@v.tocar@v.brincar@n+f.peça
looking	v.olhando@v.procurando
issues	n+f.questões@n+m.problemas@n+f.edições
april	n+m.abril
never	ad.nunca@ad.jamais
users	n+m.usuários@n+f.usuárias
complete	a+m.completo@a+f.completa@v.completar
street	n+f.rua
topic	n+m.tópico@n+m.assunto
comment	n+m.comentário@v.comentar
financial	a+m.financeiro@a+f.financeira
things	n+f.coisas
working	v.trabalhando@a+m.funcionando@a+f.funcionando
against	prep.contra
standard	n+m.padrão@a+m.padrão@a+f.padrão
tax	n+m.imposto@v.tributar
person	n+f.pessoa
below	prep.abaixo de@ad.abaixo
mobile	a+m.móvel@a+f.móvel@n+m.celular
less	ad.menos@a.menos
got	v.conseguiu@v.obteve
blog	n+m.blog
party	n+f.festa@n+m.partido
payment	n+m.pagamento
equipment	n+m.equipamento
login	n+m.login@v.entrar
student	n+m.estudante@n+f.estudante@n+m.aluno@n+f.aluna
let	v.deixar@v.permitir
