reside	vi.cư trú
love	v.yêu@n.tình yêu
loves	v.yêu@n.tình yêu
requiring	v.yêu cầu@v.đòi hỏi
requesting	v.yêu cầu
require	v.yêu cầu
requires	v.yêu cầu
alight	v.xuống xe
descended	v.xuống
clash	v.xung đột@n.xung đột
deserved	v.xứng đáng@a.đáng được
deserve	v.xứng đáng
deserves	v.xứng đáng
abet	v.xúi giục
insult	v.xúc phạm@n.xúc phạm
offend	v.xúc phạm
offended	v.xúc phạm
offending	v.xúc phạm
discharged	v.xuất viện@a.được thải ra
ejaculate	v.xuất tinh@v.kêu lên
ejaculating	v.xuất tinh
excel	v.xuất sắc@n.Excel
export	v.xuất khẩu@n.xuất khẩu
exporting	v.xuất khẩu@n.việc xuất khẩu
exported	v.xuất khẩu
appearing	v.xuất hiện@v.có vẻ
reappear	v.xuất hiện lại
appear	v.xuất hiện
appears	v.xuất hiện
emerges	v.xuất hiện
publish	v.xuất bản@v.công bố
publishes	v.xuất bản
shoo	v.xua
handled	v.xử lý@v.cầm
handle	v.xử lý@n.tay cầm
processed	v.xử lý@a.được xử lý@a.chế biến
disposed	v.xử lý@a.có khuynh hướng
swirl	v.xoáy@n.xoáy
swivel	v.xoay@n.khớp xoay
rotating	v.xoay@a.luân phiên
rotate	v.xoay
twists	v.xoắn@n.xoắn
cleared	v.xóa@a.được xóa
deleted	v.xóa@a.bị xóa
appease	v.xoa dịu
soothe	v.xoa dịu
clears	v.xóa
delete	v.xóa
deleting	v.xóa
erase	v.xóa
remove	v.xóa
pierced	v.xỏ khuyên@v.đâm thủng
beg	v.xin@v.van xin
apologize	v.xin lỗi
excused	v.xin lỗi
reapply	v.xin lại
deflate	v.xì hơi
ranked	v.xếp hạng@a.được xếp hạng
stacked	v.xếp chồng
stacking	v.xếp chồng
alternating	v.xen kẽ
watched	v.xem@v.theo dõi
view	v.xem@n.xem@n.quan điểm
watch	v.xem@n.đồng hồ
reviewing	v.xem xét@v.đánh giá
reconsider	v.xem xét lại
scrutinize	v.xem xét kỹ
consider	v.xem xét
revisited	v.xem lại@a.được xem lại
rip	v.xé@n.vết rách
ripped	v.xé@a.rách
torn	v.xé@a.bị rách
rend	v.xé toạc
rive	v.xé toạc
ripping	v.xé
tearing	v.xé
happening	v.xảy ra@n.sự kiện@a.hợp thời
happen	v.xảy ra
occur	v.xảy ra
occurring	v.xảy ra
occurs	v.xảy ra
construct	v.xây dựng@n.cấu trúc
builds	v.xây dựng@n.bản dựng
constructed	v.xây dựng@a.được xây dựng
rebuilding	v.xây dựng lại@n.tái thiết
rebuilt	v.xây dựng lại@a.được xây dựng lại
rebuild	v.xây dựng lại
reconstructed	v.xây dựng lại
build	v.xây dựng
constructing	v.xây dựng
formulate	v.xây dựng
milling	v.xay
threading	v.xâu chỉ
shuffle	v.xáo@n.xáo trộn
intrude	v.xâm nhập
penetrate	v.xâm nhập
penetrating	v.xâm nhập
invade	v.xâm lược
invaded	v.xâm lược
validated	v.xác thực@a.được xác thực
authenticate	v.xác thực
authenticated	v.xác thực
validate	v.xác thực
confirming	v.xác nhận@n.việc xác nhận
confirmed	v.xác nhận@a.được xác nhận
endorsed	v.xác nhận@a.được xác nhận
confirms	v.xác nhận
endorse	v.xác nhận
verify	v.xác minh@v.kiểm tra
verified	v.xác minh@a.được xác minh
verifying	v.xác minh
determines	v.xác định@v.quyết định
determining	v.xác định@v.quyết định
identifies	v.xác định@v.nhận dạng
ascertain	v.xác định
determine	v.xác định
discharge	v.xả@v.thải@n.sự xả
flush	v.xả nước@a.ngang bằng
flushing	v.xả nước
socialize	v.xã hội hóa
dispose	v.vứt bỏ@v.sắp xếp
discarded	v.vứt bỏ@a.bị vứt bỏ
exceed	v.vượt@v.vượt quá
overcome	v.vượt qua@v.khắc phục
passes	v.vượt qua@v.đậu@n.thẻ đi lại
pass	v.vượt qua@n.thẻ đi lại
exceeded	v.vượt quá@a.vượt quá
exceeding	v.vượt quá@a.vượt quá
exceeds	v.vượt quá
overcoming	v.vượt qua
transcend	v.vượt qua
rejoice	v.vui mừng
fits	v.vừa@v.phù hợp@n.cơn
fit	v.vừa@a.phù hợp
rush	v.vội@v.lao@n.sự vội vã
hurry	v.vội@n.sự vội vã
rushed	v.vội vàng@a.vội vã
rushing	v.vội vã@n.đổ xô
hie	v.vội vã
hustle	v.vội vã
shattered	v.vỡ vụn
clap	v.vỗ tay
disable	v.vô hiệu hóa@v.tắt
disabling	v.vô hiệu hóa
rewrite	v.viết lại@n.việc viết lại
rewritten	v.viết lại@a.được viết lại
capitalized	v.viết hoa
authored	v.viết
write	v.viết
writes	v.viết
invoke	v.viện dẫn@v.gọi
invoked	v.viện dẫn
violates	v.vi phạm@v.xâm phạm
violating	v.vi phạm@n.việc vi phạm
breaches	v.vi phạm@n.vi phạm
violated	v.vi phạm@a.bị vi phạm
violate	v.vi phạm
pinch	v.véo@n.nhúm
draws	v.vẽ@v.thu hút
drawn	v.vẽ@v.kéo
drew	v.vẽ@n.Drew
charting	v.vẽ đồ thị
borrowing	v.vay@n.vay mượn
waving	v.vẫy
stumbled	v.vấp
obey	v.vâng lời
remained	v.vẫn@v.ở lại
screwed	v.vặn@a.bị lừa
beseech	v.van xin
operates	v.vận hành@v.hoạt động
operated	v.vận hành@v.điều hành@v.mổ
commissioning	v.vận hành
operate	v.vận hành
campaigning	v.vận động tranh cử
canvass	v.vận động
transport	v.vận chuyển@n.vận chuyển
transports	v.vận chuyển@n.vận chuyển
transported	v.vận chuyển@a.được vận chuyển
transporting	v.vận chuyển
exposes	v.vạch trần
exposing	v.vạch trần
uncover	v.vạch trần
bump	v.va chạm@n.vết sưng
darn	v.vá
mend	v.vá
patched	v.vá
authorised	v.ủy quyền@a.được ủy quyền
commissioned	v.ủy quyền@a.được ủy quyền
authorize	v.ủy quyền
delegated	v.ủy quyền
mandated	v.ủy nhiệm@a.được ủy nhiệm
preempt	v.ưu tiên
prioritise	v.ưu tiên
drink	v.uống@n.đồ uống
downing	v.uống
drank	v.uống
flex	v.uốn@n.sự uốn
curl	v.uốn@n.lọn tóc
meander	v.uốn khúc
bending	v.uốn cong@n.việc uốn cong
bend	v.uốn cong@n.khúc cua
wish	v.ước@n.ước
wishing	v.ước@n.mong muốn
wished	v.ước@a.được ước
overestimate	v.ước tính quá cao
estimating	v.ước tính
advocate	v.ủng hộ@n.người ủng hộ
backed	v.ủng hộ@a.được hỗ trợ
advocating	v.ủng hộ
upheld	v.ủng hộ
improvise	v.ứng biến
ironing	v.ủi
inhibited	v.ức chế
brewing	v.ủ@n.sản xuất bia
brew	v.ủ@n.bia
composting	v.ủ phân
sworn	v.tuyên thệ@a.đã tuyên thệ
recruiting	v.tuyển dụng@n.tuyển dụng
recruits	v.tuyển dụng@n.tuyển dụng
recruit	v.tuyển dụng@n.tân binh
recruited	v.tuyển dụng@a.được tuyển dụng
claimed	v.tuyên bố@v.nhận
declared	v.tuyên bố@v.khai báo
declares	v.tuyên bố@v.khai báo
claim	v.tuyên bố@n.tuyên bố
claiming	v.tuyên bố
declare	v.tuyên bố
declaring	v.tuyên bố
proclaimed	v.tuyên bố
stating	v.tuyên bố
customize	v.tùy chỉnh@v.tùy biến
customised	v.tùy chỉnh@a.được tùy chỉnh
customise	v.tùy chỉnh
customizing	v.tùy chỉnh
correspond	v.tương ứng
corresponds	v.tương ứng
imagined	v.tưởng tượng@a.tưởng tượng
imagine	v.tưởng tượng
symbolize	v.tượng trưng
interacting	v.tương tác@n.việc tương tác
interact	v.tương tác
correlated	v.tương quan@a.có tương quan
contrasts	v.tương phản@n.tương phản
contrasting	v.tương phản
watering	v.tưới nước
stripped	v.tước@a.bị tước
deprived	v.tước đoạt@a.thiếu thốn
deprive	v.tước đoạt
toss	v.tung@n.cú tung
juggle	v.tung hứng
phased	v.từng giai đoạn
grabbed	v.túm@a.được túm
serialize	v.tuần tự hóa
adhere	v.tuân thủ@v.dính vào
comply	v.tuân thủ@v.chấp hành
complied	v.tuân thủ
complies	v.tuân thủ
complying	v.tuân thủ
conform	v.tuân thủ
conforming	v.tuân thủ
conforms	v.tuân thủ
abide	v.tuân theo
rewind	v.tua lại
consult	v.tư vấn@v.hỏi ý kiến
consulted	v.tư vấn@a.được tư vấn
advises	v.tư vấn
advising	v.tư vấn
congregate	v.tụ tập
privatize	v.tư nhân hóa
wondering	v.tự hỏi@v.băn khoăn
wondered	v.tự hỏi@a.đã tự hỏi
automate	v.tự động hóa
resigned	v.từ chức@a.đã từ chức
resign	v.từ chức
denied	v.từ chối@v.phủ nhận
denies	v.từ chối@v.phủ nhận
denying	v.từ chối@v.phủ nhận
decline	v.từ chối@v.giảm@n.sự suy giảm
refusing	v.từ chối@n.việc từ chối
declines	v.từ chối@n.suy giảm
refuse	v.từ chối@n.rác thải
reject	v.từ chối@n.phế phẩm
rejects	v.từ chối@n.phế phẩm
declined	v.từ chối@a.giảm
refused	v.từ chối@a.bị từ chối
rejected	v.từ chối@a.bị từ chối
disclaim	v.từ chối
disclaims	v.từ chối
nix	v.từ chối
refuses	v.từ chối
rejecting	v.từ chối
abandon	v.từ bỏ
forego	v.từ bỏ
forgo	v.từ bỏ
waive	v.từ bỏ
waived	v.từ bỏ
transmitted	v.truyền@a.được truyền
infuse	v.truyền vào
retransmit	v.truyền lại
convey	v.truyền đạt
conveyed	v.truyền đạt
impart	v.truyền đạt
inspired	v.truyền cảm hứng@a.được truyền cảm hứng
inspire	v.truyền cảm hứng
transmit	v.truyền
transmitting	v.truyền
prosecuted	v.truy tố
tracing	v.truy tìm@n.truy vết
