ABA	n+f.aba
ABB	n+m.abb
ABBA	n+m.abba
ABL	n+m.abl
ABS	n+m.abs
AIS	n+m.ais
ANZAC	n+m.anzac
APIs	n+f+pl.apis
APO	n+m.apo
ARD	n+m.ard
ARP	n+m.arp
ARPANET	n+f.arpanet
ASA	n+m.asa
ASP	n+m.asp
AT&T	n+m.att
ATS	n+m.ats
AUD	n+m.aud
AVN	n+m.avn
Aalborg	n+m.aalborg
Aaliyah	n+f.aaliyah
Aarhus	n+m.aarhus
Aaron	n+m.aaron
Abbas	n+m.abbas
Abbott	n+m.abbott
Abby	n+f.abby
Abdul	n+m.abdul
Abdías	n+m.obadiah
Abe	n+m.abe
Abel	n+m.abel
Aberdeen	n+m.aberdeen
Abernathy	n+m.abernathy
Abigail	n+f.abigail
Abilene	n+m.abilene
Abingdon	n+m.abingdon
Abiyán	n+m.abidjan
Abner	n+m.abner
Abraham	n+m.abraham
Abram	n+m.abram
Abrams	n+m.abrams
Absalón	n+m.absalom
Abuya	n+f.abuja
Aby	n+m.aby
Acadia	n+f.acadia
Acapulco	n+m.acapulco
Accenture	n+m.accenture
Accra	n+m.accra
Acis	n+m.acis
Acme	n+m.acme
Acosta	n+m.acosta
Acton	n+m.acton
Acuario	n+m.aquarius
Ada	n+f.ada
Adams	n+m.adams
Addams	n+m.addams
Addie	n+f.addie
Addington	n+m.addington
Addison	n+m.addison
Adela	n+f.adele
Adelaida	n+f.adelaide
Adeline	n+f.adeline
Adidas	n+m.adidas
Adigio	n+m.adige
Adirondack	n+m.adirondack
Adirondacks	n+m+pl.adirondacks
Adkins	n+m.adkins
Adler	n+m.adler
Adobe	n+m.adobe
Adolfo	n+m.adolf@n+m.adolfo@n+m.adolph
Adonis	n+m.adonis
Adrian	n+m.adrian
Adriana	n+f.adriana
Adriano	n+m.hadrian
Adrienne	n+f.adrienne
Adriático	n+m.adriatic
Advil	n+m.advil
Adán	n+m.adam
Adén	n+m.aden
Aetna	n+f.aetna
Afganistán	n+m.afghanistan
Afrodita	n+f.aphrodite
Aga	n+m.aga
Agadir	n+m.agadir
Agar	n+f.hagar
