52	num.lii
ARPANET	n+m.arpanet
Abernathy	n+m.abernathy
Abidjan	n+m.abidjan
Absalom	n+m.absalom
Abuja	n+m.abuja
Acadien	n+m.acadian
Achab	n+m.ahab
Acis	n+m.acis
Addams	n+m.addams
Addie	n+f.addie
Addington	n+m.addington
Adeline	n+f.adeline
Adige	n+m.adige
Adirondacks	n+m.adirondacks
Adolfo	n+m.adolfo
Advil	n+m.advil
Agadir	n+m.agadir
Agar	n+f.hagar
Agee	n+m.agee
Agni	n+m.agni
Agricola	n+m.agricola
Agrippa	n+m.agrippa
Aguirre	n+m.aguirre
Agustin	n+m.agustin
Airdrie	n+m.airdrie
Aisha	n+f.aisha
Ajmer	n+m.ajmer
Alamogordo	n+m.alamogordo
Albee	n+m.albee
Alcott	n+m.alcott
Alexia	n+f.alexia
Aline	n+f.aline
Alisha	n+f.alisha
Alissa	n+f.alissa
Allyson	n+f.allyson
Almaty	n+m.almaty
Alpert	n+m.alpert
Alphonse	n+m.alphonse
Altaïr	n+m.altair
Altona	n+f.altona
Aléoute	n+m.aleutian
Amazones	n+f.amazons
Ambler	n+m.ambler
Ammon	n+m.ammon
Amoco	n+m.amoco
Amway	n+m.amway
Anatole	n+m.anatole
Anatolie	n+f.anatolia
Anatolien	n+m.anatolian
Ancône	n+f.ancona
Andorran	n+m.andorran
Andretti	n+m.andretti
Andros	n+m.andros
Angeline	n+f.angeline
Angell	n+m.angell
Angelou	n+f.angelou
Anglais	n+m.englishmen
Angélique	n+f.angelique
Animas	n+f.animas
Anjou	n+m.anjou
Annabel	n+f.annabel
Annabelle	n+f.annabelle
Annecy	n+f.annecy
Annenberg	n+m.annenberg
Anselme	n+m.anselm
Anselmo	n+m.anselmo
Antibes	n+m.antibes
Antigone	n+f.antigone
Anubis	n+m.anubis
Appalaches	n+f.appalachia
Appleseed	n+m.appleseed
Aquino	n+m.aquino
Arabella	n+f.arabella
Arachné	n+f.arachne
Arad	n+m.arad
Aram	n+m.aram
Ararat	n+m.ararat
Archimède	n+m.archimedes
Arequipa	n+m.arequipa
Arezzo	n+m.arezzo
Argentin	n+m.argentinian@n+m.argentinean
Arian	n+m.arian
Ariz	n+m.ariz
Arjuna	n+m.arjuna
Arlo	n+m.arlo
Arnhem	n+m.arnhem
Artie	n+m.artie
Ashkénaze	n+m.ashkenazi
Assouan	n+f.aswan
Assyrie	n+f.assyria
Astaire	n+m.astaire
Asturies	n+f.asturias
Atacama	n+m.atacama
Athénien	n+m.athenian
Audra	n+f.audra
Aurelia	n+f.aurelia
Aurèle	n+m.aurelius
Auvergne	n+f.auvergne
BDL	n+m.bdl
Baal	n+m.baal
Babbitt	n+m.babbitt
Bacardi	n+m.bacardi
Backus	n+m.backus
Baffin	n+m.baffin
Bahaméen	n+m.bahamian
Baileys	n+m.baileys
Balenciaga	n+m.balenciaga
Ballymena	n+f.ballymena
Balzac	n+m.balzac
Bamako	n+f.bamako
Bamberg	n+m.bamberg
Banach	n+m.banach
Bandung	n+f.bandung
Bannister	n+m.bannister
Barack	n+m.barack
Barbarie	n+f.barbary
Bareilly	n+m.bareilly
Barents	n+m.barents
Barnaby	n+m.barnaby
Barnabé	n+m.barnabas
Barrera	n+f.barrera
Barros	n+m.barros
Barça	n+m.barca
Basques	n+m.basques
Basse-Saxe	n+f.niedersachsen
Baudelaire	n+m.baudelaire
Bax	n+m.bax
Bayard	n+m.bayard
Baywatch	n+f.baywatch
Baïkal	n+m.baikal
Beaconsfield	n+m.beaconsfield
Beardsley	n+m.beardsley
Beatriz	n+f.beatriz
Beauregard	n+m.beauregard
Becket	n+m.becket
Belgravia	n+f.belgravia
Bellini	n+m.bellini
Belushi	n+m.belushi
Benet	n+m.benet
Beng	n+m.beng
Beni	n+m.beni
Bennie	n+m.bennie
Berbère	n+m.berber
Berchtesgaden	n+f.berchtesgaden
Bergame	n+f.bergamo
Bergerac	n+m.bergerac
Berkshires	n+m.berkshires
Berlioz	n+m.berlioz
Berlitz	n+m.berlitz
Bermudien	n+m.bermudian
Bernanke	n+m.bernanke
Bernhardt	n+f.bernhardt
Bernois	n+m.bernese
Bernoulli	n+m.bernoulli
Berra	n+m.berra
Bessel	n+m.bessel
Bessemer	n+m.bessemer
Betsey	n+f.betsey
Bevan	n+m.bevan
Beveridge	n+m.beveridge
Biafra	n+m.biafra
Biarritz	n+m.biarritz
Bibb	n+m.bibb
Bichkek	n+f.bishkek
Bielefeld	n+m.bielefeld
Biff	n+m.biff
Bilbo	n+m.bilbo
Billiton	n+m.billiton
Bimini	n+m.bimini
Birkenhead	n+m.birkenhead
Bizet	n+m.bizet
Blanc	n+m.whitey
Blankenship	n+m.blankenship
Blevins	n+m.blevins
Bligh	n+m.bligh
Bloemfontein	n+f.bloemfontein
Blok	n+m.blok
Boaz	n+m.boaz
Bochum	n+m.bochum
Bogle	n+m.bogle
Boltzmann	n+m.boltzmann
Bolzano	n+f.bolzano
Boniface	n+m.boniface
Bookman	n+m.bookman
Borghese	n+m.borghese
Bork	n+m.bork
Bostonien	n+m.bostonian
Botha	n+m.botha
Boulogne	n+m.boulogne
Bourgas	n+f.burgas
Bourgogne	n+f.bourgogne
Bourriquet	n+m.eeyore
Bowery	n+m.bowery
Boyne	n+f.boyne
Brabant	n+m.brabant
Bradstreet	n+m.bradstreet
Braga	n+f.braga
Branden	n+m.branden
Brazzaville	n+f.brazzaville
Brecht	n+m.brecht
Breda	n+f.breda
Brenton	n+m.brenton
Breuer	n+m.breuer
Bridger	n+m.bridger
Bridgetown	n+m.bridgetown
Bridgette	n+f.bridgette
Brigid	n+f.brigid
Britannique	n+m.briton
Brodsky	n+m.brodsky
Brokaw	n+m.brokaw
Brubeck	n+m.brubeck
Bruckner	n+m.bruckner
Brunswick	n+m.braunschweig
Brésiliens	n+m.brazilians
Buhl	n+m.buhl
Bulgari	n+m.bulgari
Bunyan	n+m.bunyan
Burgos	n+m.burgos
Burks	n+m.burks
Burney	n+m.burney
Burris	n+m.burris
Bursa	n+f.bursa
Bushman	n+m.bushman
Byblos	n+m.byblos
Byzance	n+f.byzantium
Bède	n+m.bede
Béthune	n+f.bethune
Caerphilly	n+m.caerphilly
