अँधेरा कमरा	n+m.darkroom
अंक	n+m.number@n+m.point@n+m.points@n+m.marks@n+m.pts@n+m.digit@n+m.digits@n+m.numerals@n+m.numeral
अंक पत्र	n+m.transcript
अंकगणित	n+m.arithmetic
अंकगणितीय	a.arithmetic
अंकन	n+f.underwriting
अंकशास्त्र	n+f.numerology
अंकारा	n+f.ankara
अंकित	a.inscribed@a.imprinted
अंकित करता है	v.imprints
अंकुर	n+m.shoot@n+m.shoots@n+m.germ@n+m.sprouts@n+f.seedling@n+m.sprout
अंकुरण	n+f.germination@n+m.sprouting
अंकुरित	a.sprouted
अंकुरित होता है	v.sprouts
अंकुरित होना	v.sprout@v.sprouting@v.sprouted
अंकुश	n+f.hook@n+f.curb
अंख	n+m.ankh
अंग	n+m.organ@n+m.organs@n+m.limb@n+m.limbs
अंग-भंग	n+m.dismemberment
अंगकोर	n+m.angkor
अंगभंग	a.mutilated
अंगमारी	n+m.blight
अंगरक्षक	n+m.bodyguard@n+m.bodyguards
अंगरखा	n+f.tunic
अंगहीन	n+m.amputee
अंगारा	n+m.ember
अंगारे	n+m.embers
अंगीठी	n+f.fireplace@n+f.hearth
अंगीठी की सलाख	n+m.pokers
अंगुलियों की गाँठें	n+f.knuckles
अंगुली की गाँठ	n+f.knuckle
अंगुली चालन	n+f.fingering
अंगुश्ताना	n+f.thimble
अंगूठा	n+m.thumb
अंगूठियाँ	n+f.rings
अंगूठी	n+f.ring
अंगूठे	n+m.thumbs
अंगूठे का नाखून	n+m.thumbnail
अंगूर	n+m.grape@n+m.grapes
अंगूर का बाग	n+m.vineyard
अंगूर की खेती	n+f.viticulture
अंगूर की बेल	n+f.grapevine
अंगूर के बागान	n+m.vineyards
अंगोरा	n+f.angora@a.angora
अंगोला	n+m.angola
अंगोलाई	a.angolan
अंगोलाई व्यक्ति	n+m.angolan
अंग्रेज़	n+m.englishman@n+m.englishmen
अंग्रेज़ी	n+f.english@a.english@a.anglo
अंजाम दिया	v.perpetrated
अंजीर	n+m.fig@n+m.figs
अंटार्कटिक	a.antarctic
अंटार्कटिका	n+m.antarctica@n+m.antarctic
अंडकोश	n+m.scrotum
अंडकोशिका	n+m.oocytes
अंडकोष	n+m.testicle
अंडमान	n+m.andaman
अंडरगारमेंट	n+m.undergarments
अंडरवायर	n+m.underwire
अंडरवायर्ड	a.underwired
अंडरवियर	n+m.underwear@n+f.undies@n+f.underpants
अंडरवुड	n+m.underwood
अंडरस्कोर	n+m.underscore@n+m.underscores
अंडा	n+m.egg
अंडाकार	a.oval@n+m.oval@n+m.ovals
अंडाणु	n+m.ova@n+m.ovum@n+m.oocyte
अंडालूसिया	n+f.andalusia
अंडाशय	n+m.ovary@n+f.ovaries
अंडे	n+m.eggs@n+m.spawn
अंडे की जर्दी	n+m.yolks
अंडे देना	v.spawning
अंडे से निकलता है	v.hatches
अंडे से निकला	v.hatched
अंडे सेना	v.hatching
अंडे सेने की जगह	n+f.hatchery
अंडोरा	n+m.andorra
अंडोरा का	a.andorran
अंडोरावासी	n+m.andorran
अंत	n+m.end@n+m.ending@n+m.expiration@n+m.demise
अंत टिप्पणी	n+m.endnote
अंत बिंदु	n+m.endpoint
अंत में	ad.finally@ad.lastly
अंतः रोगी	n+m.inpatient
अंतःकला संबंधी	a.endothelial
अंतःक्रियाशीलता	n+f.interoperability
अंतःपेशीय	a.intramuscular
अंतःप्रजनन	n+f.inbreeding
अंतःशिरा	a.intravenous
अंतःशिरा रूप से	ad.intravenously
अंतःस्रावी	a.endocrine
अंतःस्रावी ग्रंथि	n+f.endocrine
अंतःस्रावी विज्ञान	n+f.endocrinology
अंतड़ियां	n+f.insides
अंतड़ियों का	a.visceral
अंततः	ad.eventually@ad.ultimately
अंतबिंदु	n+m.endpoints
अंतर	n+m.difference@n+m.diff@n+m.differences@n+m.gap@a.inter@a.differential@n+m.differential@n+m.distinction@n+m.diffs@n+m.gaps@n+f.spacing@n+m.discrepancy@n+m.distinctions
अंतर करना	v.distinguish@v.differentiate@v.differentiating
अंतर किया	v.differentiated
अंतर देना	v.spacing
अंतर महाविद्यालय	a.intercollegiate
अंतर-आकाशगंगीय	a.intergalactic
अंतर-बैंक	a.interbank
अंतर-विषयक	a.interdisciplinary
अंतर-संचालनीय	a.interoperable
अंतर-सरकारी	a.intergovernmental
अंतरंग	a.intimate@a.fireside
अंतरंग मित्र	n+m.intimates
अंतरंगता	n+f.intimacy
अंतरकोशिकीय	a.intercellular
अंतरग्रहीय	a.interplanetary
अंतरजातीय	a.interracial
अंतरणकर्ता	n+m.transferor
अंतरधार्मिक	a.interfaith
अंतरनगरीय	a.intercity
अंतरमहाद्वीपीय	a.intercontinental
अंतरराज्यीय	a.interstate
अंतरराष्ट्रीय	a.international@a.int@a.transnational@a.internat
अंतरराष्ट्रीय खिलाड़ी	n+m.internationals
अंतरराष्ट्रीय स्तर पर	ad.internationally
अंतरसांस्कृतिक	a.intercultural
अंतरात्मा	n+f.conscience
अंतरापृष्ठीय	a.interfacial
अंतराल	n+m.spaces@n+m.interval@n+m.interim@n+m.intervals@n+m.hiatus
अंतराल रखा	v.spaced
अंतराल वाला	a.spaced
अंतरालीय	a.interstitial
अंतरावस्था	n+m.interphase
अंतरिक्ष	n+m.space
अंतरिक्ष उड़ान	n+f.spaceflight
अंतरिक्ष यात्री	n+m.astronaut@n+m.astronauts
अंतरिक्ष यान	n+m.spacecraft@n+m.spaceship
अंतरिक्ष विज्ञान	n+f.astronautics
अंतरिती	n+m.transferee
अंतरिम	a.interim
अंतरीप	n+m.capes@n+m.headland@n+m.promontory
अंतर्ग्रहण करना	v.ingest
अंतर्जात	a.endogenous@a.inbred
अंतर्ज्ञान	n+f.intuition@n+f.intuitions
अंतर्दृष्टि	n+f.insight@n+f.insights
अंतर्दृष्टिपूर्ण	a.insightful
अंतर्देशीय	a.inland
अंतर्द्रव्यी	a.endoplasmic
अंतर्निर्मित	a.builtin
अंतर्निहित	a.embedded@a.underlying@a.nested@a.implicit
अंतर्निहित अर्थ	n+m.subtext
अंतर्निहित स्वर	n+m.undertones
