24	n.xxiv
25	n.xxv
ABA	n.aba
ABB	n.abb
ABBA	n.abba
ABC	n.abcs
ABL	n.abl
ABR	n.abr
ACC	n.acc
AIDS	n.aids
AIS	n.ais
AMI	n.ami
AMT	n.amt
ANZAC	n.anzac
API	n.apis
APO	n.apo
ARP	n.arp
ARPANET	n.arpanet
ASA	n.asa
ASP	n.asp
AT&T	n.att
ATM	n.atm
ATS	n.ats
AUD	n.aud
AVN	n.avn
AVS	n.avs
Aalborg	n.aalborg
Aaliyah	n.aaliyah
Aaron	n.aaron
Abbas	n.abbas
Abbe	n.abbe
Abbott	n.abbott
Abby	n.abby
Abdul	n.abdul
Abe	n.abe
Abel	n.abel
Aberdeen	n.aberdeen
Abernathy	n.abernathy
Abidjan	n.abidjan
Abigail	n.abigail
Abilene	n.abilene
Abingdon	n.abingdon
Abner	n.abner
Abraham	n.abraham
Abrams	n.abrams
Absalom	n.absalom
Abuja	n.abuja
Aby	n.aby
Acadia	n.acadia
Acapulco	n.acapulco
Achilles	n.achilles
Acis	n.acis
Acosta	n.acosta
Acton	n.acton
Ada	n.ada
Adam	n.adam
Adams	n.adams
Addams	n.addams
Addie	n.addie
Addington	n.addington
Addison	n.addison
Adelaide	n.adelaide
Adele	n.adele
Adeline	n.adeline
Aden	n.aden
Adidas	n.adidas
Adige	n.adige
Adirondack	n.adirondack
Adirondacks	n.adirondacks
Adkins	n.adkins
Adler	n.adler
Adobe	n.adobe
Adolf	n.adolf
Adolfo	n.adolfo
Adolph	n.adolph
Adonis	n.adonis
Adrian	n.adrian
Adriana	n.adriana
Adriatik	n.adriatic
Adrienne	n.adrienne
Adventis	n.adventist
Advil	n.advil
Aegea	n.aegean
Aesop	n.aesop
Aetna	n.aetna
Afganistan	n.afghanistan@a.afghan
Afghani	n.afghani
Afghanistan	a.afghani
Africana	n.africana
Afrika	n.africa@a.african@n.afr@a.africana
Afrikaans	n.afrikaans
Afrodit	n.aphrodite
Aga	n.aga
Agadir	n.agadir
Agassi	n.agassi
Agatha	n.agatha
Agee	n.agee
Agios	n.agios
Agnes	n.agnes
Agnew	n.agnew
Agni	n.agni
Agra	n.agra
Agricola	n.agricola
Agrippa	n.agrippa
Aguirre	n.aguirre
Agustin	n.agustin
Agustus	n.august@n.aug
Ahab	n.ahab
Ahmad	n.ahmad
Ahmadinejad	n.ahmadinejad
Ahmed	n.ahmed
Aida	n.aida
Aiken	n.aiken
Aileen	n.aileen
Aimee	n.aimee
Ain	n.ain
Airbus	n.airbus
Airdrie	n.airdrie
Aires	n.aires
Aisha	n.aisha
Aitken	n.aitken
Ajax	n.ajax
Ajmer	n.ajmer
Akadia	a.acadian
Akbar	n.akbar
Akron	n.akron
Al	n.al
Alabama	n.alabama
Aladdin	n.aladdin
Alameda	n.alameda
Alamo	n.alamo
Alamogordo	n.alamogordo
Alan	n.alan
