# Interlingua translation file: English -> de
# Format: hash<TAB>translation
hash	translation
385476f5b1bbe340	aah
03ea48a38eecc0c0	zurück
c46a0e4cc0046040	aufgeben
e13350403ce40080	verlassen
e13350403ce40040	verließ
0dc8fbad150d3040	aufgebend
e0439eced3d54040	verlässt
29d683e95fc46040	nachlassen
3e0eaef7fee3b040	nachgelassen
291c3db09146c000	ABB
a43e1ee3a6d27000	ABBA
d24cfc90fb590000	Abbas
e65af51fd36b3080	abgekürzt
e65af51fd36b3040	abgekürzt
6cfcecbcba45f000	Abby
da8a00dd7ac4f080	abdominal
d16420172a65b040	entführte
d16420172a65b080	entführt
e2af69bada306000	Abe
934da3b3cd6d9080	aberrant
ec5ad3480e64b040	anstiften
bfe003cbff7e4040	beihelfend
c2c96a45543e0040	einhalten
4de8abe0d1ee7040	hält sich
11944e534046b080	bleibend
934ada207d009000	Abigail
54536afe8392c080	abiotisch
cc175db74eec0080	erbärmlich
86a6030f319fe080	in Flammen
f4004fdea3547080	fähig
10d13e74d0e400c0	gekonnt
4d6e65414e0ab080	abnormal
eefe676a1b5820c0	abnormal
ff9a937608c344c0	an Bord
ff9a937608c340c0	an Bord
93d9fe97f195c040	abschaffen
9902f5a3766e2040	abgeschafft
5d69b29663aca040	abschaffend
4021610fef3ed080	abscheulich
6544119a4c557080	einheimisch
77695c868f1dc040	abbrechen
60f247d4af86a040	abgebrochen
60f247d4af86a080	abgetrieben
517914741cd76040	abbrechend
d47fb23e24d4c040	reichlich vorhanden sein
d183a82d25275040	im Überfluss vorhanden
cacc05c6461864c0	über
cacc05c6461860c0	ungefähr
9191fee6a8f3e4c0	über
9191fee6a8f3e0c0	oben
025450be9f0a7080	oberirdisch
321aab9283c4b000	Abr.
d9e61e4ccd60a000	Abram
fe9a60340622d000	Abrams
73f317d07ecba080	scheuerfähig
0efef1b292b59000	Schleifmittel
dfbd6a2d642580c0	nebeneinander
02f7e7f07cd46080	gekürzt
0545d05378e6c0c0	im Ausland
cd058e7a43f27080	abrupt
a87a2bcc457500c0	abrupt
1b676af97710c080	abwesend
dee3e389c5b0b080	absolut
3f1b571a687430c0	absolut
d0ed238d442a1040	absorbieren
e1063f07268c3040	absorbiert
e1063f07268c3080	vertieft
b715ed43a8c55080	saugfähig
54a5f19ef9a5f000	Absorber
110c306de725b080	fesselnd
110c306de725b040	absorbierend
5b57b7162bbed040	absorbiert
3439f2a7c8861040	sich enthalten
a8fcc7dc8239f040	enthielt sich
1a9e0aa27de67080	abstrakt
0e39bbbb38078080	geistesabwesend
90b72f242323d040	abstrahierend
f20ebd0005c19000	Abstraktionen
574d1a5bf20e9080	absurd
751d5663bca54080	reichlich
6d919424cb0e60c0	reichlich
ccb11affcdebe040	missbrauchen
76ce9c57c6982040	missbraucht
76ce9c57c6982080	misshandelt
4ab85bca2e1d8000	Missbraucher
1d49bbdef26b4040	missbraucht
c339d8fe806b4040	missbrauchend
2416d307cc9e8080	missbräuchlich
726367defd3d6040	angrenzend
726367defd3d6080	anstoßend
7660ca53aa80d000	Aby
5bc9f95ca053e080	abgrundtief
02381690f4ae8080	akademisch
320f4b53dd33b0c0	akademisch
73445274f6b70080	akadisch
786e5e8c733eb040	beschleunigen
f65fe33dd4dd1080	beschleunigt
f65fe33dd4dd1040	beschleunigt
64fc4ba7f7642040	beschleunigt
350966825998d040	beschleunigend
36a46dd75514b000	Beschleuniger
8e787f0be4a88080	akzentuiert
a59d660746eaf040	betonen
5513c7252e2a8040	betont
6507c531d1cd3040	akzeptieren
54e2e21f7db4a080	akzeptabel
b54cc5fa943e9080	akzeptiert
