# Interlingua translation file: English -> es
# Format: hash<TAB>translation
hash	translation
385476f5b1bbe340	aah
03ea48a38eecc0c0	hacia atrás
c46a0e4cc0046040	abandonar
0dc8fbad150d3040	abandonando
e0439eced3d54040	abandona
29d683e95fc46040	disminuir
3e0eaef7fee3b040	disminuyó
e65af51fd36b3040	abrevió
d16420172a65b040	secuestró
934da3b3cd6d9080	aberrante
ec5ad3480e64b040	incitar
bfe003cbff7e4040	instigando
c2c96a45543e0040	cumplir
4de8abe0d1ee7040	acata
11944e534046b080	duradero
11944e534046b040	cumpliendo
cc175db74eec0080	absoluto
86a6030f319fe080	en llamas
10d13e74d0e400c0	hábilmente
eefe676a1b5820c0	anormalmente
ff9a937608c344c0	a bordo de
ff9a937608c340c0	a bordo
93d9fe97f195c040	abolir
9902f5a3766e2040	abolió
5d69b29663aca040	aboliendo
4021610fef3ed080	abominable
77695c868f1dc040	abortar
60f247d4af86a040	abortó
517914741cd76040	abortando
d47fb23e24d4c040	abundar
d183a82d25275040	abunda
cacc05c6461864c0	sobre
9191fee6a8f3e4c0	encima de
9191fee6a8f3e0c0	arriba
dfbd6a2d642580c0	al corriente
02f7e7f07cd46040	abrevió
0545d05378e6c0c0	en el extranjero
cd058e7a43f27080	brusco
a87a2bcc457500c0	abruptamente
3f1b571a687430c0	absolutamente
d0ed238d442a1040	absorber
b715ed43a8c55080	absorbente
110c306de725b080	absorbente
110c306de725b040	absorbiendo
5b57b7162bbed040	absorbe
3439f2a7c8861040	abstenerse
a8fcc7dc8239f040	se abstuvo
90b72f242323d040	abstrayendo
6d919424cb0e60c0	abundantemente
ccb11affcdebe040	abusar
1d49bbdef26b4040	abusa
c339d8fe806b4040	abusando
726367defd3d6080	contiguo
726367defd3d6040	colindando
5bc9f95ca053e080	abismal
320f4b53dd33b0c0	académicamente
786e5e8c733eb040	acelerar
64fc4ba7f7642040	acelera
350966825998d040	acelerando
a59d660746eaf040	acentuar
5513c7252e2a8040	acentuó
6507c531d1cd3040	aceptar
b54cc5fa943e9040	aceptó
cbe29d9ba81f9040	aceptando
8ea89e560f8b9040	acepta
723089f5a7f33040	acceder
1dee1cc243a44040	accede a
ae62ed3ad33b2040	accediendo
28db0666808c20c0	accidentalmente
0c78dccedecc8040	aclamar
e545216382e48040	acomodar
c59664bd1cf54040	alojó
6840f56852e89040	acomoda
407b3e603deeb080	complaciente
407b3e603deeb040	acomodando
fb202804a67f3040	acompaña
cb950c83a95b0040	acompañar
4d4a343e7acdb040	acompañando
6d959a45b892b040	lograr
8b7c9450ef522040	logra
2647f2e8bbc64040	logrando
03664011f21ac040	otorgó
f51b00d32f5a50c0	en consecuencia
ac18ee09a7fed040	concuerda
bf68e6e042512040	contabilizó
5cbbb0d105d52040	acreditando
588e94ba73f61040	acumularse
7e21ba4f7e625040	acumulando
234c1bf6aa870040	acumular
0661214156300040	acumula
911ccdc1fa5e9040	acumulando
cb62784e21feb0c0	con precisión
f1b4c8fe07ff4040	acusar
f3a28f3d70644040	acusa
df4510b3a9d99040	acusando
df4510b3a9d99080	acusador
bc354f3c7d0e0040	doler
77aead90852f1040	duele
5195e3e9dbcdd080	alcanzable
b57b27da872d4040	lograr
493719a710c09040	logró
c05bd26290adb040	logra
9393e1000c7e9040	logrando
6f9aa9bbf6f3f080	dolorido
6f9aa9bbf6f3f040	doliendo
16b94fcd005ed040	reconocer
008351c7292f9040	reconoce
95ec1ad8b8047040	reconociendo
1c02bab23e1e1040	familiarizar
11bc51411553d080	conocido
9580d918eeb70040	adquirir
3f213c7cca4fc040	adquiere
41fe3bef29c11040	adquiriendo
0598a9517898f040	absolvió
884546d7f85264c0	a través de
f5f4c1c9b4628040	actuar
ab516ae26c7b2040	actuó
8bfa9aa86ae0e040	actuando
a0f50a1e9bbf2080	procesable
0fb3b9633e375040	activar
99f7c01f5c488040	activa
9aa476a16a949040	activando
674dcd338280a0c0	activamente
a30ca4e899b0c040	actúa
0e0c6d4b415f00c0	en realidad
00a6983485a8d080	actuarial
0524d1d7b2044040	accionar
e96f68c9eabc1040	accionó
205904e865a0b0c0	agudamente
16cb43562fc790c0	adagio
5e31435ff6d12080	firme
570af80a02d88040	adaptar
26482e1d68393080	adaptable
320f37346da92040	adaptando
4f0d39671740b040	adapta
ffb352e13fd28040	añadir
2bee98317da6a040	añadió
7cd90812589ba080	adictivo
0ac028b61e35c040	hace adicto
995d68c7d5a6f040	añadiendo
6bb6e92db32d70c0	adicionalmente
fc666635f5471040	dirigirse
8367ed1cbef0b080	direccionable
f15d599fb1805040	dirigió
c2546a4cb03de040	aborda
048ec15dfb105040	abordando
ad9530c845c52040	añade
f409da41589f30c0	adecuadamente
9dae799b676f3040	adherirse
3aebe288d9987040	adhirió
b94c4d4177d66080	adherente
bc12725a53958040	adhiere
f77e24ed7606f040	adhiriendo
87a2b849c728f340	adiós
b5dc9b4a5682c340	adiós
8c34281d3f04a080	contiguo
31461680ea4c3080	adjunto
0d787a5598f36040	aplazar
8c56b0aec6af2040	aplazó
7f041d93ccefe040	adjudicó
5f5af45500982040	adjudicó
fe606b28cba18080	adjunto
4fd20f1eb97cf040	ajustar
4ce41540b4428040	ajustando
a4bb14fbf9fe8040	ajusta
a1870569f2f24080	adyuvante
f6272c85d8f20040	administrar
33fe098febb57040	administrando
9cee523b9503c040	administra
cd2a9aadcda1f0c0	administrativamente
0e303924777ed080	admirable
c652680d570710c0	admirablemente
a51b4b8f48a31040	admirar
185b818da4382040	admiró
67f5ec4786cf7040	admirando
67f5ec4786cf7080	admirador
d2679326ef1ee080	admisible
aad044a8f158a040	admitir
1d725f77cd212040	admite
6b9d03d86417c0c0	ciertamente
c1ff4737ce52c040	admitiendo
310f243f60d46040	amonestó
880865b207f6a040	adoptar
3074379ee66ff040	adoptó
9a89eabaec9d1040	adoptando
ff3d55dc0be74040	adopta
2c4d83d104f24040	adorar
f6850e0fbe227040	adoró
1c2b39cb24724040	adornar
445dbf5e347a7080	suprarrenal
c0c9dab29abdc0c0	a la deriva
c6b74008c3334040	adsorbió
359b5dcc482a5040	avanzar
2bd12e961479e040	avanza
c485399659a19040	avanzando
03262af3667ce080	adventista
2f8b7c8fd8b39080	adversarial
656050c331aa60c0	adversamente
7b1de3075272b040	anunciar
3ac53981ec18a040	anuncia
ad88da308136a080	aconsejable
656115316b338040	aconsejar
908abc416e122040	aconseja
bc4e2e070e61e040	asesorando
3089bafa4bc9b040	abogar
887237ec73d96040	abogó por
cfb13d2d8bdba040	aboga
d1208896e3471040	abogando por
dd8c4a48d20740c0	estéticamente
948bc093ea6130c0	lejos
25d1cda2eba07040	afectar
27a12454cd6c1040	afectó
d99bacaa60e6c040	afectando
ed2aefdbf3398080	cariñoso
2e87252973ff80c0	afectuosamente
fe0ad04b213e0040	afecta
f0a400d6345ce040	afiliar
92aad9a15ae0b080	afín
59b664dc4e9d4040	afirmar
af5854b95e6760c0	afirmativamente
35acfca52d788040	afirmó
46f8ccc659f15040	afirmando
b4b704a3be4a3040	afirma
454ba76239ab0040	fijar
683f0e0d88471040	pegó
019f25846d4bc080	adinerado
572bb8e490978040	permitirse
e79a1f192b1510c0	asequiblemente
7e1beb571583b040	proporcionó
635371c74d8c7040	proporcionando
cbb538d96ed36040	proporciona
cf1069dec5058040	afrentar
d0c0422c4b8480c0	lejos
4604dbfc3b85b0c0	a flote
4604dbfc3b85b080	a flote
e3d3a3d18bc6b0c0	en marcha
e3d3a3d18bc6b080	a pie
db76302c2dd5c080	antes mencionado
f29858ccdb521080	con miedo
787883e407f090c0	a popa
787883e407f09080	de popa
8c49910fe30214c0	después de
8c49910fe30210c0	después
ead34a451826d080	extraescolar
a950cb5d7e8660c0	después
76c7ae571b93c0c0	otra vez
52359cb0b6a524c0	contra
c3a7bc15181ec080	envejeciendo
17b694bd47a6b080	sin edad
ca3df0acede14040	agravar
a93f04f1c4de9040	agravó
69f2afa29a04f080	agravante
69f2afa29a04f040	agravando
5ba191ad64b9e040	agregó
706bcd4602e25040	agrega
7e384ca72cbb7040	agregando
ffe28c8c277140c0	agresivamente
15576e8f46eb3080	ágil
1fdd56c01608c040	agitó
5e64a547207ba0c0	hace
2df7e681053a3080	angustioso
2df7e681053a3040	agonizando
69cd019f95634040	estar de acuerdo
40ecfee2e4c0c080	agradable
2838f1e6d8b84040	acordó
a164bf29b9389040	acordando
b833573a32c5b040	está de acuerdo
451bc9a2f9a70340	ajá
27c93c7bbc0330c0	adelante
57ff4b549786f340	ejem
b8461e274bbb8340	ahoy
c985aed1f5304040	ayudar
40ce24317336d040	ayudando
0af54964fb0a2040	ayuda
4603035e930a5040	aquejar
d3f2fcf3960e3080	enfermo
b3bffc67a5797040	apuntar
b72248bc341e7040	apuntando
d65f13d928108040	apunta
3d0cd3f8dd960040	retocar con aerógrafo
c0fc760a997b5040	emitió
a4eb0b2f88047040	emitiendo
aef382b6545bd040	transportar por avión
49f9f4b993a3f040	emite
e40ab010c780b080	aireado
7ba768401e4920c0	también conocido como
06f74f28ecc21080	similar
937388fb99a42040	alarmar
c0e95a9fc37dc080	alarmante
e065c4677d281340	ay
7a4b0649c6d2b200	aunque
f4d1a2430d6e3040	alertar
40bcb8a4335a0040	alertó
8b1d852e1cc8a040	alertando
1770f5dfc1e0d040	alerta
425f15dbfeb4a080	algal
49d2357ffb76f0c0	alias
b3bb5042b5033040	alienar
043a9a0755fc8040	alienó
004bda713bfbe040	alienando
004bda713bfbe080	alienante
bbdffd8aa20a2040	apearse
bbdffd8aa20a2080	encendido
6344e1e6eefd4040	alinear
c79f15e078623040	alineando
a51720cbabc36040	alinea
8c53d746ef76c0c0	igual
bb66440e6b992040	alinear
513a2286f3fd3540	todo
360326772adb8040	alegar
560417afa19910c0	presuntamente
5355a9d698c21040	alega
ee254c2fef291040	alegando
1445fb50a4ac50c0	allegro
f9e8f8b5f83f4040	aliviar
9b24ad1897edf040	alivió
113b12b6d85cc040	aliviando
0e73726097154040	asignar
33b06cb82eeb9040	asignó
e4938edd16484040	asigna
9ed7cdf226d43040	asignando
9be3eb2ac07a4040	asignar
d95c0544b54af040	asignó
8c4523e3ae047040	permitir
1ce8afdb75639040	permitió
a9aff46ac0871040	permitiendo
5e7d184f7ab92040	permite
a09a3e520a917040	aludió
77376bf5ffa97080	seductor
948328d24c640080	aluvial
dee7192b072e5040	aliar
6ffdf66ca88420c0	casi
f5d064d42f9260c0	en alto
dae4f011a81da340	aloha
7f88f1ea635b20c0	solo
d1c4c4881d27b4c0	a lo largo de
d4fc4d2552b064c0	junto a
e70cb269adc700c0	apartado
3015219afa18f0c0	en voz alta
73658cec8a1780c0	alfabéticamente
85b21cdc7aa630c0	ya
9fca80873cdde0c0	bien
02c3d3fad0a940c0	también
0aa17e1d59999040	alterar
41daf879cb35c040	alterando
73654c60e38e1040	alternar
d56a9e93850be0c0	alternativamente
6aaf83c7ed100040	alterna
fd00833825e52080	alternante
fd00833825e52040	alternando
0d10de4cb3c090c0	alternativamente
9314ec5173233040	altera
87d53aa71c219200	aunque
54a5337a350a90c0	completamente
e13fbc8840355080	alveolar
383db3fe15f9d0c0	siempre
f7085e17e17d3040	soy
aae1fb57d9261040	fusionó
2c499d89ebbd5040	acumuló
8e1ff0a436e53040	asombrar
264394ecc4e9c040	asombra
fa3e8289367960c0	asombrosamente
45673e520a073080	ambivalente
e38c09622577d040	emboscar
f15a171d2d22b040	emboscó
10fbf1d1e71ac040	mejorar
258c424f21c01340	amén
ac7f964e52cc2080	receptivo
469b4543ac306040	enmendar
280ad6afbfd40040	enmendó
be11c7459cc81040	enmendando
240a1ab76ce33040	enmienda
00bfb372e7473080	amable
8e20b7aaaa9e54c0	en medio de
b3850fd5b48094c0	en medio de
2885c67fa2fdf080	amish
7fc555a1a6f04080	mal
7fc555a1a6f040c0	mal
abd86f629b4aa0c0	enloquecidamente
257f078fc38324c0	entre
b1d0fc83e45274c0	entre
17fb0bf91477b040	amortizó
2d743dbe031c7040	ascendió a
94e856584fde3040	ascendiendo a
c4791a99e09b3080	anfibio
2a45b64881e8d040	amplificó
eacd442c876c9040	amplificar
09d62b65e6bf2040	amplificando
0566b18a6ac960c0	ampliamente
ceefb7f0ee930040	divertir
46e82465823f6040	divirtió
dc4aa8f1b5d4c080	amiloide
e5b2ad0a49435040	analizar
b247f9a96037b040	analizó
f4f73dbb8b0f0040	analizando
b30a2a374dd100c0	analíticamente
336e45e1274a3080	anarquista
9ec14d69f758e0c0	anatómicamente
47d55e984c2ec080	ancestral
c520411cf5835040	anclar
761c729828550040	ancló
429a078b56479040	anclando
dff6c3bbae5d9040	ancla
6baaa56171d37080	auxiliar
f13945e9a4f29200	y
b2aebefb826b80c0	andante
7dfe446a5c2670c0	de nuevo
f86967ab9456c040	enfureció
a622b6d5d7ef5040	enfurece
0f8702873d27d080	en ángulo
dbc1f805116380c0	enojadamente
2e20747f2613a080	angular
eb5ba2a91d6d9040	animar
68764cfa35b61040	animando
b5b1951f00043040	recoció
b8455680944d3040	recociendo
b53209ab7c09f040	anexar
aa0a2d44a2244040	anexó
9800a8bda9369040	anexa
a652f7260eda0040	anotar
173e2d47c75ae040	anunciar
0e9198aa428f4040	anunció
db3e152b37113040	anuncia
6619ce5842af9040	anunciando
52f0d5df7413a040	molestar
e89e8928ad7fa040	molestó
89867ea99aa09040	molesta
efc6c55d0411a0c0	anualmente
7045e6bae60d8080	anular
d2225348f6826040	ungió
88417a9aaecd3040	ungiendo
2373f5518b2120c0	pronto
c43e095524a3a0c0	anónimamente
e2e19bb35d2a8040	responder
24c9c8b705948040	respondiendo
0ecd79d523fc5040	responde
35db65adc5dd1080	hostil
37cd32eaf6072080	antecedente
8453559e5a15b080	prenatal
07c95acbda4ac080	anterior
40a15881a80454c0	anti
9506b66689236080	antienvejecimiento
07c675b13f880080	antibacteriano
d1c17ceba4ac1080	anticancerígeno
2d35d7251d9e9040	anticipar
7862238a134fa040	anticipa
46dc7147f3529040	anticipando
5b3d15c8b36bc080	antidepresivo
772110af747c7080	antimicrobiano
9f6bf35574186080	antioxidante
e815e7b79f2c1080	anticuario
92b1c0e782aa9080	antisocial
416d239b8975e080	antimonopolio
57e300c5f10d8080	antiviral
9445e1b4bb1ac080	antiguerra
5f248f762bc7a0c0	ansiosamente
de59722e4904e540	alguno
1ba371f520661540	cualquiera
a50887aac7f7e0c0	de todos modos
82d8dae4c09c10c0	ya no
7365aab350003540	cualquiera
d95bfa599e90f0c0	en cualquier parte
28488c9531aa3540	cualquier cosa
6643001443fd50c0	en cualquier momento
28d5ab098108f0c0	de todos modos
2e84d5edbacd60c0	de todos modos
ae82062205fd60c0	en cualquier lugar
9ffb6d9915b090c0	aparte
dcee0dbc9209c040	imitar
a98077ee76b12040	imita
6776becee4972080	apical
7c368cc94eeaa0c0	cada uno
da8991f15f587080	apologético
bc30dde17f84f040	disculparse
ff10055e348d3040	disculparse
b9697cf451b0d040	se disculpó
