# Interlingua translation file: English -> fr
# Format: hash<TAB>translation
hash	translation
385476f5b1bbe340	aah
03ea48a38eecc0c0	en arrière
c46a0e4cc0046040	abandonner
e13350403ce40080	abandonné
e13350403ce40040	abandonné
0dc8fbad150d3040	abandonnant
e0439eced3d54040	abandonne
29d683e95fc46040	diminuer
3e0eaef7fee3b040	diminué
3e0eaef7fee3b080	diminué
e65af51fd36b3040	abrégé
e65af51fd36b3080	abrégé
da8a00dd7ac4f080	abdominal
d16420172a65b040	enlevé
934da3b3cd6d9080	aberrant
ec5ad3480e64b040	être complice
bfe003cbff7e4040	être complice
c2c96a45543e0040	respecter
4de8abe0d1ee7040	respecte
11944e534046b080	durable
11944e534046b040	respectant
54536afe8392c080	abiotique
cc175db74eec0080	abject
86a6030f319fe080	en feu
f4004fdea3547080	capable
10d13e74d0e400c0	habilement
4d6e65414e0ab080	anormal
eefe676a1b5820c0	anormalement
ff9a937608c340c0	à bord
ff9a937608c344c0	à bord de
93d9fe97f195c040	abolir
9902f5a3766e2040	aboli
5d69b29663aca040	abolir
4021610fef3ed080	abominable
6544119a4c557080	aborigène
77695c868f1dc040	avorter
60f247d4af86a040	avorté
60f247d4af86a080	avorté
517914741cd76040	avorter
d47fb23e24d4c040	abonder
d183a82d25275040	abonde
cacc05c6461864c0	à
9191fee6a8f3e4c0	au-dessus de
9191fee6a8f3e0c0	au-dessus
9191fee6a8f3e080	susmentionné
025450be9f0a7080	en surface
73f317d07ecba080	abrasif
dfbd6a2d642580c0	de front
02f7e7f07cd46040	abrégé
02f7e7f07cd46080	abrégé
0545d05378e6c0c0	à l'étranger
cd058e7a43f27080	brusque
a87a2bcc457500c0	brusquement
1b676af97710c080	absent
dee3e389c5b0b080	absolu
3f1b571a687430c0	absolument
d0ed238d442a1040	absorber
e1063f07268c3040	absorbé
e1063f07268c3080	absorbé
b715ed43a8c55080	absorbant
110c306de725b040	absorbant
110c306de725b080	absorbant
5b57b7162bbed040	absorbe
3439f2a7c8861040	s'abstenir
a8fcc7dc8239f040	abstenu
1a9e0aa27de67080	abstrait
0e39bbbb38078040	abstrait
0e39bbbb38078080	distrait
90b72f242323d040	abstraire
a79f264fa970e040	résume
574d1a5bf20e9080	absurde
751d5663bca54080	abondant
6d919424cb0e60c0	abondamment
ccb11affcdebe040	abuser
76ce9c57c6982040	maltraité
76ce9c57c6982080	maltraité
1d49bbdef26b4040	abuse
c339d8fe806b4040	abusant
2416d307cc9e8080	abusif
726367defd3d6040	aboutir
726367defd3d6080	contigu
7660ca53aa80d040	expier
5bc9f95ca053e080	abyssal
02381690f4ae8080	académique
320f4b53dd33b0c0	académiquement
73445274f6b70080	acadien
786e5e8c733eb040	accélérer
f65fe33dd4dd1040	accéléré
f65fe33dd4dd1080	accéléré
64fc4ba7f7642040	accélère
350966825998d040	accélérant
8e787f0be4a88040	accentué
8e787f0be4a88080	accentué
a59d660746eaf040	accentuer
5513c7252e2a8040	accentué
6507c531d1cd3040	accepter
54e2e21f7db4a080	acceptable
b54cc5fa943e9080	accepté
b54cc5fa943e9040	accepté
cbe29d9ba81f9040	acceptant
8ea89e560f8b9040	accepte
723089f5a7f33040	accéder
d28bf8ef656e2040	accédé
1dee1cc243a44040	accède
e21ac292a44fe080	accessible
ae62ed3ad33b2040	accédant
781fd5eb29bcd080	accidentel
28db0666808c20c0	accidentellement
0c78dccedecc8040	acclamer
9bb6c6559dcc2040	acclamé
9bb6c6559dcc2080	acclamé
e545216382e48040	accommoder
c59664bd1cf54040	logé
6840f56852e89040	accommode
407b3e603deeb080	accommodant
407b3e603deeb040	accommodant
3b3440a4f3bce040	accompagné
fb202804a67f3040	accompagne
cb950c83a95b0040	accompagner
4d4a343e7acdb040	accompagnant
6d959a45b892b040	accomplir
af22ea9bb199e080	accompli
af22ea9bb199e040	accompli
8b7c9450ef522040	accomplit
2647f2e8bbc64040	accomplissant
87cab753db57e040	accorder
03664011f21ac040	accordé
f51b00d32f5a50c0	en conséquence
ac18ee09a7fed040	accorde
af1efc81290fc040	rendre compte
b87f34838c7a9080	responsable
bf68e6e042512040	comptabilisé
6f8bae71c7a27040	comptabilisant
138a7b25414c0040	rend compte
2dfe1cb958232080	accrédité
2dfe1cb958232040	accrédité
5cbbb0d105d52040	accréditant
588e94ba73f61040	s'accumuler
19bf4dc42abe9040	accumulé
19bf4dc42abe9080	accumulé
7e21ba4f7e625040	accumuler
234c1bf6aa870040	accumuler
fd03ed434ee7c040	accumulé
0661214156300040	accumule
911ccdc1fa5e9040	accumulant
3f84db92be971080	précis
cb62784e21feb0c0	précisément
f1b4c8fe07ff4040	accuser
a21525bcd343e040	accusé
a21525bcd343e080	accusé
f3a28f3d70644040	accuse
df4510b3a9d99040	accusant
df4510b3a9d99080	accusateur
721deff46032e080	habitué
721deff46032e040	habitué
e18e3fc5d4b88040	réussit
b13869436f787080	acétique
bc354f3c7d0e0040	faire mal
77aead90852f1040	fait mal
5195e3e9dbcdd080	réalisable
b57b27da872d4040	atteindre
493719a710c09040	réalisé
493719a710c09080	réalisé
c05bd26290adb040	atteint
9393e1000c7e9040	réalisant
6f9aa9bbf6f3f040	faisant mal
6f9aa9bbf6f3f080	douloureux
e2ba6896c832d080	acide
386c8da883bb8080	acide
16b94fcd005ed040	reconnaître
b49b1cb54af4d040	reconnu
b49b1cb54af4d080	reconnu
008351c7292f9040	reconnaît
95ec1ad8b8047040	reconnaissant
0dbccca9dd901080	acoustique
637396d691197080	acoustique
1c02bab23e1e1040	familiariser
11bc51411553d080	familiarisé
11bc51411553d040	familiarisé
9580d918eeb70040	acquérir
22f3332fbbeb2040	acquis
22f3332fbbeb2080	acquis
3f213c7cca4fc040	acquiert
41fe3bef29c11040	acquérant
0598a9517898f040	acquitté
0598a9517898f080	acquitté
37b23fe5979fb080	acrobatique
884546d7f85264c0	à travers
884546d7f85260c0	en travers
fd568b3122aab080	acrylique
f5f4c1c9b4628040	agir
ab516ae26c7b2040	agi
8bfa9aa86ae0e040	agissant
8bfa9aa86ae0e080	intérimaire
d715778c821a9040	actionner
a0f50a1e9bbf2080	recevable
6d2917365bc4e040	actionne
0fb3b9633e375040	activer
40923248f3f89040	activé
99f7c01f5c488040	active
9aa476a16a949040	activant
97b431c6508e0080	actif
674dcd338280a0c0	activement
a30ca4e899b0c040	agit
a67f452378c51080	réel
0e0c6d4b415f00c0	en fait
00a6983485a8d080	actuariel
