# Interlingua translation file: English -> id
# Format: hash<TAB>translation
hash	translation
385476f5b1bbe340	aah
5e4be13d7934e000	trenggiling
8bfb784e2c304000	Aaron
b744fb969684e000	ABA
03ea48a38eecc0c0	kaget
a03996c91dea0000	sempoa
71a9db0054195000	abalon
c46a0e4cc0046040	meninggalkan
e13350403ce40080	ditinggalkan
0dc8fbad150d3040	meninggalkan
29a6c953e68a1000	pengabaian
e0439eced3d54040	meninggalkan
29d683e95fc46040	mereda
3e0eaef7fee3b040	mereda
7a4e96dd70685000	pengurangan
291c3db09146c000	ABB
a43e1ee3a6d27000	ABBA
d24cfc90fb590000	Abbas
cfc2b9a77dc7d000	pendeta
b3ea52f89e456000	biara
0e8ace0353b83000	kepala biara
b4657110c4479000	singkatan
64c9fdad25d17000	singkatan
e65af51fd36b3080	disingkat
72621569ad947000	singkatan
282b6e0dfced3000	singkatan
6cfcecbcba45f000	Abby
6eaae73945e01000	ABC
de1ca02f02ce1000	perut
da8a00dd7ac4f080	perut
d16420172a65b040	diculik
3197ccf09ac4c000	penculikan
42b04b3e8986d000	penculikan
e2af69bada306000	Abe
0b880dab819cb000	Aberdeen
934da3b3cd6d9080	menyimpang
f3ee623c133e4000	penyimpangan
f6b6af9593947000	penyimpangan
ec5ad3480e64b040	membantu kejahatan
bfe003cbff7e4040	membantu kejahatan
c2c96a45543e0040	mematuhi
4de8abe0d1ee7040	mematuhi
11944e534046b080	patuh
934ada207d009000	Abigail
2614bf2769571000	kemampuan
000e4f2807d6d000	kemampuan
54536afe8392c080	abiotik
cc175db74eec0080	hina
3235ed8db6372000	ablasi
86a6030f319fe080	menyala
f4004fdea3547080	mampu
10d13e74d0e400c0	dengan cakap
4d6e65414e0ab080	abnormal
c40c274c0dcce000	abnormalitas
63213121621ee000	kelainan
eefe676a1b5820c0	secara tidak normal
ff9a937608c344c0	di atas
ff9a937608c340c0	naik
9d144ea566fd6000	tempat tinggal
93d9fe97f195c040	menghapuskan
9902f5a3766e2040	dihapuskan
5d69b29663aca040	menghapuskan
c25eb44b02121000	penghapusan
cc06d4ceae07f000	abolisionis
4021610fef3ed080	menjijikkan
b54bf3b17e90b000	kekejian
6544119a4c557080	asli
6544119a4c557000	penduduk asli
f0a2acff2bdb4000	penduduk asli
77695c868f1dc040	menggugurkan
60f247d4af86a040	digugurkan
517914741cd76040	menggugurkan
3737259a083a2000	aborsi
a9f08bd37ce7a000	aborsi
d47fb23e24d4c040	berlimpah
d183a82d25275040	melimpah
cacc05c6461864c0	tentang
cacc05c6461860c0	sekitar
9191fee6a8f3e4c0	di atas
9191fee6a8f3e0c0	di atas
025450be9f0a7080	di atas tanah
321aab9283c4b000	ABR
6b1e91b2fc10a000	Abraham
d9e61e4ccd60a000	abram
fe9a60340622d000	Abrams
bef62932a4561000	lecet
73f317d07ecba080	kasar
73f317d07ecba000	bahan abrasif
0efef1b292b59000	bahan pengikis
dfbd6a2d642580c0	berdampingan
02f7e7f07cd46080	diringkas
0545d05378e6c0c0	di luar negeri
cd058e7a43f27080	tiba-tiba
a87a2bcc457500c0	secara tiba-tiba
334a2baa36ef2000	abs
a948f10b281e2000	abses
fec05775ceac1000	ketidakhadiran
0ac3f93560bfd000	ketidakhadiran
1b676af97710c080	tidak hadir
59828890513b6000	yang tidak hadir
9d97fa63115de000	ketidakhadiran
5dec87f5dcbfe000	absinthe
dee3e389c5b0b080	absolut
3f1b571a687430c0	benar-benar
89feb6f3f085d000	hal mutlak
1bec5d2b13650000	pengampunan
d0ed238d442a1040	menyerap
7f2db36a30e3d000	absorbansi
e1063f07268c3040	diserap
b715ed43a8c55080	menyerap
88d4054f1d16b000	penyerap
54a5f19ef9a5f000	penyerap
110c306de725b080	menyerap
5b57b7162bbed040	menyerap
fa7059af02bfa000	penyerapan
3439f2a7c8861040	menahan diri
a8fcc7dc8239f040	menahan diri
f93cb0bb65c9f000	abstain
25758858c11d2000	pantangan
1a9e0aa27de67000	abstrak
1a9e0aa27de67080	abstrak
0e39bbbb38078080	melamun
0e39bbbb38078040	mengabstraksi
90b72f242323d040	mengabstraksi
5157d6fcee88e000	abstraksi
f20ebd0005c19000	abstraksi
a79f264fa970e000	abstrak
574d1a5bf20e9080	absurd
b32c9c8295b4d000	absurditas
71255f36b88d3000	kelimpahan
727d95a998e23000	kelimpahan
751d5663bca54080	berlimpah
6d919424cb0e60c0	dengan berlimpah
ccb11affcdebe000	penyalahgunaan
ccb11affcdebe040	menyalahgunakan
76ce9c57c6982040	disalahgunakan
e03eb0a97a619000	pelaku kekerasan
4ab85bca2e1d8000	pelaku kekerasan
1d49bbdef26b4000	pelecehan
1d49bbdef26b4040	menyalahgunakan
c339d8fe806b4040	menyalahgunakan
2416d307cc9e8080	kasar
726367defd3d6040	berbatasan
726367defd3d6080	bersebelahan
7660ca53aa80d000	Aby
5bc9f95ca053e080	sangat buruk
4799a7db1bf3a000	jurang
692bbb1c07b08000	akasia
3adcb56e69ace000	akademisi
baaa558272f15000	akademisi
02381690f4ae8080	akademik
320f4b53dd33b0c0	secara akademis
13a728a8b286e000	akademisi
58b47ec6ec6fb000	akademi
f445bdf622b6b000	akademi
73445274f6b70080	Akadia
73445274f6b70000	orang Akadia
4f30e54f2b085000	ACC
37724a1bc6b79000	akselerasi
786e5e8c733eb040	mempercepat
f65fe33dd4dd1080	dipercepat
f65fe33dd4dd1040	dipercepat
64fc4ba7f7642040	mempercepat
350966825998d040	mempercepat
2c40dfada5d12000	percepatan
4ca25c5014a97000	akselerator
36a46dd75514b000	akselerator
c54de9b01f847000	akselerometer
d4beccfa12922000	aksen
8e787f0be4a88080	beraksen
8e3dbe3174bfb000	aksen
a59d660746eaf040	menekankan
5513c7252e2a8040	menekankan
6507c531d1cd3040	menerima
46bce12fa4747000	keberterimaan
54e2e21f7db4a080	dapat diterima
bb1916ae7e01d000	penerimaan
908a3698c75fb000	penerimaan
b54cc5fa943e9040	diterima
b54cc5fa943e9080	diterima
cbe29d9ba81f9040	menerima
a7b15c0911933000	akseptor
8ea89e560f8b9040	menerima
723089f5a7f33000	akses
723089f5a7f33040	mengakses
d28bf8ef656e2040	diakses
1dee1cc243a44040	mengakses
06c22532e6e2e000	aksesibilitas
e21ac292a44fe080	dapat diakses
ae62ed3ad33b2040	mengakses
a838a65a62ca5000	aksesi
a4f43fc74717a000	aksesi
49a80567fa4bc000	aksesori
3809ae3f11526000	aksesori
7591296123755000	kecelakaan
781fd5eb29bcd080	tidak disengaja
28db0666808c20c0	secara tidak sengaja
79e84e9d2a415000	kecelakaan
0c78dccedecc8000	pujian
9bb6c6559dcc2080	terkenal
645aed3316f42000	penghargaan
ffc1bc998af4d000	pujian
e545216382e48040	menampung
c59664bd1cf54040	ditampung
6840f56852e89040	menampung
407b3e603deeb080	akomodatif
49e97534237e8000	akomodasi
f23a43c825086000	akomodasi
3b3440a4f3bce040	ditemani
fb202804a67f3040	menemani
3cfda9a99625c000	iringan
367aab0b44253000	iringan
cb950c83a95b0040	menemani
4d4a343e7acdb040	menemani
4d4a343e7acdb080	menyertai
c47ad69cef9c0000	kaki tangan
6d959a45b892b040	mencapai
af22ea9bb199e080	tercapai
af22ea9bb199e040	berhasil
8b7c9450ef522040	menyelesaikan
2647f2e8bbc64040	mencapai
15b156dacbbfa000	pencapaian
537657669895a000	prestasi
87cab753db57e000	kesepakatan
a881c787bbe23000	kesesuaian
03664011f21ac040	diberikan
f51b00d32f5a50c0	dengan demikian
c4325d65dcb11000	akordeon
ac18ee09a7fed000	kesepakatan
ac18ee09a7fed040	sesuai
af1efc81290fc000	akun
fef36925aff26000	akuntabilitas
b87f34838c7a9080	bertanggung jawab
e55ce7be122c6000	akuntansi
358ce0a986243000	akuntan
b906357c1d3f5000	akuntan
bf68e6e042512040	dihitung
6f8bae71c7a27000	akuntansi
138a7b25414c0000	akun
daab1c0fb3c7a000	accra
3f5edb5cf44f6000	akreditasi
2dfe1cb958232080	terakreditasi
5cbbb0d105d52040	mengakreditasi
f8cffcee10099000	akresi
33397ffaca6f7000	akrual
8e77bf7454944000	akrual
588e94ba73f61040	bertambah
19bf4dc42abe9040	diperoleh
7e21ba4f7e625040	bertambah
802f0ad276cd9000	akun
234c1bf6aa870040	mengumpulkan
fd03ed434ee7c040	terakumulasi
0661214156300040	mengumpulkan
911ccdc1fa5e9040	mengumpulkan
30d38895a9017000	akumulasi
eb0256e7e41f6000	akumulasi
bf980e738c88f000	akumulator
c1d904962cd32000	akurasi
3f84db92be971080	akurat
cb62784e21feb0c0	secara akurat
4e4b26efb716a000	tuduhan
1fc57b474893d000	tuduhan
f1b4c8fe07ff4040	menuduh
a21525bcd343e040	dituduh
