# Interlingua translation file: English -> ja
# Format: hash<TAB>translation
hash	translation
385476f5b1bbe340	ああ
5e4be13d7934e000	ツチブタ
8bfb784e2c304000	アーロン
b744fb969684e000	アバ
03ea48a38eecc0c0	後ろに
a03996c91dea0000	そろばん
71a9db0054195000	アワビ
c46a0e4cc0046040	放棄する
e13350403ce40080	放棄された
e13350403ce40040	放棄した
0dc8fbad150d3040	放棄する
29a6c953e68a1000	放棄
e0439eced3d54040	放棄する
29d683e95fc46040	弱まる
3e0eaef7fee3b040	弱まった
7a4e96dd70685000	軽減
291c3db09146c000	ABB
a43e1ee3a6d27000	アバ
d24cfc90fb590000	アッバス
cfc2b9a77dc7d000	修道院長
b3ea52f89e456000	修道院
0e8ace0353b83000	修道院長
b4657110c4479000	略語
64c9fdad25d17000	略語
e65af51fd36b3080	省略した
e65af51fd36b3040	短縮した
72621569ad947000	略語
282b6e0dfced3000	略語
6cfcecbcba45f000	アビー
6eaae73945e01000	ABC
de1ca02f02ce1000	腹部
da8a00dd7ac4f080	腹部の
d16420172a65b040	誘拐した
3197ccf09ac4c000	誘拐
42b04b3e8986d000	誘拐
e2af69bada306000	アベ
0b880dab819cb000	アバディーン
934da3b3cd6d9080	異常な
f3ee623c133e4000	逸脱
f6b6af9593947000	逸脱
ec5ad3480e64b040	そそのかす
bfe003cbff7e4040	教唆する
c2c96a45543e0040	従う
4de8abe0d1ee7040	留まる
11944e534046b080	永続する
11944e534046b040	従う
934ada207d009000	アビゲイル
2614bf2769571000	能力
000e4f2807d6d000	能力
54536afe8392c080	非生物的な
cc175db74eec0080	惨めな
3235ed8db6372000	アブレーション
86a6030f319fe080	燃えている
86a6030f319fe0c0	燃え上がって
f4004fdea3547080	〜できる
10d13e74d0e400c0	巧みに
4d6e65414e0ab080	異常な
c40c274c0dcce000	異常
63213121621ee000	異常
eefe676a1b5820c0	異常に
ff9a937608c344c0	乗って
ff9a937608c340c0	乗船して
9d144ea566fd6000	住居
93d9fe97f195c040	廃止する
9902f5a3766e2040	廃止した
5d69b29663aca040	廃止する
c25eb44b02121000	廃止
cc06d4ceae07f000	廃止論者
4021610fef3ed080	忌まわしい
b54bf3b17e90b000	嫌悪
6544119a4c557080	先住民の
6544119a4c557000	先住民
f0a2acff2bdb4000	アボリジニ
77695c868f1dc040	中止する
60f247d4af86a040	中止した
60f247d4af86a080	失敗した
517914741cd76040	中止する
3737259a083a2000	中絶
a9f08bd37ce7a000	妊娠中絶
d47fb23e24d4c040	富む
d183a82d25275040	豊富にある
cacc05c6461864c0	について
cacc05c6461860c0	約
9191fee6a8f3e4c0	〜の上に
9191fee6a8f3e0c0	上に
025450be9f0a7080	地上の
321aab9283c4b000	略語
6b1e91b2fc10a000	アブラハム
d9e61e4ccd60a000	アブラム
fe9a60340622d000	エイブラムス
bef62932a4561000	摩耗
73f317d07ecba080	研磨性の
73f317d07ecba000	研磨剤
0efef1b292b59000	研磨剤
dfbd6a2d642580c0	並んで
dfbd6a2d64258080	遅れないで
