# Interlingua translation file: English -> ru
# Format: hash<TAB>translation
hash	translation
385476f5b1bbe340	ах
03ea48a38eecc0c0	назад
c46a0e4cc0046040	покидать
e13350403ce40080	заброшенный
0dc8fbad150d3040	покидать
e0439eced3d54040	бросает
29d683e95fc46040	утихать
3e0eaef7fee3b040	утих
e65af51fd36b3080	сокращённый
e65af51fd36b3040	сократил
da8a00dd7ac4f080	брюшной
d16420172a65b080	похищенный
d16420172a65b040	похищать
934da3b3cd6d9080	аберрантный
ec5ad3480e64b040	подстрекать
bfe003cbff7e4040	подстрекать
c2c96a45543e0040	придерживаться
4de8abe0d1ee7040	соблюдает
11944e534046b080	стойкий
54536afe8392c080	абиотический
cc175db74eec0080	жалкий
86a6030f319fe080	пылающий
86a6030f319fe0c0	в огне
10d13e74d0e400c0	умело
4d6e65414e0ab080	ненормальный
eefe676a1b5820c0	ненормально
ff9a937608c344c0	на борту
ff9a937608c340c0	на борт
93d9fe97f195c040	отменять
9902f5a3766e2040	отменил
5d69b29663aca040	отменяя
4021610fef3ed080	отвратительный
6544119a4c557080	аборигенный
77695c868f1dc040	прерывать
60f247d4af86a080	прерванный
60f247d4af86a040	прерывать
517914741cd76040	прерывать
d47fb23e24d4c040	изобиловать
d183a82d25275040	изобилует
cacc05c6461864c0	о
cacc05c6461860c0	примерно
9191fee6a8f3e4c0	над
9191fee6a8f3e0c0	выше
025450be9f0a7080	наземный
73f317d07ecba080	абразивный
dfbd6a2d642580c0	рядом
02f7e7f07cd46080	сокращённый
0545d05378e6c0c0	за границей
cd058e7a43f27080	резкий
a87a2bcc457500c0	внезапно
1b676af97710c080	отсутствующий
dee3e389c5b0b080	абсолютный
3f1b571a687430c0	абсолютно
d0ed238d442a1040	поглощать
e1063f07268c3080	поглощённый
e1063f07268c3040	поглотил
b715ed43a8c55080	абсорбирующий
110c306de725b080	поглощающий
5b57b7162bbed040	поглощать
3439f2a7c8861040	воздерживаться
a8fcc7dc8239f040	воздержался
1a9e0aa27de67080	абстрактный
0e39bbbb38078080	рассеянный
90b72f242323d040	абстрагируя
574d1a5bf20e9080	абсурдный
751d5663bca54080	обильный
6d919424cb0e60c0	обильно
ccb11affcdebe040	злоупотреблять
76ce9c57c6982080	подвергшийся насилию
76ce9c57c6982040	злоупотребил
1d49bbdef26b4040	злоупотребляет
