ABA	n.aba
ABB	n.abb
ABS	n+m+pl.abs
ACC	n+m.acc
AIDS	n+f.aids
ANZAC	n.anzac
APO	n.apo
ARPANET	n.arpanet
ASA	n.asa
ASP	n+m.asp
AT&T	n.att
ATM	n+m.atm
ATS	n+m.ats
AVN	n.avn
Aachen	n.aachen
Aalborg	n.aalborg
Aaliyah	n.aaliyah
Aarhus	n.aarhus
Aaron	n.aaron
Abbe	n.abbe
Abbott	n.abbott
Abdul	n.abdul
Abe	n.abe
Aberdeen	n.aberdeen
Abernathy	n.abernathy
Abidjan	n.abidjan
Abingdon	n.abingdon
Abner	n.abner
Abraão	n.abraham
Abrão	n.abram
Absalão	n.absalom
Abuja	n.abuja
Aby	n.aby
Acabe	n.ahab
Accenture	n.accenture
Acme	n.acme
Acosta	n.acosta
Acra	n.accra
Acádia	n.acadia
Ada	n.ada
Adams	n+m.adams
Addams	n.addams
Addie	n.addie
Addington	n.addington
Addison	n.addison
Adelaide	n.adelaide
Adele	n.adele
Adeline	n.adeline
Adidas	n.adidas
Adirondacks	n.adirondacks
Adkins	n.adkins
Adobe	n+f.adobe
Adolf	n.adolf
Adolfo	n.adolph@n.adolfo
Adrian	n.adrian
Adriana	n.adriana
Adriano	n.hadrian
Adriático	n.adriatic
Advil	n.advil
Adão	n+m.adam
Adônis	n.adonis
Aetna	n.aetna
Afeganistão	n+m.afghanistan
Afonso	n.alfonso@n.alphonse
Afrodite	n.aphrodite
Aga	n.aga
Agadir	n.agadir
Agassi	n.agassi
Agee	n.agee
Ageu	n.haggai
Aggie	n.aggie
Agnes	n.agnes
Agnew	n.agnew
Agni	n.agni
Agostinho	n.augustine
Agra	n.agra
Agripa	n.agrippa
Agrícola	n.agricola
Aguilar	n.aguilar
Aguirre	n.aguirre
Agustin	n.agustin
Ahmadinejad	n.ahmadinejad
Ahmed	n.ahmed
Aida	n.aida
Aileen	n.aileen
Aimee	n.aimee
Ain	n.ain
Airdrie	n.airdrie
Aires	n.aires
Aisha	n.aisha
Aitken	n.aitken
Ajax	n.ajax
Ajmer	n.ajmer
Akbar	n.akbar
Akita	n.akita
Akron	n.akron
Alabama	n+m.alabama
Alameda	n.alameda
Alamogordo	n.alamogordo
Alan	n+m.alan
Alana	n.alana
Alasca	n+m.alaska
Alba	n.alba
Alban	n.alban
Albany	n.albany
Albee	n.albee
Albemarle	n.albemarle
Alberta	n+f.alberta
Alberto	n+m.albert@n.alberto
Albion	n.albion
Albright	n.albright
Albuquerque	n.albuquerque
Albânia	n.albania
Alcatraz	n.alcatraz
Alcoa	n.alcoa
Alcott	n.alcott
Alden	n.alden
Aldershot	n.aldershot
Aldo	n.aldo
Alejandro	n.alejandro
Alemanha	n+f.germany@n.deutschland
Alex	n+m.alex
Alexandra	n.alexandra
Alexandre	n+m.alexander
Alexandria	n.alexandria
Alexei	n.alexei
Alexia	n.alexia
Alexis	n.alexis
Alford	n.alford
Alfred	n.alfred
Alfredo	n.alfredo
Alger	n.alger
Algonquim	n.algonquin
Alhambra	n.alhambra
Ali	n.ali
Alice	n.alice
Alicia	n.alicia
Aline	n.aline
Alisa	n.alisa
Alisha	n.alisha
Alison	n.alison
Alissa	n.alissa
Alistair	n.alistair
Allahabad	n.allahabad
Allan	n.allan
Allen	n+m.allen
Allende	n.allende
Allie	n.allie
Allison	n.allison
Allyn	n.allyn
Allyson	n.allyson
Alma	n.alma
Almaty	n.almaty
Alonzo	n.alonzo
Alpert	n.alpert
Alpes	n.alps
Alston	n.alston
Alsácia	n.alsace
Alta	n.alta
Altair	n.altair
Altman	n.altman
Altona	n.altona
Altoona	n.altoona
Alva	n.alva
Alvarado	n.alvarado
Alvin	n.alvin
Alyson	n.alyson
Alzheimer	n.alzheimer
Alá	n.allah
Amadeus	n.amadeus
Amanda	n.amanda
Amazon	n+f.amazon
Amazônia	n+f.amazon
Amber	n.amber
Ambler	n.ambler
Amer	n.amer
Amherst	n.amherst
Ami	n.ami
Amie	n.amie
Amiga	n.amiga
Amin	n.amin
Amir	n.amir
Amis	n.amis
Amoco	n.amoco
Amon	n.amon
Amritsar	n.amritsar
Amsterdã	n+f.amsterdam
Amway	n.amway
Amy	n.amy
Amã	n.amman
Amélia	n.amelia
América	n+f.america
Américas	n.americas
Amós	n.amos
Ana	n+f.anne@n+f.anna@n.ana
Anaheim	n.anaheim
Anas	n.anas
Anastásia	n.anastasia
Anatole	n.anatole
Anatólia	n.anatolia
Anchorage	n.anchorage
Ancona	n.ancona
Andaluzia	n.andalusia
Andaman	n.andaman
Andersen	n.andersen
Anderson	n+m.anderson
Andes	n.andes
Andorra	n.andorra
Andre	n.andre
Andrea	n.andrea
Andrei	n.andrei
Andretti	n.andretti
Andrews	n.andrews
Android	n.android
Andros	n.andros
André	n+m.andrew
Andrés	n.andres
Andrômeda	n.andromeda
Andy	n+m.andy
Angela	n.angela
Angeles	n+m.angeles
Angelina	n.angelina
Angeline	n.angeline
Angell	n.angell
Angelou	n.angelou
Angers	n.angers
Angie	n.angie
Angkor	n.angkor
Anglesey	n.anglesey
Angola	n.angola
Anguila	n.anguilla
Angus	n.angus
Angélica	n.angelica@n.angelique
Anil	n.anil
Anita	n.anita
Anjou	n.anjou
Ann	n+f.ann
Annabel	n.annabel
Annabelle	n.annabelle
Annapolis	n.annapolis
Annecy	n.annecy
Annenberg	n.annenberg
Annie	n.annie
Anselmo	n.anselm@n.anselmo
Antares	n.antares
Antibes	n.antibes
Antilhas	n.antilles
Anton	n.anton
Antonieta	n.antoinette
Antália	n.antalya
Antártida	n.antarctica@n.antarctic
Antígona	n.antigone
Antígua	n.antigua
Antônia	n.antonia
Antônio	n+m.antonio@n+m.anthony
Anu	n.anu
Aníbal	n.hannibal
Anúbis	n.anubis
Apache	n+m.apache
Apalaches	n.appalachia
Apolo	n.apollo
Appel	n.appel
Apple	n+f.apple
Appleseed	n.appleseed
Appleton	n.appleton
Aquiles	n.achilles
Aquino	n.aquinas@n.aquino
Aquitânia	n.aquitaine
Arabella	n.arabella
Aracne	n.arachne
Arad	n.arad
Arafat	n.arafat
Aragão	n.aragon
Aram	n.aram
Ararat	n.ararat
Archer	n.archer
Archibald	n.archibald
Arcádia	n.arcadia
Arden	n.arden
Ards	n.ards
Arequipa	n.arequipa
Arezzo	n.arezzo
Argel	n.algiers
Argentina	n+f.argentina
Argo	n.argo
Argonne	n.argonne
Argosy	n.argosy
Argus	n.argus
Argyle	n.argyle
Argyll	n.argyll
Argélia	n.algeria
Ariadne	n.ariadne
Arian	n.arian
Ariel	n.ariel
Arista	n.arista
Ariz.	n.ariz
Arizona	n+f.arizona
Arjuna	n.arjuna
Arkansas	n+m.arkansas
Arlen	n.arlen
Arlene	n.arlene
Arles	n.arles
Arlington	n.arlington
Arlo	n.arlo
Armagh	n.armagh
Armand	n.armand
Armando	n.armando
Armani	n.armani
Armstrong	n.armstrong
Armênia	n.armenia
Arne	n.arne
Arnhem	n.arnhem
Arno	n.arno
Arnold	n.arnold
Aron	n.aron
Arquimedes	n.archimedes
Arran	n.arran
Arsenal	n.arsenal
Artie	n.artie
Artur	n+m.arthur
Arturo	n.arturo
Aruba	n.aruba
Arundel	n.arundel
Arábia	n.arabia
Ascot	n.ascot
Ashanti	n.ashanti
Ashe	n.ashe
Asher	n.asher
Ashlee	n.ashlee
Ashley	n.ashley
Ashton	n.ashton
Asimov	n.asimov
Aspell	n.aspell
Aspen	n.aspen
Asperger	n.asperger
Assad	n.assad
Assam	n.assam
Assis	n.assisi
Assuã	n.aswan
Assíria	n.assyria
Astaire	n.astaire
Asti	n.asti
Aston	n.aston
