ABS	n+m.abs
ALA	n+f.ala
API	n+m.apis
ARP	n+m.arp
ASP	n+m.asp
AT&T	n+f.att
AVN	n+m.avn
Acrobat	n+m.acrobat
Adobe	n+m.adobe
Amazon	n+m.amazon
Apache	n+m.apache
Apple	n+f.apple
Aspell	n+m.aspell
Bash	n+m.bash
Bluetooth	n+m.bluetooth
CDR	n+m.cdr
CHM	n+m.chm
CTR	n+m.ctr
Canon	n+m.canon
Chevrolet	n+m.chevrolet
Cisco	n+m.cisco
Compaq	n+m.compaq
DAT	n+m.dat
DOM	n+m.dom
DOS	n+f.dos
DPI	n+m.dpi
DTS	n+m.dts
Debian	n+m.debian
Dell	n+m.dell
EOS	n+m.eos
Emacs	n+m.emacs
Epson	n+m.epson
Ericsson	n+m.ericsson
Ethernet	n+m.ethernet
Excel	n+m.excel
FTP	n+m.ftp
Finder	n+m.finder
Firefox	n+m.firefox
GNOME	n+m.gnome
GNU	n+m.gnu
GTD	n+m.gtd
Honda	n+f.honda
IGN	n+m.ign
III	num.iii
Intel	n+m.intel
Java	n+f.java
JavaScript	n+m.javascript
MAB	n+m.mab
MIDI	n+m.midi
Motorola	n+f.motorola
Mozilla	n+f.mozilla
Netscape	n+m.netscape
Nike	n+m.nike
Nikon	n+m.nikon
Nintendo	n+m.nintendo
Nokia	n+f.nokia
OfficeMax	n+m.officemax
Oracle	n+m.oracle
POS-терминал	n+m.pos
Panasonic	n+m.panasonic
PayPal	n+m.paypal
Pentium	n+m.pentium
Perl	n+m.perl
Philips	n+m.philips
PlayStation	n+f.playstation
PowerPoint	n+m.powerpoint
Python	n+m.python
SAP	n+m.sap
SOS	n+m.sos
SRA	n+m.sra
SSH	n+m.ssh
Samsung	n+m.samsung
Siemens	n+m.siemens
Skype	n+m.skype
Slackware	n+m.slackware
Smalltalk	n+m.smalltalk
Swatch	n+m.swatch
TIFF	n+m.tiff
Toshiba	n+f.toshiba
Toyota	n+f.toyota
TypeScript	n+m.typescript
UNIX	n+m.unix
VII	num.vii
VIII	num.viii
Visa	n+m.visa
WiFi	n+m.wifi
XEmacs	n+m.xemacs
cps	n+m.cps
eMusic	n+m.emusic
escape	n+f.escape
iPod	n+m.ipod
iTunes	n+m.itunes
int	a.int
ioctl	n+m.ioctl
ispell	n+m.ispell
mpg	n+m.mpg
pa	n+m.pas
pl.URL-адреса	n+m.urls
pl.Америки	n+f.americas
