29	n.xxix
39	n.xxxix
آ رہا ہے	v.coming
آ گیا	v.arrived
آؤٹ	n+m.outs@n+f.strikeouts
آؤٹ سورسنگ	n+m.outsourcing
آؤٹ لیٹ	n+m.outlet
آؤٹ پٹ	n+m.output@n+m.outputs
آئبس	n+m.ibis
آئبوپروفین	n+m.ibuprofen
آئبیریا	n+f.iberia
آئبیریائی	a.iberian@n+m.iberian
آئر	n+m.ayer
آئرس	n+f.iris
آئرس پھول	n+m.irises
آئرش	a.irish@a.hibernian@n+m.hibernian
آئرش آدمی	n+m.irishman
آئرش بونا	n+m.leprechaun
آئرش زبان	n+f.irish
آئرش پارلیمنٹ	n+m.oireachtas
آئرلینڈ	n+m.ireland@n+f.eire
آئرین	n+f.irene
آئزن ہاور	n+m.eisenhower
آئزنر	n+m.eisner
آئس برگ	n+m.iceberg
آئس لینڈ	n+m.iceland
آئس لینڈی	a.icelandic
آئسس	n+f.isis
آئسنگ	n+f.icing
آئسومر	n+m.isomer
آئسوٹوپ	n+m.isotopes
آئلیکس	n+m.ilex
آئن	n+m.ion@n+m.ions
آئن سٹائن	n+m.einstein
آئنائز کیا	v.ionized
آئنائزر	n+m.ionizer
آئنائزڈ	a.ionized
آئنائزیشن	n+f.ionization
آئندھوون	n+m.eindhoven
آئندہ	a.future@a.forthcoming@a.ensuing
آئندہ سے	ad.henceforth
آئنو سفیئر	n+f.ionosphere
آئنوسفیرک	a.ionospheric
آئنی	a.ionic
آئنی بنانے والا	a.ionizing
آئونیا	n+f.ionia
آئٹم	n+m.item
آئٹمز	n+m.items
آئکرس	n+m.icarus
آئی آر اے	n+m.ira@n+m.iras
آئی او سی ٹی ایل	n+m.ioctl
آئی جی این	n+m.ign
آئی سپیل	n+m.ispell
آئی شیڈو	n+m.eyeshadow
آئی لائنر	n+m.eyeliner
آئی ٹیونز	n+m.itunes
آئی پوڈ	n+m.ipod
آئیسولڈ	n+f.isolde
آئیسوپروپائل	n+m.isopropyl
آئیلین	n+f.eileen
آئین	n+m.constitution@n+f.statute@n+m.constitutions
آئینہ	n+m.mirror
آئینہ بندی	n+f.mirroring
آئینہ دار	a.mirrored
آئینہ نما	a.specular
آئینی	a.statutory@a.constitutional
آئینی حیثیت	n+f.constitutionality
آئینی طور پر	ad.constitutionally
آئینے	n+m.mirrors
آئیوا	n+f.iva
آئیوز	n+m.ives
آئیولائٹ	n+m.iolite
آئیون	n+m.ivan
آئیون ہو	n+m.ivanhoe
آئیونا	n+f.iona
آئیونین	a.ionian@n+m.ionian
آئیووا	n+m.iowa
آئیوڈائیڈ	n+m.iodide
آئیڈ	n+m.eide
آئیڈا	n+f.ida@n+f.aida
آئیڈاہو	n+m.idaho
آئیڈو	n+m.ido
آئیک	n+m.ike
آئیکن	n+m.icon@n+m.icons
آئیکیا	n+m.ikea
آئیکیڈو	n+m.aikido
آئیگن ویلیو	n+m.eigenvalues
آب حرکیات	n+f.hydrodynamics
آب و ہوا	n+m.climate@n+f.cloud@n+m.climates
آب و ہوائی	a.climatological
آب پاشیدگی	n+f.hydrolysis
آباء	n+m.fathers
آباء و اجداد	n+m.ancestry@n+m.ancestors
آباؤ اجداد	n+m.forefathers
آبائی	a.ancestral
آبائی شہر	n+m.hometown
آباد	a.settled@a.populated@a.inhabited
آباد کار	n+m.settlers@n+m.settler
آباد کرنا	v.populate@v.populating
آباد کیا	v.populated@v.inhabited
آباد ہونا	v.settle@v.settles
آبادی	n+f.population@n+f.populations
آبادی کی زیادتی	n+f.overpopulation
آبادیات	n+m.demographic@n+f.demographics@n+f.demography
آبادیاتی	a.demographic
آبجیکٹ	n+m.object@n+m.obj
آبدوز	n+f.submarine
آبدوز ملاح	n+m.submariner
آبدوزیں	n+f.subs@n+f.submarines
آبری	n+m.aubrey
آبشار	n+f.falls@n+f.cascade@n+m.waterfall@n+m.waterfalls@n+f.cascades@n+m.cataract@n+m.cataracts
آبشار کی طرح گرنا	v.cascades
آبنائے	n+f.strait@n+f.straits
آبنوس	n+f.ebony
آبوٹ	n+m.abbot
آبپاشی	n+f.irrigation
آبپاشی شدہ	a.irrigated
آبپاشی کرنا	v.irrigated
آبگیر	n+m.catchment
آبی	a.aqua@a.aquatic@a.hydraulic@a.aqueous
