12	n.twelve
30	n.thirty
40	n.forty
50	n.fifty
ABA	n.aba
ABB	n.abb
ABBA	n.abba
ABC	n.abcs
ABL	n.abl
ABR	n.abr
ABS	n.abs
ACCT	n.acct
ADM	n.adm
AFR	n.afr
AGR	n.agr
AIS	n.ais
AMT	n.amt
ANZAC	n.anzac
APO	n.apo
ARB	n.arb
ARP	n.arp
ARR	n.arr
ASSN	n.assn
AT&T	n.att
ATS	n.ats
AUST	n.aust
AVN	n.avn
AVS	n.avs
Aachen	n.aachen
Aalborg	n.aalborg
Aaliyah	n.aaliyah
Aarhus	n.aarhus
Aaron	n.aaron
Abbas	n.abbas
Abbe	n.abbe
Abbott	n.abbott
Abby	n.abby
Abdul	n.abdul
Abe	n.abe
Abel	n.abel
Aberdeen	n.aberdeen
Abernathy	n.abernathy
Abidjan	n.abidjan
Abigail	n.abigail
Abilene	n.abilene
Abingdon	n.abingdon
Abner	n.abner
Abraham	n.abraham
Abram	n.abram
Abrams	n.abrams
Absalom	n.absalom
Abuja	n.abuja
Acadia	n.acadia
Acadian	a.acadian
Acapulco	n.acapulco
Accenture	n.accenture
Accra	n.accra
Achilles	n.achilles
Acis	n.acis
Acosta	n.acosta
Acrobat	n.acrobat
Acton	n.acton
Ada	n.ada
Adam	n.adam
Addams	n.addams
Addie	n.addie
Addington	n.addington
Addison	n.addison
Adelaide	n.adelaide
Adele	n.adele
Adeline	n.adeline
Aden	n.aden
Adidas	n.adidas
Adige	n.adige
Adirondack	n.adirondack
Adirondacks	n.adirondacks
Adkins	n.adkins
Adler	n.adler
Adolf	n.adolf
Adolfo	n.adolfo
Adolph	n.adolph
Adonis	n.adonis
Adrian	n.adrian
Adriana	n.adriana
Adriatic	n.adriatic
Adrienne	n.adrienne
Advil	n.advil
Aegean	n.aegean
Aesop	n.aesop
Aetna	n.aetna
Afghanistan	a.afghani@n.afghanistan@a.afghan
Africana	n.africana
Afrikaans	n.afrikaans
Aga	n.aga
Agadir	n.agadir
Agassi	n.agassi
Agatha	n.agatha
Agee	n.agee
Aggie	n.aggie
Agnes	n.agnes
Agnew	n.agnew
Agni	n.agni
Agra	n.agra
Agricola	n.agricola
Agrippa	n.agrippa
Aguilar	n.aguilar
Aguirre	n.aguirre
Agustin	n.agustin
Ahab	n.ahab
Ahmad	n.ahmad
Ahmadinejad	n.ahmadinejad
Ahmed	n.ahmed
Ai Cập	a.egyptian@n.egypt
Aida	n.aida
Aiken	n.aiken
Aileen	n.aileen
Aimee	n.aimee
Ain	n.ain
Airbus	n.airbus
Airdrie	n.airdrie
Aires	n.aires
Aisha	n.aisha
Ait	n.ait
Aitken	n.aitken
Ajax	n.ajax
Ajmer	n.ajmer
Akbar	n.akbar
