Java语言	n.java
Linux系统	n.linux
T恤	n.tees@n.tees
UPS快递	n.ups
Xemacs编辑器	n.xemacs
X射线断层摄影术	n.tomography
hardcore	a.hardcore@n.hardcore
iPod播放器	n.ipod
γ	n.gamma
…腿的	a.legged
《圣经》的	a.biblical
一	num.one@num.ones
一个	pron.one
一些	a.some@pron.some
一代	n.generation@n.gen
一伙	n.gangs
一会儿	n.while@ad.awhile
一切	pron.everything@n.everything
一刻	num.quarter
一副纸牌	n.deck
一包	n.pack
一半	n.half@ad.half
一半的	a.half
一夜之间	ad.overnight
一定的	a.definite
一对	n.couple@n.pair
一打	num.dozen
一批	n.batch
一把	n.handful@n.handful
一旦	conj.once@prep.upon
一月	n.jan@n.january
一束	n.hank
一条面包	n.loaf
一样	ad.as
一次	ad.once
一次性的	a.disposable@a.disposable
一段时间	n.spell
一段路程	n.stretches
一氧化二氮	n.nos
一氧化物	n.monoxide@n.monoxide
一点	n.bit
一点儿	n.tad
一生	n.lifetime
一直	ad.always
一瞥	n.glance@n.glimpse@n.peek
一窝	n.litter
一等兵	n.pfc@n.pfc
一簇	n.tufts@n.tufts
一组	n.platoon
一群人	n.cohort
一致	n.accordance@n.consensus@v.accord@n.coincidence@n.concordance@v.coincide@v.accord@n.solidarity@n.conformity@n.conformance@n.concordance@v.coincide@n.conformation
一致地	ad.consistently@ad.uniformly@ad.unanimously@ad.uniformly@ad.universally
一致性	n.consistency@n.coherence@n.consistency@n.coherence@n.uniformity
一致的	a.agreed@a.consistent@a.conforming@a.coherent@a.unanimous@a.conforming
一般地	ad.generally@ad.ordinarily@ad.ordinarily
一般的	a.general@a.generic
一角硬币	n.dime@n.dime
一起	ad.together@ad.along
一阵	n.puff
一阵风吹	v.gusts
一顿饭	n.meal
丁字裤	n.thongs@n.thong
丁香	n.lilac@n.lilac
七	num.seven@num.vii
七个	num.seven
七倍地	ad.sevenfold
七倍的	a.sevenfold
七十	num.seventy
七月	n.july@n.jul
万	n.wan
万事达卡	n.mastercard
万亿	num.trillion
万国码	n.unicode@n.unicode
万圣节	n.halloween
万宝路	n.marlboro@n.marlboro
万岁	int.viva
万斯	n.vance@n.vance
万智牌	n.mtg
万豪	n.marriott
丈夫	n.husband@n.husbands@n.husbands
三	num.three@num.iii@num.tres@num.tres
三个	num.three
三个月	n.trimester
三个的	a.tres
三人性行为	n.threesome
三人组	n.threesome@n.trio@n.threesomes@n.threesomes
三人行	n.threesomes@n.threesomes
三位一体	n.trinity
三倍	ad.thrice
三倍的	a.triple
三元组	n.triad
三分之一	n.third@n.thirds@n.thirds
三十	num.thirty
三叶草	n.clover
三合会	n.triad@n.triad
三和弦	n.triad
三学科	n.trivium
三文鱼	n.salmon
三明治	n.sandwich@n.sandwich@n.sandwiches
三星	n.samsung
三月	n.march@n.mar
三棱镜	n.prism
三次	ad.thrice
三次的	a.cubic
三脚架	n.tripod@n.tripod@n.tripods
三菱	n.mitsubishi
三角	n.triangles
三角墙	n.gables
三角形	n.triangle@n.triangles@n.triangles
三角形的	a.triangular@a.triangular
三角洲	n.delta
三角湾	n.estuary@n.estuary
三角的	a.triangular@a.triangular
三足架	n.tripods
三通管	n.tee
三部曲	n.trilogy@n.trilogy
三重	n.trinity
三重奏	n.trio
上	prep.on@v.board
上一页	n.prev
上下文	n.context@n.contexts@n.contexts
上下文的	a.contextual@a.contextual
上下移动	v.bob
上传	v.upload@n.upload@v.uploaded@v.uploads@n.uploads@v.uploading@n.uploading
上传的	a.uploaded
上升	v.rose@v.rise@n.rise@v.rising@v.ascending@v.rises@n.ascension@n.ascent@v.ascending@v.rises@v.risen@n.ascension@n.ascent
上升的	a.rising@a.ascending@a.ascending@a.upward
上午	n.morning@n.mornings@n.mornings
上将	n.generals
上市的	a.listed
上帝	n.god@n.gods@n.lords
上拍	n.upbeat
上校	n.col@n.colonel@n.colonel
上油	v.oils
上浆	v.starch@n.sizing@v.starch
上海	n.shanghai
上涨	n.rises
上游	ad.upstream
上游的	a.upstream@a.upstream
上演	v.staged@v.staged
上班族	n.commuter@n.commuter
上瘾	n.addiction@v.addicted@n.addictions
上瘾的	a.compulsive@a.hooked@a.addictive@a.addicting
上瘾者	n.addict
上皮的	a.epithelial@a.epithelial
上皮细胞	n.epithelial
上等的	a.classy
上篮	n.layup@n.layup
上级	n.superior
上诉	n.appeal@n.appeals@v.appealed
上诉人	n.appellant@n.petitioner@n.appellant@n.petitioners
上诉的	a.appellant@a.appellant@a.appellate
上述的	a.above@a.aforementioned@a.aforementioned
上部的	a.upper
上釉	n.glazing@v.glazed@v.glaze@v.glaze
上限	n.cap@n.ceiling
上面	n.upside
上面的	a.upper
上颚	n.palate@n.palate
下	part.sub
下一个	a.next
下划线	n.underline@n.underline
下列的	a.following
下午	n.pm@n.afternoon
下坡	ad.downhill
下坡的	a.downhill
下垂	v.sag
下垂的	a.pendant
下士	n.cpl@n.corporal
下属	n.subordinate
下巴	n.chin@n.jaws@n.chin@n.jaw@n.jaws
下水道	n.drain@n.sewer@n.sewer@n.sewage
下沉	v.sink@v.sinking@v.sinks@v.sinking@v.sunk
下沉的	a.sinking@a.sinking
下流的	a.obscene
下游	ad.downstream
下游的	a.downstream@a.downstream
下级	n.inferior
下级的	a.subordinate
下议院	n.commons
下赌注	v.ante@v.ante
下载	v.download@n.download@n.downloads@v.downloads@v.downloaded@v.downloading@n.downloading
下载的	a.downloaded
下降	v.fall@v.drop@n.drop@v.falls@v.decline@v.drops@n.dip@v.declined@v.descending@v.dropping@n.declines@v.descended@n.dip@v.declined@v.descending@n.downs@n.descent@v.declining@v.declines@v.descended@v.dipped
下降的	a.falling@a.descending@a.descending
下陷	n.sag
下雨	v.rain@v.raining@v.rains@v.raining@n.raining
下雨的	a.rainy
下雪	v.snow
下雪的	a.snowy@a.snowy
下面的	a.under
不	ad.not@ad.no@int.no@ad.nay@ad.nah@ad.nay@ad.nope@ad.nah
不一致	n.discrepancy@n.discrepancies@n.discrepancy@n.inconsistencies
不一致的	a.inconsistent@a.inconsistent
不严格的	a.lax
不丹	n.bhutan@n.bhutan
不久	ad.soon@ad.shortly@ad.presently@ad.presently@ad.anon
不予帮助的	a.unhelpful
不令人满意的	a.unsatisfactory
不伦瑞克	n.brunswick
不便	n.inconvenience
不偏不倚的	a.impartial@a.impartial
不健康的	a.unhealthy
不像	prep.unlike
不充分的	a.inadequate@a.inadequate@a.insufficient
不公平	n.injustice@n.injustice
不公平的	a.unfair@a.unfair@a.unjust
不公正	n.injustice@n.injustice
不公正的	a.unfair@a.unfair@a.wrongful@a.unjust
不兼容的	a.incompatible
不再	ad.anymore
不准确	n.inaccuracies@n.inaccuracies
不准确的	a.inaccurate
不切实际的	a.unrealistic
不列颠	n.britannia
不列颠尼亚	n.britannia@n.britannia
不利	n.disadvantages@n.disadvantage
不利地	ad.adversely
不利方面	n.downside
不利的	a.adverse@a.detrimental@a.detrimental
不包括	prep.excluding@v.exclude@a.excl@v.excludes@a.excl
不匹配	n.mismatch
不匹配的	a.unmatched
不及格	v.fails
不友好的	a.hostile
不受影响的	a.unaffected
不受控制的	a.uncontrolled
不受新规定限制	v.grandfather
不受欢迎的	a.objectionable@a.undesirable@a.undesirable
不受欢迎的人	n.undesirable
不受限制的	a.unlimited@a.unrestricted
不变地	ad.invariably@ad.invariably
不变的	a.unchanged@a.invariant
不变量	n.invariant
不可思议的	a.mysterious@a.mysterious@a.unbelievable
不可战胜的	a.unbeatable
不可抗拒的	a.irresistible
不可接受的	a.unacceptable
不可用的	a.unavailable
不可缺少的	a.indispensable@a.indispensable
不可能的	a.impossible
不可避免地	ad.inevitably
不可避免的	a.inevitable@a.inevitable
不可靠的	a.unreliable@a.unreliable@a.irresponsible
不可预测的	a.unpredictable@a.unpredictable
不可预知的	a.unpredictable
不合格的	a.ineligible
不合法的	a.unlawful@a.unlawful
不合理的	a.unreasonable@a.irrational
不合适的	a.inappropriate@a.unsuitable
不同	n.difference@n.differences@v.vary@v.differ@v.varies@v.varies@v.differs@v.differing
不同地	ad.differently@ad.differently
不同意	v.disagree@v.dissent
不同步的	a.asynchronous
不同的	a.different@a.various@a.diverse@a.unlike@a.distinct@a.varying@a.variant@a.varying@a.variant@a.differing@a.disparate
不同种类的	a.heterogeneous
不喜欢	v.dislike@v.dislike
不在	n.absence
不均匀的	a.uneven@a.heterogeneous@a.uneven
不备鞍地	ad.bareback
不够好的	a.unsatisfactory
不够的	a.insufficient
不太可能	ad.unlikely
不太可能的	a.unlikely
不孕症	n.infertility
不孕的	a.barren
不存在的地方	n.nowhere
不安	n.upset
不安全	n.insecurity
不安全的	a.dangerous@a.unsecured@a.insecure@a.unsecured@a.unsafe@a.insecure
不安的	a.disturbed@a.restless@a.upset@a.uncomfortable@a.restless
不完全地	ad.partially
不完善的	a.defective@a.defective
不完整的	a.incomplete
不完美的	a.imperfect@a.imperfect
不定期的	a.irregular
不容忍	n.intolerance
不对称的	a.asymmetric@a.asymmetric
不寻常地	ad.unusually@ad.unusually
不寻常的	a.unusual@a.uncommon
不尊重	n.dis
不常	ad.seldom
不平坦的	a.uneven@a.uneven
不平等	n.inequality@n.inequalities@n.inequality@n.inequalities@n.disparities
不平衡	n.imbalance@n.imbalance
不幸地	ad.unfortunately@ad.sadly@ad.sadly
不幸的	a.unfortunate@a.unhappy
不幸的人	n.unfortunate
不当的	a.improper
不当行为	n.misconduct
不必要的	a.unnecessary@a.needless@a.unnecessary@a.needless
不恰当地	ad.improperly
不情愿的	a.unwilling@a.reluctant
不愉快的	a.unpleasant
不愿意的	a.unwilling
不成功的	a.unsuccessful
不成熟的	a.immature
不拘礼节的	a.informal
不插电的	a.unplugged
不支持的	a.unsupported@a.unsupported
不敏感的	a.insensitive
不断地	ad.constantly@ad.continuously@ad.continually@ad.continuously@ad.continually
不断的	a.continual
不明确的	a.undefined@a.uncertain@a.unspecified
不易忘怀的	a.haunting
不是	int.nah@int.nah@v.ain
不朽的	a.immortal@a.monumental
不来梅	n.bremen@n.bremen
不正常的	a.abnormal@a.abnormal
不正当的	a.illicit@a.wrongful
不正确地	ad.incorrectly@ad.improperly
不正确的	a.incorrect@a.erroneous@a.improper@a.erroneous
不法利益	n.gravy
不活跃的	a.inactive@a.inactive
不清楚的	a.unclear
不满	n.grievance@n.grievances
不满意的	a.dissatisfied
不满的	a.dissatisfied
不熟悉的	a.unfamiliar@a.unfamiliar
不现实的	a.unrealistic
不理	v.ignore@v.ignored@v.ignores@v.ignoring@v.ignores
不用脑筋的	a.mindless
不相关的	a.irrelevant@a.unrelated
不相容的	a.incompatible
不真实的	a.unreal
不知名的地方	n.nowhere
不知怎么地	ad.somehow
不知所措的	a.overwhelmed@a.overwhelmed
不知羞耻的	a.shameless
不知道	v.dunno@v.dunno
不知道的	a.ignorant@a.unaware
不确定	n.uncertainty@n.uncertainties
不确定地	ad.indefinitely@ad.indefinitely
不确定性	n.uncertainty@n.uncertainties
不确定的	a.uncertain@a.doubtful@a.uncertain@a.unsure@a.doubtful@a.indefinite
不祥的	a.sinister@a.sinister
不稳定	n.instability@n.insecurity
不稳定性	n.instability
不稳定的	a.unstable@a.unstable@a.volatile
不符	n.discrepancies
不符合宪法的	a.unconstitutional
不等式	n.inequality@n.inequalities@n.inequality@n.inequalities
不管	prep.despite@ad.regardless@ad.irrespective@prep.spite
不管怎样	ad.anyways@ad.anyhow
不管是谁	pron.whoever
不考虑的	a.irrespective
不耐受	n.intolerance
不肯的	a.refusing
不育	n.infertility
不育的	a.sterile@a.sterile
不胜任的	a.incompetent
不能令人满意的	a.unsatisfactory
不能的	a.unable@a.incapable@a.incapable
不舒服	n.discomfort
不舒服的	a.uncomfortable
不良地	ad.ill
不良的	a.undesirable
不见	v.disappear@v.disappears@v.disappeared@v.disappear@v.disappears@v.vanished
不规则的	a.irregular
不诚实的	a.crooked@a.rogue@a.crooked@a.devious
不负责任的	a.irresponsible
不贵的	a.inexpensive
不赞成的	a.deprecated@a.deprecated
不起作用的	a.ineffective
不足	n.deficit@n.shortage@n.deficits@n.shortages@n.deficiency@n.shortage@n.deficiencies@n.deficits@n.shortages@n.shortfall
不足的	a.inadequate@a.insufficient@a.insufficient@a.deficient
不过	ad.nevertheless
不适	n.discomfort@n.discomfort
不适宜的	a.unsuitable
不适当的	a.inappropriate@a.undue@a.inadequate@a.undue
不透明的	a.opaque@a.opaque
不速之客	n.crashers
不重要的	a.indifferent
不锈的	a.stainless
不间断电源	n.ups
不间断的	a.relentless
不需用脑筋的	a.mindless
不需要的	a.unwanted@a.unwanted@a.needless
不顾	prep.regardless@ad.irrespective
不顾后果的	a.reckless@a.reckless
不高兴的	a.unhappy
与	prep.with
与世隔绝的	a.secluded
与众不同的	a.distinctive
与平行	v.parallels
与斗争	v.combating
与相对	prep.versus
与课程有关的	a.curricular
丑事	n.scandal@n.scandal@n.scandals
丑闻	n.scandal@n.scandal@n.scandals
丑陋的	a.ugly
专一性	n.specificity
专业	n.major@n.profession@n.majors@n.speciality@n.majors@n.speciality
专业人士	n.professional@n.pro@n.professionals@n.pros@n.prs
专业化	n.specialization
专业化的	a.specialised
专业地	ad.professionally
专业的	a.professional@a.technical@a.pro@a.specialized
专业知识	n.expertise
专业精神	n.professionalism
专利	n.patent@n.patents
专利的	a.patented@a.patented
专制	n.tyranny@n.tyranny
专制者	n.dictator
专卖店	n.outlet@n.outlets
专卖权	n.monopoly
专员	n.commissioner@n.commissioners@n.commissioners
专家	n.expert@n.experts@n.specialist@n.specialists@n.guru@n.maven@n.guru@n.pundit@n.maven
